中国共产党章程|||STATUTS DU PARTI COMMUNISTE CHINOIS
党的支部委员会对申请入党的人，要注意征求党内外有关群众的意见，进行严格的审查，认为合格后再提交支部大会讨论。|||Avant d’étudier sérieusement sa demande d’admission, le comité de cellule du Parti veillera à s’informer avec précision au sujet du comportement du postulant tant auprès des membres de la cellule qu’à l’extérieur. Si sa demande est recevable, elle sera examinée lors d’une assemblée générale de la cellule.
上级党组织在批准申请人入党以前，要派人同他谈话，作进一步的了解，并帮助他提高对党的认识。|||Avant de ratifier l’admission d’un postulant au sein du Parti, afin de mieux le connaître et l’aider à approfondir sa connaissance de ce dernier, l’organisation du Parti de l’échelon immédiatement supérieur chargera des camarades de s’entretenir avec lui.
在特殊情况下，党的中央和省、自治区、直辖市委员会可以直接接收党员。|||Dans des circonstances exceptionnelles, le Comité central, les comités du Parti pour les provinces, les régions autonomes et les municipalités relevant directement de l’autorité centrale peuvent admettre directement des postulants.
第六条　预备党员必须面向党旗进行入党宣誓。|||Article 6 Le stagiaire doit, devant le drapeau du Parti, prêter le serment suivant : « J’adhère au Parti communiste chinois de ma propre volonté.
誓词如下：我志愿加入中国共产党，拥护党的纲领，遵守党的章程，履行党员义务，执行党的决定，严守党的纪律，保守党的秘密，对党忠诚，积极工作，为共产主义奋斗终身，随时准备为党和人民牺牲一切，永不叛党。|||Je m’engage à soutenir son programme, à respecter ses statuts, à remplir les devoirs de membre du Parti, à appliquer les décisions du Parti, à observer rigoureusement sa discipline, à ne pas divulguer ses secrets, à faire preuve de fidélité envers lui, à militer activement, à combattre ma vie durant pour le communisme, à me tenir toujours prêt à tout sacrifier au peuple et au Parti, et à ne jamais trahir ce dernier. »
第七条　预备党员的预备期为一年。|||Article 7 La durée du stage est d’un an.
党组织对预备党员应当认真教育和考察。|||L’organisation du Parti doit assurer avec soin la formation des stagiaires et observer leur comportement avec la plus grande attention.
预备党员的义务同正式党员一样。|||Les stagiaires ont les mêmes devoirs que les membres du Parti.
预备党员的权利，除了没有表决权、选举权和被选举权以外，也同正式党员一样。|||Ils ont aussi les mêmes droits que ceux-ci, excepté le droit de voter, d’élire et d’être élus.
预备党员预备期满，党的支部应当及时讨论他能否转为正式党员。|||À l’expiration du stage, la cellule du Parti est tenue de délibérer sans délai sur l’admission définitive du stagiaire en tant que membre du Parti.
认真履行党员义务，具备党员条件的，应当按期转为正式党员；需要继续考察和教育的，可以延长预备期，但不能超过一年；不履行党员义务，不具备党员条件的，应当取消预备党员资格。|||Si le stagiaire a rempli consciencieusement ses devoirs de membre du Parti et s’il réunit les conditions nécessaires, il en devient membre actif à la date fixée ; s’il est nécessaire de continuer à l’observer et à l’éduquer, la durée du stage pourra être prolongée, mais jamais au-delà d’un an ; s’il ne remplit pas les devoirs de membre du Parti et ne réunit pas les conditions nécessaires, sa qualité de stagiaire sera annulée.
预备党员转为正式党员，或延长预备期，或取消预备党员资格，都应当经支部大会讨论通过和上级党组织批准。|||L’admission définitive d’un stagiaire comme membre du Parti, la prolongation du stage ou l’annulation de la qualité de stagiaire doit être approuvée après discussion par l’assemblée générale de la cellule et ratifiée par l’organisation du Parti de l’échelon immédiatement supérieur.
预备党员的预备期，从支部大会通过他为预备党员之日算起。|||Pour un stagiaire, la période de stage commence officiellement le jour de son admission par l’assemblée générale de la cellule.
党员的党龄，从预备期满转为正式党员之日算起。|||Les années de présence au Parti d’un membre sont comptées à partir du jour de son admission définitive en tant que membre du Parti.
第八条　每个党员，不论职务高低，都必须编入党的一个支部、小组或其他特定组织，参加党的组织生活，接受党内外群众的监督。|||Article 8 Tout membre du Parti, quelles que soient ses fonctions, doit faire partie d’une cellule, d’un groupe ou d’une organisation déterminée du Parti, prendre part aux activités régulières de l’organisation du Parti et accepter le contrôle des masses au sein du Parti comme en dehors.
党员领导干部还必须参加党委、党组的民主生活会。|||Les membres du Parti qui assument des fonctions dirigeantes doivent, par ailleurs, participer, au sein des comités ou des groupes dirigeants du Parti, à la pratique de la démocratie par le recours à la critique et à l’autocritique au cours de réunions convoquées à cette fin.
不允许有任何不参加党的组织生活、不接受党内外群众监督的特殊党员。|||On ne saurait admettre l’existence de membres privilégiés qui ne participeraient pas aux activités régulières de l’organisation du Parti ni n’accepteraient le contrôle des masses au sein du Parti et en dehors.
第九条　党员有退党的自由。|||Article 9 Tout membre du Parti est libre de quitter le Parti.
党员要求退党，应当经支部大会讨论后宣布除名，并报上级党组织备案。|||La radiation d’un membre demandant à quitter le Parti doit être confirmée après délibération par l’assemblée générale de la cellule, qui en informe l’organisation du Parti de l’échelon supérieur pour qu’il en prenne acte.
党员缺乏革命意志，不履行党员义务，不符合党员条件，党的支部应当对他进行教育，要求他限期改正；经教育仍无转变的，应当劝他退党。|||Quand la cellule du Parti a affaire à un membre manquant de volonté révolutionnaire, qui ne remplit pas ses devoirs de membre et ne satisfait pas aux conditions requises, elle doit lui faire des remarques sur son comportement et lui demander de se corriger dans un délai imparti ; s’il ne change pas d’attitude en dépit des efforts faits pour l’éduquer, on lui conseillera de quitter le Parti.
劝党员退党，应当经支部大会讨论决定，并报上级党组织批准。|||Une telle décision doit être prise après délibération par l’assemblée générale de la cellule et soumise à la ratification de l’organisation du Parti de l’échelon supérieur.
如被劝告退党的党员坚持不退，应当提交支部大会讨论，决定把他除名，并报上级党组织批准。|||Si le membre en question s’obstine à rester dans le Parti, son cas sera soumis à la cellule, qui se réunira en assemblée générale pour en discuter et, éventuellement, statuer sur sa radiation, cette décision devant être soumise, pour ratification, à l’organisation du Parti de l’échelon supérieur.
党员如果没有正当理由，连续六个月不参加党的组织生活，或不交纳党费，或不做党所分配的工作，就被认为是自行脱党。|||Un membre du Parti qui, pendant six mois consécutifs et sans raison valable, ne participe pas aux activités régulières de l’organisation du Parti, ou n’acquitte pas ses cotisations, ou n’accomplit pas les tâches assignées par le Parti, est considéré d’office comme s’étant retiré de lui-même du Parti.
支部大会应当决定把这样的党员除名，并报上级党组织批准。|||L’assemblée générale de la cellule doit décider de sa radiation, cette décision devant être soumise, pour ratification, à l’organisation du Parti de l’échelon supérieur.
第二章　党的组织制度|||CHAPITRE II LE SYSTÈME D’ORGANISATION DU PARTI
第十条　党是根据自己的纲领和章程，按照民主集中制组织起来的统一整体。|||Article 10 Le Parti forme un tout indivisible, organisé sur la base de son programme et de ses statuts, et conformément au centralisme démocratique.
党的民主集中制的基本原则是：|||Les principes fondamentaux du centralisme démocratique du Parti sont les suivants :
（一）党员个人服从党的组织，少数服从多数，下级组织服从上级组织，全党各个组织和全体党员服从党的全国代表大会和中央委员会。|||L’individu se soumet à l’organisation, la minorité à la majorité, l’organisation de l’échelon inférieur à celle de l’échelon supérieur, et les organisations et membres du Parti dans leur totalité au Congrès national et au Comité central du Parti.
（二）党的各级领导机关，除它们派出的代表机关和在非党组织中的党组外，都由选举产生。|||Les organes de direction du Parti à tous les échelons sont issus d’élections, à l’exception des organismes représentatifs auxquels ils ont délégué leurs pouvoirs et des groupes dirigeants dans des organisations extérieures au Parti.
（三）党的最高领导机关，是党的全国代表大会和它所产生的中央委员会。|||L’organe suprême de direction du Parti est le Congrès national et le Comité central qui en est issu.
党的地方各级领导机关，是党的地方各级代表大会和它们所产生的委员会。|||Les organes locaux de direction du Parti aux différents échelons sont les congrès locaux des échelons correspondants et les comités locaux qui en sont issus.
党的各级委员会向同级的代表大会负责并报告工作。|||Les comités du Parti aux différents échelons sont responsables devant les congrès de leur échelon respectif et leur rendent compte de leurs activités.
（四）党的上级组织要经常听取下级组织和党员群众的意见，及时解决他们提出的问题。|||Les organisations du Parti aux différents échelons doivent constamment prêter une oreille attentive aux opinions des organisations inférieures et des membres du Parti, et résoudre sans retard les problèmes qu’ils ont soulevés.
党的下级组织既要向上级组织请示和报告工作，又要独立负责地解决自己职责范围内的问题。|||Toute organisation d’un échelon inférieur doit non seulement demander des instructions à l’organisation de l’échelon supérieur et lui rendre compte de son activité, mais aussi résoudre par elle-même et en prenant ses responsabilités les problèmes qui relèvent de sa compétence.
上下级组织之间要互通情报、互相支持和互相监督。|||Les organisations des échelons supérieurs et inférieurs sont tenues d’échanger des informations, ainsi que de se soutenir et se contrôler mutuellement.
党的各级组织要按规定实行党务公开，使党员对党内事务有更多的了解和参与。|||Les organisations du Parti à tous les échelons doivent gérer leurs affaires de manière transparente conformément aux règlements en vigueur, afin de bien informer leurs membres de ces affaires et afin de les y faire participer.
（五）党的各级委员会实行集体领导和个人分工负责相结合的制度。|||Les comités du Parti aux différents échelons appliquent le système qui associe direction collective et responsabilité individuelle sur la base de la division du travail.
凡属重大问题都要按照集体领导、民主集中、个别酝酿、会议决定的原则，由党的委员会集体讨论，作出决定；委员会成员要根据集体的决定和分工，切实履行自己的职责。|||Toute question importante doit être décidée collectivement par le comité du Parti après discussion, conformément aux principes de direction collective, de centralisme démocratique, de délibération en petit comité et de prise de décision en fin de réunion. Les membres du comité du Parti doivent remplir, conformément aux décisions prises collectivement, les devoirs liés à leur fonction.
（六）党禁止任何形式的个人崇拜。|||Le Parti proscrit sans ambages le culte de la personnalité sous quelque forme que ce soit.
要保证党的领导人的活动处于党和人民的监督之下，同时维护一切代表党和人民利益的领导人的威信。|||Il est indispensable que l’activité des dirigeants du Parti reste placée sous contrôle du Parti et du peuple, et, en même temps, il faut que soit préservé le prestige des dirigeants représentant les intérêts du Parti et du peuple.
第十一条　党的各级代表大会的代表和委员会的产生，要体现选举人的意志。|||Article 11 L’élection des délégués aux congrès et des membres des comités du Parti à tous les échelons doit refléter la volonté des électeurs.
选举采用无记名投票的方式。|||Le scrutin est secret.
候选人名单要由党组织和选举人充分酝酿讨论。|||L’établissement de la liste des candidats doit faire l’objet d’amples discussions au sein du Parti et parmi les électeurs.
可以直接采用候选人数多于应选人数的差额选举办法进行正式选举。|||On peut dresser une liste de candidats issus d’une élection primaire et procéder ensuite à l’élection proprement dite.
也可以先采用差额选举办法进行预选，产生候选人名单，然后进行正式选举。|||On peut aussi procéder à une élection avec un nombre de candidats supérieur à celui des postes à pourvoir, sans passer par une élection primaire.
选举人有了解候选人情况、要求改变候选人、不选任何一个候选人和另选他人的权利。|||Les électeurs ont le droit de se renseigner sur les candidats, de demander que la liste des candidats soit modifiée, de récuser un candidat ou même tous les candidats, ou encore d’élire des personnes ne figurant pas sur la liste des candidats.
任何组织和个人不得以任何方式强迫选举人选举或不选举某个人。|||Aucune organisation ni aucun individu n’est autorisé à forcer, de quelque manière que ce soit, les électeurs à élire ou à récuser un candidat.
党的地方各级代表大会和基层代表大会的选举，如果发生违反党章的情况，上一级党的委员会在调查核实后，应作出选举无效和采取相应措施的决定，并报再上一级党的委员会审查批准，正式宣布执行。|||En cas de violation des statuts du Parti lors des élections aux congrès du Parti aux différents échelons locaux, y compris à l’échelon de base, le comité du Parti de l’échelon immédiatement supérieur doit, après enquête et vérification des faits, annuler ces élections et prendre les mesures qui s’imposent, cette décision devant être annoncée officiellement et mise à exécution après examen et approbation par le comité du Parti de l’échelon supérieur à l’échelon en question.
党的各级代表大会代表实行任期制。|||Les délégués aux congrès du Parti aux différents échelons sont élus pour une durée déterminée.
第十二条　党的中央和地方各级委员会在必要时召集代表会议，讨论和决定需要及时解决的重大问题。|||Article 12 Le Comité central et les comités du Parti aux différents échelons locaux peuvent, le cas échéant, convoquer des conférences réunissant les représentants pour discuter et arrêter des décisions sur les questions importantes qui doivent être réglées sans retard.
代表会议代表的名额和产生办法，由召集代表会议的委员会决定。|||Le nombre des représentants et les modalités de leur désignation sont définis par les comités responsables des convocations.
第十三条　凡是成立党的新组织，或是撤销党的原有组织，必须由上级党组织决定。|||Article 13 L’implantation d’une nouvelle organisation du Parti ou la suppression d’une organisation existante du Parti ne peut se faire, dans un cas comme dans l’autre, que sur décision d’une organisation de l’échelon supérieur du Parti.
在党的地方各级代表大会和基层代表大会闭会期间，上级党的组织认为有必要时，可以调动或者指派下级党组织的负责人。|||Dans l’intervalle des sessions des congrès du Parti à tous les échelons locaux, y compris à l’échelon de base, les organisations des échelons supérieurs du Parti peuvent, lorsqu’elles le jugent nécessaire, déplacer ou désigner les responsables des organisations des échelons inférieurs.
党的中央和地方各级委员会可以派出代表机关。|||Le Comité central et les comités du Parti aux différents échelons locaux peuvent déléguer leur pouvoir à des organismes représentatifs.
第十四条　党的中央和省、自治区、直辖市委员会实行巡视制度，在一届任期内，对所管理的地方、部门、企事业单位党组织实现巡视全覆盖。|||Article 14 Le Comité central ainsi que les comités du Parti pour les provinces, les régions autonomes et les municipalités relevant directement de l’autorité centrale appliquent un système de tournée d’inspection. Ils veillent à ce que, durant leur mandat, ce système s’applique aux organisations du Parti de toutes les collectivités locales et de tous les départements, entreprises et établissements d’intérêt public placés sous leur direction.
中央有关部委和国家机关部门党组（党委）根据工作需要，开展巡视工作。|||Les groupes dirigeants (ou comités) du Parti des départements relevant du Comité central et des organes d’État au niveau central organisent les tournées d’inspection en cas de besoin.
党的市（地、州、盟）和县（市、区、旗）委员会建立巡察制度。|||Les comités du Parti des échelons de municipalité (préfecture, département, ligue) et de district (municipalité du même échelon, arrondissement, bannière) pratiquent tous le système de tournée d’inspection.
第十五条　党的各级领导机关，对同下级组织有关的重要问题作出决定时，在通常情况下，要征求下级组织的意见。|||Article 15 Lorsqu’il s’agit de prendre une décision sur les questions importantes concernant les organisations qui leur sont subordonnées, les organes de direction du Parti à tous les échelons doivent, en règle générale, les consulter.
要保证下级组织能够正常行使他们的职权。|||Il faut garantir aux organisations des échelons inférieurs l’exercice normal de leurs fonctions et pouvoirs.
凡属应由下级组织处理的问题，如无特殊情况，上级领导机关不要干预。|||Sauf circonstances exceptionnelles, les organes dirigeants doivent s’abstenir d’intervenir dans les questions qui relèvent de la compétence des organisations de l’échelon inférieur.
第十六条　有关全国性的重大政策问题，只有党中央有权作出决定，各部门、各地方的党组织可以向中央提出建议，但不得擅自作出决定和对外发表主张。|||Article 16 S’agissant de problèmes importants en matière de politique de portée nationale, seul le Comité central du Parti a pouvoir de décision. Les organisations du Parti des divers secteurs et des différentes régions peuvent lui soumettre des propositions, mais il ne leur est pas permis de prendre des décisions et d’émettre des opinions de leur propre chef en dehors du Parti.
党的下级组织必须坚决执行上级组织的决定。|||Les organisations du Parti aux échelons inférieurs doivent exécuter sans hésiter les décisions prises par celles dont elles relèvent.
下级组织如果认为上级组织的决定不符合本地区、本部门的实际情况，可以请求改变；如果上级组织坚持原决定，下级组织必须执行，并不得公开发表不同意见，但有权向再上一级组织报告。|||Lorsqu’une organisation d’un échelon inférieur considère qu’une décision de l’organisation de l’échelon supérieur ne correspond pas aux conditions réelles de sa région ou de son secteur de travail, elle peut en demander le réexamen ; si l’organisation de l’échelon supérieur maintient sa décision, l’organisation de l’échelon inférieur est tenue de l’exécuter, et il ne lui est pas permis d’émettre publiquement une opinion contraire. Elle a néanmoins le droit de faire un rapport sur ce sujet à l’organisation de l’échelon supérieur.
党的各级组织的报刊和其他宣传工具，必须宣传党的路线、方针、政策和决议。|||Les journaux et périodiques et les autres moyens d’information utilisés par les organisations du Parti aux différents échelons doivent faire connaître la ligne, les principes, les mesures politiques et les résolutions du Parti.
第十七条　党组织讨论决定问题，必须执行少数服从多数的原则。|||Article 17 Lors de prises de décisions, toute organisation du Parti doit suivre le principe de soumission de la minorité à la majorité.
决定重要问题，要进行表决。|||Les décisions importantes doivent faire l’objet d’un vote.
对于少数人的不同意见，应当认真考虑。|||Les opinions de la minorité doivent être considérées avec sérieux.
如对重要问题发生争论，双方人数接近，除了在紧急情况下必须按多数意见执行外，应当暂缓作出决定，进一步调查研究，交换意见，下次再表决；在特殊情况下，也可将争论情况向上级组织报告，请求裁决。|||Lorsqu’une question importante soulève une controverse et que les tenants des deux parties opposées sont d’un nombre à peu près égal, il faut, sauf dans les cas urgents où la nécessité commande d’agir selon l’opinion de la majorité, différer la prise de décision, étudier la question de manière plus approfondie et, après échanges d’opinions, soumettre le cas à un nouveau vote. Dans des circonstances exceptionnelles, on peut également présenter un compte rendu des divergences de vues à l’organisation de l’échelon supérieur pour lui demander de trancher.
党员个人代表党组织发表重要主张，如果超出党组织已有决定的范围，必须提交所在的党组织讨论决定，或向上级党组织请示。|||Si un membre du Parti a à émettre, au nom de l’organisation du Parti, des opinions d’importance majeure dont la teneur dépasse le cadre des décisions prises par celle-ci, il est tenu de soumettre ses opinions à l’examen de l’organisation du Parti à laquelle il est rattaché, ou de demander des instructions à l’organisation supérieure du Parti.
任何党员不论职务高低，都不能个人决定重大问题；如遇紧急情况，必须由个人作出决定时，事后要迅速向党组织报告。|||Aucun membre du Parti, quelles que soient ses fonctions, ne peut décider à lui seul de questions d’importance majeure ; si, dans un cas d’urgence, un membre prend une décision de son propre chef, il doit présenter aussitôt après un compte rendu à l’organisation du Parti.
不允许任何领导人实行个人专断和把个人凌驾于组织之上。|||Il n’est permis à aucun dirigeant d’agir arbitrairement ni de se placer au-dessus de l’organisation du Parti.
第十八条　党的中央、地方和基层组织，都必须重视党的建设，经常讨论和检查党的宣传工作、教育工作、组织工作、纪律检查工作、群众工作、统一战线工作等，注意研究党内外的思想政治状况。|||Article 18 Le Comité central, les organisations locales et les organisations de base du Parti doivent tous attacher une grande importance au renforcement du Parti, discuter régulièrement de ses activités — communication, éducation, organisation, contrôle de la discipline, travail parmi les masses, renforcement du front uni, etc. —, et exercer un contrôle constant sur ces activités du Parti ; ils doivent veiller à étudier la situation idéologique et politique en son sein comme à l’extérieur.
第三章　党的中央组织|||CHAPITRE III LES ORGANISATIONS CENTRALES DU PARTI
第十九条　党的全国代表大会每五年举行一次，由中央委员会召集。|||Article 19 Le Congrès national du Parti se tient tous les cinq ans sur convocation du Comité central.
中央委员会认为有必要，或者有三分之一以上的省一级组织提出要求，全国代表大会可以提前举行；如无非常情况，不得延期举行。|||Sa convocation peut être anticipée si le Comité central le juge nécessaire ou si au moins un tiers des organisations à l’échelon provincial le demande ; toutefois, à moins de circonstances exceptionnelles, elle ne doit pas être retardée.
全国代表大会代表的名额和选举办法，由中央委员会决定。|||Le nombre des délégués au Congrès national et les modalités de leur élection sont déterminés par le Comité central.
第二十条　党的全国代表大会的职权是：|||Article 20 Les fonctions et pouvoirs du Congrès national du Parti sont les suivants:
（一）听取和审查中央委员会的报告；|||Écouter et examiner le rapport du Comité central;
（二）审查中央纪律检查委员会的报告；|||Examiner le rapport de la Commission centrale de contrôle de la discipline;
（三）讨论并决定党的重大问题；|||Discuter des problèmes importants du Parti et prendre les décisions s’y rapportant;
（四）修改党的章程；|||Réviser les statuts du Parti;
（五）选举中央委员会；|||Élire le Comité central;
（六）选举中央纪律检查委员会。|||Élire la Commission centrale de contrôle de la discipline.
第二十一条　党的全国代表会议的职权是：讨论和决定重大问题；调整和增选中央委员会、中央纪律检查委员会的部分成员。|||Article 21 Les fonctions et pouvoirs de la Conférence nationale du Parti sont les suivants : discuter des problèmes importants du Parti et prendre les décisions s’y rapportant, démettre de leur mandat une partie des membres du Comité central et de la Commission centrale de contrôle de la discipline et élire de nouveaux membres destinés à les remplacer.
调整和增选中央委员及候补中央委员的数额，不得超过党的全国代表大会选出的中央委员及候补中央委员各自总数的五分之一。|||Le nombre des membres et des suppléants du Comité central démis de leur mandat ou nouvellement élus ne doit pas dépasser un cinquième du nombre total respectif des membres et des suppléants du Comité central élu par le Congrès national.
第二十二条　党的中央委员会每届任期五年。|||Article 22 Le Comité central du Parti est élu pour cinq ans.
全国代表大会如提前或延期举行，它的任期相应地改变。|||Son mandat sera modifié au cas où la convocation du Congrès national suivant aurait été anticipée ou retardée.
中央委员会委员和候补委员必须有五年以上的党龄。|||Les membres et suppléants du Comité central doivent justifier d’au moins cinq ans de présence dans le Parti.
中央委员会委员和候补委员的名额，由全国代表大会决定。|||Leur nombre est fixé par le Congrès national.
中央委员会委员出缺，由中央委员会候补委员按照得票多少依次递补。|||Les sièges vacants laissés par les membres du Comité central sont occupés par les suppléants dans l’ordre établi selon le nombre de voix qu’ils ont obtenues.
中央委员会全体会议由中央政治局召集，每年至少举行一次。|||Le plénum du Comité central est convoqué au moins une fois l’an par le Bureau politique du Comité central.
中央政治局向中央委员会全体会议报告工作，接受监督。|||Le Bureau politique est tenu de rendre compte de son activité au dit plénum et de se soumettre à son contrôle.
在全国代表大会闭会期间，中央委员会执行全国代表大会的决议，领导党的全部工作，对外代表中国共产党。|||Dans l’intervalle des sessions du Congrès national, le Comité central exécute les résolutions prises par le Congrès, dirige toutes les activités du Parti et représente le Parti communiste chinois dans ses relations extérieures.
第二十三条　党的中央政治局、中央政治局常务委员会和中央委员会总书记，由中央委员会全体会议选举。|||Article 23 Le Bureau politique et son Comité permanent, ainsi que le secrétaire général du Comité central, sont élus par le plénum du Comité central.
中央委员会总书记必须从中央政治局常务委员会委员中产生。|||Le secrétaire général du Comité central est nécessairement membre du Comité permanent du Bureau politique.
中央政治局和它的常务委员会在中央委员会全体会议闭会期间，行使中央委员会的职权。|||Dans l’intervalle des plénums du Comité central, le Bureau politique et son Comité permanent exercent les fonctions et pouvoirs du Comité central.
中央书记处是中央政治局和它的常务委员会的办事机构；|||Le Secrétariat du Comité central est chargé des affaires courantes du Bureau politique du Comité central et du Comité permanent de ce Bureau.
成员由中央政治局常务委员会提名，中央委员会全体会议通过。|||Ses membres sont nommés par le Comité permanent du Bureau politique du Comité central, leur nomination doit ensuite être approuvée par un plénum du Comité central.
中央委员会总书记负责召集中央政治局会议和中央政治局常务委员会会议，并主持中央书记处的工作。|||Le secrétaire général du Comité central est chargé de convoquer les réunions du Bureau politique et de son Comité permanent, et il préside aux activités du Secrétariat du Comité central.
党的中央军事委员会组成人员由中央委员会决定，中央军事委员会实行主席负责制。|||Les membres de la Commission militaire centrale du Parti sont désignés par le Comité central, ladite commission pratique le système de responsabilité présidentielle.
每届中央委员会产生的中央领导机构和中央领导人，在下届全国代表大会开会期间，继续主持党的经常工作，直到下届中央委员会产生新的中央领导机构和中央领导人为止。|||Les organismes de direction et les dirigeants à l’échelon central élus par le Comité central issu de chaque Congrès continuent de présider au travail courant pendant la durée de la session du Congrès national suivant jusqu’à ce que le Comité central issu du Congrès suivant ait élu les nouveaux organismes de direction et les nouveaux dirigeants à l’échelon central.
第二十四条　中国人民解放军的党组织，根据中央委员会的指示进行工作。|||Article 24 Les organisations du Parti dans l’Armée populaire de Libération de Chine accomplissent leur tâche conformément aux instructions du Comité central.
中央军事委员会负责军队中党的工作和政治工作，对军队中党的组织体制和机构作出规定。|||La Commission militaire centrale est chargée des affaires du Parti et du travail politique et se prononce sur le système d’organisation et la structure du Parti dans l’armée.
第四章　党的地方组织|||CHAPITRE IV LES ORGANISATIONS LOCALES DU PARTI
第二十五条 党的省、自治区、直辖市的代表大会，设区的市和自治州的代表大会，县（旗）、自治县、不设区的市和市辖区的代表大会，每五年举行一次。|||Article 25 Le congrès du Parti se tient tous les cinq ans aussi bien au niveau de la province, de la région autonome, de la municipalité relevant directement de l’autorité centrale, de la municipalité divisée en arrondissements, du département autonome, qu’à celui du district (bannière), du district autonome, de la municipalité non divisée en arrondissements et de l’arrondissement urbain.
党的地方各级代表大会由同级党的委员会召集。|||Le congrès du Parti aux divers échelons locaux est convoqué par le comité du Parti de l’échelon correspondant.
在特殊情况下，经上一级委员会批准，可以提前或延期举行。|||Dans des circonstances exceptionnelles, sa convocation peut être anticipée ou retardée avec l’approbation du comité à l’échelon immédiatement supérieur.
党的地方各级代表大会代表的名额和选举办法，由同级党的委员会决定，并报上一级党的委员会批准。|||Le nombre des délégués au congrès du Parti des divers échelons locaux et les modalités de leur élection sont déterminés par le comité du Parti à l’échelon correspondant et soumis à la ratification du comité du Parti à l’échelon immédiatement supérieur.
第二十六条　党的地方各级代表大会的职权是：|||Article 26 Les fonctions et pouvoirs du congrès du Parti aux divers échelons locaux sont les suivants:
（一）听取和审查同级委员会的报告；|||Écouter et examiner le rapport du comité du Parti à l’échelon correspondant;
（二）审查同级纪律检查委员会的报告；|||Examiner le rapport de la commission de contrôle de la discipline du Parti à l’échelon correspondant;
（三）讨论本地区范围内的重大问题并作出决议；|||Discuter des questions importantes de sa propre région et adopter les résolutions qui s’y rapportent;
（四）选举同级党的委员会，选举同级党的纪律检查委员会。|||Élire le comité du Parti et la commission de contrôle de la discipline du Parti à l’échelon correspondant.
第二十七条　党的省、自治区、直辖市、设区的市和自治州的委员会，每届任期五年。|||Article 27 Le comité du Parti au niveau de la province, de la région autonome, de la municipalité relevant directement de l’autorité centrale, de la municipalité divisée en arrondissements et du département autonome est élu pour cinq ans.
这些委员会的委员和候补委员必须有五年以上的党龄。|||Les membres et suppléants de ces comités doivent justifier d’au moins cinq ans de présence dans le Parti.
党的县（旗）、自治县、不设区的市和市辖区的委员会，每届任期五年。|||Le comité du Parti au niveau du district (bannière), du district autonome, de la municipalité non divisée en arrondissements et de l’arrondissement urbain est élu pour cinq ans.
这些委员会的委员和候补委员必须有三年以上的党龄。|||Les membres et suppléants de ces comités doivent justifier d’au moins trois ans de présence dans le Parti.
党的地方各级代表大会如提前或延期举行，由它选举的委员会的任期相应地改变。|||La durée du mandat du comité du Parti élu au congrès local du Parti sera modifiée au cas où la convocation du congrès suivant aurait été anticipée ou retardée.
党的地方各级委员会的委员和候补委员的名额，分别由上一级委员会决定。|||Le nombre des membres et suppléants des comités locaux du Parti aux différents échelons est fixé par les comités situés à l’échelon immédiatement supérieur.
党的地方各级委员会委员出缺，由候补委员按照得票多少依次递补。|||Les sièges laissés vacants par les membres sont occupés par les suppléants dans l’ordre établi selon le nombre de voix qu’ils ont obtenues.
党的地方各级委员会全体会议，每年至少召开两次。|||Les comités locaux du Parti aux divers échelons se réunissent en session plénière au moins deux fois par an.
党的地方各级委员会在代表大会闭会期间，执行上级党组织的指示和同级党代表大会的决议，领导本地方的工作，定期向上级党的委员会报告工作。|||Dans l’intervalle des sessions du congrès local, le comité du Parti qui en est issu exécute les instructions de l’organisation du Parti de l’échelon supérieur et les résolutions dudit congrès, dirige les activités du Parti dans sa région et présente régulièrement un compte rendu de son travail au comité du Parti de l’échelon supérieur.
第二十八条　党的地方各级委员会全体会议，选举常务委员会和书记、副书记，并报上级党的委员会批准。|||Article 28 Le comité local du Parti aux divers échelons élit en réunion plénière son comité permanent, son secrétaire et ses secrétaires adjoints, et il en adresse un rapport au comité de l’échelon supérieur pour approbation.
党的地方各级委员会的常务委员会，在委员会全体会议闭会期间，行使委员会职权；在下届代表大会开会期间，继续主持经常工作，直到新的常务委员会产生为止。|||Le comité permanent du comité local du Parti exerce les fonctions et pouvoirs du comité du Parti dans l’intervalle des réunions plénières de celui-ci, et il continue de régler les affaires courantes pendant la durée de la session du congrès suivant, et ce, jusqu’à la formation du nouveau comité permanent.
党的地方各级委员会的常务委员会定期向委员会全体会议报告工作，接受监督。|||Le comité permanent du comité local du Parti aux divers échelons est tenu de rendre régulièrement compte de son activité à la session plénière du comité local et de se soumettre au contrôle de cette dernière.
第二十九条　党的地区委员会和相当于地区委员会的组织，是党的省、自治区委员会在几个县、自治县、市范围内派出的代表机关。|||Article 29 Les comités du Parti au niveau de la préfecture, ainsi que les organisations du même niveau, sont des organes représentatifs délégués par les comités du Parti de la province ou de la région autonome dans les circonscriptions englobant chacune plusieurs districts, districts autonomes ou municipalités.
它根据省、自治区委员会的授权，领导本地区的工作。|||Mandatés par les comités du Parti de la province ou de la région autonome, ils sont responsables des activités du Parti dans leur circonscription.
第五章　党的基层组织|||CHAPITRE V LES ORGANISATIONS DE BASE DU PARTI
