政府工作报告|||﻿RAPPORT D’ACTIVITÉ DU GOUVERNEMENT
进一步解决中小微企业融资难题。延续普惠小微企业贷款延期还本付息政策，加大再贷款再贴现支持普惠金融力度。延长小微企业融资担保降费奖补政策，完善贷款风险分担补偿机制。|||Nous continuerons à aider les PME et les microentreprises à résoudre leurs difficultés de financement ; à appliquer la politique visant à leur accorder un moratoire sur le service de leurs crédits préférentiels ; à renforcer le soutien à la finance inclusive par les recrédits et les réescomptes ; à prolonger les politiques de récompense et de subvention en faveur de la réduction des coûts de garantie pour le financement des PEMIC ; et à perfectionner les mécanismes de partage et de compensation en matière de risque de crédit.
加快信用信息共享步伐。|||Le processus de partage des informations sur la crédibilité sera accéléré.
完善金融机构考核、评价和尽职免责制度。|||Le système d’examen, d’évaluation des performances et d’exonération de responsabilité des institutions financières sera amélioré.
引导银行扩大信用贷款、持续增加首贷户，推广随借随还贷款，使资金更多流向科技创新、绿色发展，更多流向小微企业、个体工商户、新型农业经营主体，|||Les banques seront encouragées à augmenter leurs prêts à crédit, à prêter à davantage de primo-emprunteurs et à généraliser les prêts « faciles à contracter et faciles à rembourser ». Elles devront privilégier l’innovation scientifique et technologique, le développement vert, les PEMIC, les autoentrepreneurs et les exploitants agricoles de type nouveau.
对受疫情持续影响行业企业给予定向支持。|||Un soutien ciblé sera apporté aux secteurs et entreprises qui souffrent encore des effets de l’épidémie de COVID-19.
大型商业银行普惠小微企业贷款增长30%以上。|||Le taux de croissance des crédits préférentiels octroyés aux PEMIC par les grandes banques commerciales augmentera de plus de 30 %.
创新供应链金融服务模式。适当降低小微企业支付手续费。|||De nouveaux modes de services financiers aux chaînes d’approvisionnement seront introduits, et les frais que doivent payer les PEMIC à la contraction d’un emprunt seront réduits de manière adéquate.
优化存款利率监管，推动实际贷款利率进一步降低，继续引导金融系统向实体经济让利。|||Nous améliorerons la supervision du taux d’intérêt des dépôts, promouvrons la baisse du taux réel d’intérêt sur prêt, et encouragerons le système financier à céder une part de ses bénéfices au profit de l’économie réelle.
今年务必做到小微企业融资更便利、综合融资成本稳中有降。|||En 2021, il faudra absolument que les PEMIC puissent obtenir plus facilement des financements et que les coûts généraux de financement continuent à baisser.
就业优先政策要继续强化、聚力增效。|||La politique de priorité à l’emploi devra être renforcée et rendue plus efficace.
着力稳定现有岗位，对不裁员少裁员的企业，继续给予必要的财税、金融等政策支持。|||Nous travaillerons à stabiliser les postes actuels, en continuant à accorder tout le soutien nécessaire en matière de politiques budgétaire, fiscale et financière aux entreprises qui évitent les licenciements ou les limitent.
继续降低失业和工伤保险费率，扩大失业保险返还等阶段性稳岗政策惠及范围，延长以工代训政策实施期限。|||Nous prolongerons la politique visant à abaisser le taux de cotisation patronale à l’assurance chômage et à l’assurance contre les accidents du travail ; élargirons la couverture des politiques de stabilisation de l’emploi à court terme telles que le reversement aux entreprises d’une partie de leurs cotisations à l’assurance chômage ; et prolongerons la politique de la formation sur le lieu de travail.
拓宽市场化就业渠道，促进创业带动就业。|||Nous diversifierons les voies d’accès à l’emploi conformément aux règles du marché et promouvrons l’emploi par la création d’entreprises.
推动降低就业门槛，动态优化国家职业资格目录，降低或取消部分准入类职业资格考试工作年限要求。|||Nous assouplirons les restrictions à l’embauche, optimiserons en fonction de la situation le Catalogue des certifications professionnelles d’État, et abaisserons ou supprimerons les exigences en matière d’ancienneté pour pouvoir passer certains examens de certification professionnelle obligatoire.
支持和规范发展新就业形态，加快推进职业伤害保障试点。|||Nous soutiendrons et réglementerons le développement de nouvelles formes d’emploi, et ferons avancer les expériences pilotes de l’assurance sur le préjudice professionnel.
继续对灵活就业人员给予社保补贴，推动放开在就业地参加社会保险的户籍限制。|||Nous continuerons à octroyer aux travailleurs flexibles une allocation pour les aider à payer leurs cotisations à la sécurité sociale, et procéderons à la suppression des contraintes en matière d’état civil qui empêchent certains travailleurs de s’inscrire sur place à la sécurité sociale.
做好高校毕业生、退役军人、农民工等重点群体就业工作，完善残疾人、零就业家庭成员等困难人员就业帮扶政策，促进失业人员再就业。|||Tout en assurant la réinsertion sociale des chômeurs, nous veillerons à ce que les chercheurs d’emploi prioritaires tels que les nouveaux diplômés universitaires, les militaires démobilisés et les travailleurs migrants puissent trouver du travail, et perfectionnerons les politiques d’aide aux catégories ayant des difficultés à trouver un emploi tels que les handicapés et les familles dont tous les membres sont sans travail.
拓宽职业技能培训资金使用范围，开展大规模、多层次职业技能培训，完成职业技能提升和高职扩招三年行动目标，建设一批高技能人才培训基地。|||Nous élargirons l’utilisation du fonds en faveur de la formation professionnelle, lancerons des formations professionnelles à grande échelle et à multiples niveaux, réaliserons les objectifs du plan triennal visant à augmenter les aptitudes professionnelles et à admettre davantage d’élèves dans l’enseignement supérieur professionnel, et créerons des centres destinés à former des personnes possédant de grandes aptitudes.
健全就业公共服务体系，实施提升就业服务质量工程。|||Le système de services publics en matière d’emploi sera perfectionné, et un projet visant à améliorer la qualité des services à l’emploi sera mis en œuvre.
运用就业专项补助等资金，支持各类劳动力市场、人才市场、零工市场建设，广开就业门路，为有意愿有能力的人创造更多公平就业机会。|||Nous utiliserons les subventions spéciales à l’emploi et d’autres fonds pour développer les marchés de journaliers, les marchés de main-d’œuvre et les marchés de salariés de haut niveau, afin de multiplier les voies d’accès à l’emploi et d’offrir à tous ceux qui veulent travailler et qui ont les compétences requises plus de chances égales d’avoir un travail décent.
（二）深入推进重点领域改革，更大激发市场主体活力。|||Approfondir la réforme des secteurs prioritaires pour stimuler davantage le dynamisme des acteurs du marché.
在落实助企纾困政策的同时，加大力度推动相关改革，培育更加活跃更有创造力的市场主体。|||Tout en appliquant les politiques visant à aider les entreprises à sortir des difficultés, nous promouvrons plus énergiquement les réformes dans ce domaine pour former des acteurs du marché plus dynamiques et plus créatifs.
进一步转变政府职能。|||Poursuivre la reconversion des attributions des administrations.
充分发挥市场在资源配置中的决定性作用，更好发挥政府作用，推动有效市场和有为政府更好结合。|||Nous nous attacherons à mettre pleinement en valeur le rôle déterminant du marché dans l’allocation des ressources, à faire jouer au gouvernement le rôle qui doit être le sien, et à combiner au mieux l’édification d’un marché efficace et d’un gouvernement compétent.
继续放宽市场准入，开展要素市场化配置综合改革试点，依法平等保护各类市场主体产权。|||Nous continuerons à assouplir l’accès au marché, en menant des expériences pilotes de réforme générale en faveur de la répartition des facteurs de production selon les règles du marché, et protégerons, en vertu de la loi et sur un pied d’égalité, les droits de propriété des divers acteurs du marché.
纵深推进“放管服”改革，加快营造市场化、法治化、国际化营商环境。|||Afin de créer plus rapidement un environnement des affaires conforme aux règles du marché et tourné vers la légalité et l’international, nous approfondirons la réforme visant à promouvoir la décentralisation et la simplification administratives, à concilier le contrôle et le laissez-faire et à améliorer les services publics.
将行政许可事项全部纳入清单管理。|||Nous procéderons à la gestion selon une liste préétablie de toutes les formalités d’autorisation administrative.
深化“证照分离”改革，大力推进涉企审批减环节、减材料、减时限、减费用。|||Nous mènerons en profondeur la réforme visant à séparer la délivrance de la licence commerciale de l’octroi du permis d’exploitation. S’agissant de l’approbation administrative à laquelle sont soumises les entreprises, nous simplifierons les étapes et les documents requis, réduirons les frais et raccourcirons les délais d’attente.
完善市场主体退出机制，实行中小微企业简易注销制度。|||Le système de retrait des acteurs du marché sera amélioré, et le système de radiation d’une PME ou d’une microentreprise sera simplifié.
实施工业产品准入制度改革，推进汽车、电子电器等行业生产准入和流通管理全流程改革。|||Nous introduirons un nouveau système d’autorisation des produits industriels. Dans certains secteurs comme l’automobile, l’électronique et les appareils électriques, la réforme portera sur l’ensemble de l’activité, de l’autorisation de produire au contrôle de la commercialisation.
把有效监管作为简政放权的必要保障，全面落实监管责任，加强对取消或下放审批事项的事中事后监管，完善分级分类监管政策，健全跨部门综合监管制度，大力推行“互联网+监管”，提升监管能力，加大失信惩处力度，以公正监管促进优胜劣汰。|||En prenant un contrôle efficace pour la garantie nécessaire de la décentralisation et de la simplification administratives, nous insisterons globalement sur la responsabilité de contrôle, renforcerons les contrôles pendant et après sur les catégories dont l’approbation administrative est annulée ou déléguée, améliorerons les politiques de contrôle visant divers niveaux et diverses catégories, perfectionnerons le système de contrôle général interdépartemental, promouvrons énergiquement l’« Internet + contrôle », augmenterons notre capacité de contrôle, et rendrons plus sévères les sanctions en cas de perte de crédit, afin de stimuler la « sélection naturelle » par un contrôle équitable.
加强数字政府建设，建立健全政务数据共享协调机制，推动电子证照扩大应用领域和全国互通互认，实现更多政务服务事项网上办、掌上办、一次办。|||Pour renforcer la mise en place d’un gouvernement numérique, nous mettrons au point un mécanisme de coordination en matière de partage des données administratives, et veillerons à ce que les licences électroniques soient utilisées dans davantage de domaines et reconnues dans tout le pays. Davantage de services administratifs seront accessibles sur la Toile ou sur le téléphone mobile ; davantage de formalités pourront être faites en une fois.
企业和群众经常办理的事项，今年要基本实现“跨省通办”。|||L’accomplissement de formalités administratives transprovinciales liées aux services les plus utilisés par les entreprises et les masses deviendra une réalité dans la plus grande partie du pays.
用改革办法推动降低企业生产经营成本。|||Encourager à réduire, par la réforme, les coûts de production et d’exploitation des entreprises.
推进能源、交通、电信等基础性行业改革，提高服务效率，降低收费水平。|||Nous poursuivrons la réforme de l’énergie, des transports, des télécommunications et des autres secteurs de base, afin d’augmenter l’efficacité de leurs services et de réduire leurs tarifs.
允许所有制造业企业参与电力市场化交易，进一步清理用电不合理加价，继续推动降低一般工商业电价。|||Nous permettrons à toutes les entreprises manufacturières d’avoir accès à la commercialisation de l’électricité selon les règles du marché, annulerons les majorations injustifiées des tarifs électriques, et favoriserons la réduction des tarifs de l’électricité appliqués aux entreprises industrielles et commerciales ordinaires.
中小企业宽带和专线平均资费再降10%。|||Les PME bénéficieront d’une nouvelle baisse des tarifs (10 % en moyenne) pour l’abonnement à l’Internet haut débit et l’utilisation des lignes spéciales.
全面推广高速公路差异化收费，坚决整治违规设置妨碍货车通行的道路限高限宽设施和检查卡点。|||Un régime de tarification différenciée pour les autoroutes à péage sera généralisé dans tout le pays, et nous modifierons résolument les installations et les points de contrôle injustifiés qui, en limitant la hauteur et la largeur des camions sur les routes, les empêchent de circuler librement.
取消港口建设费，将民航发展基金航空公司征收标准降低20%。|||Les redevances pour la construction de ports seront supprimées, et nous réduirons de 20 % les taxes à verser au fonds de développement de l’aviation civile par les compagnies aériennes.
鼓励受疫情影响较大的地方对承租国有房屋的服务业小微企业和个体工商户减免租金。|||Nous encouragerons la réduction, voire l’annulation des loyers des immeubles dont l’État est propriétaire pour les PEMIC du tertiaire et les autoentrepreneurs dans les régions gravement touchées par l’épidémie.
推动各类中介机构公开服务条件、流程、时限和收费标准。|||Les agences intermédiaires de toutes sortes seront encouragées à faire connaître au client chaque détail de leur service : conditions, déroulé, délais et tarifs.
要严控非税收入不合理增长，严厉整治乱收费、乱罚款、乱摊派，不得扰民渔利，让市场主体安心经营、轻装前行。|||Nous empêcherons la croissance déraisonnable des recettes non fiscales, et réprimerons sévèrement les taxations arbitraires, les amendes injustifiées et les collectes illégales. Nous mettrons le holà aux abus qui enrichissent certaines administrations aux dépens de la population, afin de rendre aux acteurs du marché la confiance et la vitalité.
促进多种所有制经济共同发展。|||Favoriser le développement de toutes les formes de propriété de l’économie.
坚持和完善社会主义基本经济制度。毫不动摇巩固和发展公有制经济，毫不动摇鼓励、支持、引导非公有制经济发展。|||Nous devons maintenir et perfectionner le système économique fondamental du socialisme, consolider et développer sans relâche l’économie publique, tout en encourageant, soutenant et orientant avec détermination le développement de l’économie non publique.
各类市场主体都是国家现代化的建设者，要一视同仁、平等对待。|||Comme ils contribuent tous à la modernisation du pays, tous les acteurs du marché méritent d’être traités sur un pied d’égalité.
深入实施国企改革三年行动，做强做优做大国有资本和国有企业。|||Nous mènerons de manière approfondie l’action triennale de réforme des entreprises publiques et veillerons à ce que les actifs de l’État et les entreprises publiques gagnent en puissance, en ampleur et en performance.
深化国有企业混合所有制改革。|||La réforme en matière d’introduction de la propriété mixte dans les entreprises publiques sera approfondie.
构建亲清政商关系，破除制约民营企业发展的各种壁垒。|||Nous travaillerons à établir des relations basées sur la sincérité et la transparence entre les pouvoirs publics et les acteurs économiques, et à éliminer les barrières de toute sorte qui entravent le développement des entreprises privées.
健全防范和化解拖欠中小企业账款长效机制。|||Nous perfectionnerons le mécanisme permanent de prévention et de règlement des arriérés de paiement vis-à-vis des PME.
弘扬企业家精神。|||Nous mettrons à l’honneur l’esprit entrepreneurial.
国家支持平台企业创新发展、增强国际竞争力，同时要依法规范发展，健全数字规则。|||L’État doit aider les plateformes en ligne à réaliser un développement innovant et à améliorer leur compétitivité internationale, tout en réglementant leur développement en vertu de la loi et en perfectionnant les règles numériques.
强化反垄断和防止资本无序扩张，坚决维护公平竞争市场环境。|||Nous renforcerons la lutte contre les monopoles et travaillerons à éviter l’expansion désordonnée du capital, afin de préserver un environnement de marché favorable à la concurrence loyale.
深化财税金融体制改革。|||Approfondir la réforme budgétaire, fiscale et financière.
强化预算约束和绩效管理，加大预算公开力度，精简享受税费优惠政策的办理流程和手续。|||Il faut renforcer les contraintes budgétaires et la gestion à la performance, rendre publics plus de budgets et simplifier les démarches pour bénéficier d’une politique fiscale préférentielle.
落实中央与地方财政事权和支出责任划分改革方案。|||Nous appliquerons la réforme visant à délimiter les attributions en matière de budget et les responsabilités en matière de dépenses entre les autorités centrales et locales.
健全地方税体系。|||Nous perfectionnerons le système fiscal local.
继续多渠道补充中小银行资本、强化公司治理，深化农村信用社改革，推进政策性银行分类分账改革，提升保险保障和服务功能。|||Nous continuerons à aider les petites et moyennes banques à diversifier leurs canaux de capitalisation et à renforcer leur gestion, approfondirons la réforme des coopératives rurales de crédit, poursuivrons la réforme des banques à rôle spécifique pour qu’elles effectuent une gestion par poste et un calcul par catégorie, et améliorerons les fonctions de garantie et de services des assurances.
稳步推进注册制改革，完善常态化退市机制，加强债券市场建设，更好发挥多层次资本市场作用，拓展市场主体融资渠道。|||Nous allons généraliser progressivement le système d’enregistrement pour l’émission d’actions, perfectionner les procédures de retrait des actions de la cotation boursière, renforcer l’édification du marché obligataire, mieux faire jouer son rôle au marché des capitaux à multiples niveaux et élargir les canaux de financement des acteurs du marché.
强化金融控股公司和金融科技监管，确保金融创新在审慎监管的前提下进行。|||Nous intensifierons le contrôle des holdings et des technologies financières, et placerons les innovations financières sous une supervision prudente.
完善金融风险处置工作机制，压实各方责任，坚决守住不发生系统性风险的底线。|||Nous améliorerons les mécanismes de traitement des risques financiers et veillerons à ce que toutes les parties assument leurs responsabilités, de manière à maîtriser les risques systémiques et à ne pas dépasser les seuils critiques.
金融机构要坚守服务实体经济的本分。|||Bref, les institutions financières devront rester fidèles à leur vocation première qui est de servir l’économie réelle.
（三）依靠创新推动实体经济高质量发展，培育壮大新动能。|||Promouvoir par l’innovation le développement de l’économie réelle en mettant l’accent sur sa qualité, et promouvoir de nouveaux moteurs de développement.
促进科技创新与实体经济深度融合，更好发挥创新驱动发展作用。|||Nous devons favoriser l’intégration approfondie de l’économie réelle et de l’innovation scientifique et technologique, tout en faisant mieux jouer à l’innovation son rôle de moteur du développement.
提升科技创新能力。|||Améliorer notre capacité d’innovation scientifique et technologique.
强化国家战略科技力量，推进国家实验室建设，完善科技项目和创新基地布局。|||Nous consoliderons nos forces scientifiques et technologiques d’intérêt stratégique, ferons avancer la construction de laboratoires nationaux, et améliorerons la répartition des centres d’innovation et des projets scientifiques et technologiques.
实施好关键核心技术攻关工程，深入谋划推进“科技创新2030－重大项目”，改革科技重大专项实施方式，推广“揭榜挂帅”等机制。|||Les projets visant à réaliser des percées dans le domaine des technologies clés et des technologies de base seront menés à bien, et une planification consciencieuse sera mise en œuvre pour faire progresser les projets prioritaires du plan « Innovation à l’horizon 2030 ». De nouveaux modes d’exécution des grands projets technoscientifiques spéciaux seront introduits, et divers mécanismes pour optimiser leur réalisation, dont le système d’appel d’offres pour la sélection des candidats les plus compétents, seront généralisés.
支持有条件的地方建设国际和区域科技创新中心，增强国家自主创新示范区等带动作用。|||Nous encouragerons les régions où les conditions sont réunies à créer des centres internationaux ou régionaux d’innovation scientifique et technologique, et renforcerons le rôle d’entraînement des zones modèles d’innovation autonome au niveau national.
发展疾病防治攻关等民生科技。|||Nous développerons les sciences et technologies, notamment en réalisant des percées dans le domaine de la prévention et du traitement des maladies, afin d’améliorer les conditions de vie de la population.
促进科技开放合作。加强知识产权保护。|||L’ouverture et la coopération dans le domaine scientifique et technologique seront favorisées, et la protection des droits de propriété intellectuelle sera renforcée.
加强科研诚信建设，弘扬科学精神，营造良好创新生态。|||Nous insisterons sur l’intégrité scientifique, promouvrons l’esprit scientifique et créerons un environnement favorable à l’innovation.
基础研究是科技创新的源头，要健全稳定支持机制，大幅增加投入，中央本级基础研究支出增长10.|||Nous devons perfectionner le mécanisme de soutien régulier et accroître fortement les investissements dans le domaine de la recherche fondamentale, étant donné que cette dernière constitue la source de l’innovation scientifique et technologique. C’est pourquoi les dépenses à l’échelon central destinées à la recherche fondamentale augmenteront de 10,6 %.
6%，落实扩大经费使用自主权政策，优化项目申报、评审、经费管理、人才评价和激励机制，努力消除科研人员不合理负担，使他们能够沉下心来致力科学探索，以“十年磨一剑”精神在关键核心领域实现重大突破。|||De plus, nous mettrons en œuvre des politiques visant à accorder une plus grande autonomie en matière d’utilisation de fonds, et améliorerons les mécanismes d’approbation et d’examen des projets, de gestion des fonds, ainsi que d’évaluation et d’incitation des talents. Nous veillerons à supprimer les charges injustifiées qui pèsent sur le personnel de recherche, afin qu’il puisse se concentrer sur son travail et réaliser de grandes percées dans les domaines clés, car comme le dit un vieil adage chinois : « Il faut dix ans pour forger une bonne épée. »
运用市场化机制激励企业创新。|||Encourager l’innovation des entreprises en recourant aux mécanismes du marché.
强化企业创新主体地位，鼓励领军企业组建创新联合体，拓展产学研用融合通道，健全科技成果产权激励机制，完善创业投资监管体制和发展政策，纵深推进大众创业万众创新。|||Nous renforcerons le rôle primordial des entreprises dans l’innovation, encouragerons les entreprises leaders à créer des associations en faveur de l’innovation, multiplierons les voies de coopération entre l’industrie, l’enseignement, la recherche et la conversion des résultats scientifiques et technologiques, améliorerons les mécanismes d’encouragement à la découverte scientifique et technologique par le droit de propriété, perfectionnerons les politiques en faveur du capital-risque ainsi que les mécanismes de contrôle en la matière, et favoriserons le développement en profondeur de l’innovation et de l’entrepreneuriat de masses.
延续执行企业研发费用加计扣除75%政策，将制造业企业加计扣除比例提高到100%，用税收优惠机制激励企业加大研发投入，着力推动企业以创新引领发展。|||Nous continuerons à appliquer les politiques visant à accorder à toutes les entreprises une déduction majorée de 75 % pour les dépenses en R-D, et porterons à 100 % la déduction majorée pour les frais consacrés à la R-D par les entreprises manufacturières. Grâce à des avantages fiscaux, nous encouragerons les entreprises à accroître leurs investissements en R-D et à orienter le développement par l’innovation.
优化和稳定产业链供应链。|||Stabiliser et optimiser les chaînes industrielles et d’approvisionnement.
继续完成“三去一降一补”重要任务。|||Nous continuerons à accomplir les tâches importantes que sont l’élimination des capacités de production obsolètes, la réduction des stocks immobiliers, la diminution du ratio de levier, l’abaissement des coûts de production et le comblement des faiblesses de l’économie.
对先进制造业企业按月全额退还增值税增量留抵税额，提高制造业贷款比重，扩大制造业设备更新和技术改造投资。|||Nous appliquerons la politique de remboursement mensuel du surplus total du crédit de TVA pour les entreprises manufacturières de pointe, augmenterons la part des prêts à l’industrie manufacturière, et accroîtrons l’investissement consacré à la reconversion technique et au renouvellement des équipements.
增强产业链供应链自主可控能力，实施好产业基础再造工程，发挥大企业引领支撑和中小微企业协作配套作用。|||Nous augmenterons nos capacités d’autonomie et de contrôle dans les chaînes industrielles et d’approvisionnement, mènerons à bien les projets visant à reconstruire les bases industrielles, et ferons jouer aux grandes entreprises leur rôle d’orientation et de soutien, aux PME et aux microentreprises leur rôle de coordination et d’accompagnement.
发展工业互联网，促进产业链和创新链融合，搭建更多共性技术研发平台，提升中小微企业创新能力和专业化水平。|||Nous développerons l’Internet industriel, promouvrons l’intégration des chaînes industrielles et de la chaîne de l’innovation, mettrons en place davantage de plateformes consacrées à la R-D des technologies génériques, et encouragerons les PME et les microentreprises à augmenter leur capacité d’innovation ainsi que leur niveau de spécialisation.
加大5G网络和千兆光网建设力度，丰富应用场景。|||La construction des réseaux 5G et des réseaux de fibres optiques gigabit sera renforcée, et les scénarios du déploiement de la 5G seront diversifiés.
加强网络安全、数据安全和个人信息保护。|||La cybersécurité, la sécurité des données et la protection des informations personnelles seront renforcées.
统筹新兴产业布局。|||La répartition des industries émergentes sera planifiée dans son ensemble.
加强质量基础设施建设，深入实施质量提升行动，完善标准体系，促进产业链上下游标准有效衔接，弘扬工匠精神，以精工细作提升中国制造品质。|||Nous renforcerons l’infrastructure de la qualité, mènerons en profondeur des actions pour améliorer la qualité, perfectionnerons le système de normes, et assurerons une meilleure articulation des normes en amont et en aval des chaînes industrielles. Enfin, nous ferons rayonner l’esprit du maître artisan et augmenterons la qualité du « Fabriqué en Chine » grâce à un travail raffiné et soigneux.
（四）坚持扩大内需这个战略基点，充分挖掘国内市场潜力。|||Ne jamais nous départir de la tâche stratégique qu’est l’accroissement de la demande intérieure et mettre pleinement en valeur le potentiel du marché intérieur.
紧紧围绕改善民生拓展需求，促进消费与投资有效结合，实现供需更高水平动态平衡。|||En nous concentrant sur l’amélioration du bien-être du peuple chinois, nous devons favoriser l’accroissement de la demande ainsi que l’association entre la consommation et l’investissement, afin de porter à un niveau plus élevé l’équilibre dynamique entre l’offre et la demande.
稳定和扩大消费。|||Stabiliser et accroître la consommation.
多渠道增加居民收入。|||Nous nous attacherons à augmenter les revenus des habitants via de multiples canaux.
健全城乡流通体系，加快电商、快递进农村，扩大县乡消费。|||Nous perfectionnerons le système de distribution couvrant les villes et les campagnes, favoriserons l’accélération du développement du cybercommerce et de la livraison à domicile dans les régions rurales, et chercherons à accroître la consommation dans les districts et cantons.
稳定增加汽车、家电等大宗消费，取消对二手车交易不合理限制，增加停车场、充电桩、换电站等设施，加快建设动力电池回收利用体系。|||La consommation de biens comme l’automobile et l’électroménager sera promue afin que celle-ci augmente de façon régulière ; les restrictions injustifiées sur le commerce des véhicules d’occasion seront supprimées ; davantage d’installations telles que les parcs de stationnement, les bornes de recharge et les stations d’échange de batteries seront construites ; la mise en place d’un système de recyclage des batteries de véhicule électrique sera accélérée.
发展健康、文化、旅游、体育等服务消费。|||Nous développerons la consommation des services dans divers domaines : santé, culture, tourisme, sports, etc.
鼓励企业创新产品和服务，便利新产品市场准入，推进内外贸产品同线同标同质。|||Nous encouragerons les entreprises à innover en matière de produits et de services, faciliterons l’accès de nouveaux produits au marché, et promouvrons l’uniformisation des normes et de la qualité dans chaque chaîne de production, qu’il s’agisse de produits destinés au marché étranger ou national.
保障小店商铺等便民服务业有序运营。|||Nous veillerons à assurer le bon fonctionnement de petits commerces et d’autres services qui rendent la vie des gens plus commode.
运用好“互联网+”，推进线上线下更广更深融合，发展新业态新模式，为消费者提供更多便捷舒心的服务和产品。|||Nous utiliserons pleinement l’« Internet + », favoriserons l’intégration plus large et plus approfondie des services en ligne et hors ligne, et développerons de nouveaux modes et de nouvelles activités de services, afin d’offrir aux consommateurs un plus grand choix de services et de produits, et de leur rendre la vie plus agréable et plus facile.
引导平台企业合理降低商户服务费。|||Les plateformes en ligne seront encouragées à diminuer raisonnablement leurs frais imposés aux commerçants.
稳步提高消费能力，改善消费环境，让居民能消费、愿消费，以促进民生改善和经济发展。|||Nous travaillerons à augmenter régulièrement le pouvoir d’achat et à créer un environnement plus favorable à la consommation, afin que les Chinois aient envie de consommer et les moyens de le faire que le niveau de vie s’élève et que l’économie se développe.
扩大有效投资。|||Accroître l’investissement effectif.
今年拟安排地方政府专项债券3.65万亿元，优化债券资金使用，优先支持在建工程，合理扩大使用范围。|||En 2021, des obligations spéciales à hauteur de 3 650 milliards de yuans seront émises par les autorités locales. Nous veillerons à optimiser l’utilisation de ces fonds obligataires en privilégiant les projets de construction en cours et à étendre de manière appropriée le champ d’application de ces fonds.
中央预算内投资安排6100亿元。|||Les investissements prévus par le budget central s’établiront à 610 milliards de yuans.
继续支持促进区域协调发展的重大工程，推进“两新一重”建设，实施一批交通、能源、水利等重大工程项目，建设信息网络等新型基础设施，发展现代物流体系。|||Nous continuerons à soutenir les grands projets favorables au développement harmonieux des différentes régions, et poursuivrons la construction d’infrastructures de type nouveau, la nouvelle urbanisation et l’exécution de grands projets dans les domaines du transport et de l’hydraulique. Nous mettrons en œuvre une série de grands projets dans le domaine des transports, de l’énergie et des travaux hydrauliques, établirons des réseaux informatiques et d’autres d’infrastructures de type nouveau, et développerons un système de logistique moderne.
政府投资更多向惠及面广的民生项目倾斜，新开工改造城镇老旧小区5.3万个，提升县城公共服务水平。|||Davantage d’investissements gouvernementaux seront orientés vers les projets de bien-être social qui ont un grand rayonnement. 53 000 nouveaux chantiers de rénovation de quartiers urbains vétustes seront lancés, et nous nous efforcerons d’élever le niveau des services publics dans les chefs-lieux de district.
简化投资审批程序，推进实施企业投资项目承诺制。|||Les procédures d’approbation des investissements seront simplifiées, et le système permettant aux entreprises de prendre des engagements sur des projets d’investissement sera mis en œuvre.
深化工程建设项目审批制度改革。|||La réforme du système d’approbation des projets de construction sera poursuivie en profondeur.
完善支持社会资本参与政策，进一步拆除妨碍民间投资的各种藩篱，在更多领域让社会资本进得来、能发展、有作为。|||De plus, nous perfectionnerons les politiques visant à encourager les capitaux privés à participer aux projets importants, continuerons à lever tous les obstacles qui entravent les investissements privés, et ferons en sorte que les capitaux privés puissent entrer dans davantage de domaines, s’y développer et y produire leurs effets.
（五）全面实施乡村振兴战略，促进农业稳定发展和农民增收。|||Appliquer sur tous les plans la stratégie de redressement rural, et favoriser le développement soutenu de l’agriculture et l’augmentation des revenus des paysans.
接续推进脱贫地区发展，抓好农业生产，改善农村生产生活条件。|||Nous devons promouvoir le développement des régions sorties de la pauvreté, mieux assurer la production agricole, et améliorer les conditions de vie et de production dans les régions rurales.
做好巩固拓展脱贫攻坚成果同乡村振兴有效衔接。|||Veiller à ce que la consolidation des résultats obtenus dans la lutte contre la pauvreté s’articule avec le redressement rural.
对脱贫县从脱贫之日起设立5年过渡期，保持主要帮扶政策总体稳定。|||Nous maintiendrons pendant cinq ans, à compter du jour de leur sortie officielle de la pauvreté, les principales politiques d’aide et de soutien pour les districts précédemment pauvres.
健全防止返贫动态监测和帮扶机制，促进脱贫人口稳定就业，加大技能培训力度，发展壮大脱贫地区产业，做好易地搬迁后续扶持，分层分类加强对农村低收入人口常态化帮扶，确保不发生规模性返贫。|||Nous perfectionnerons les mécanismes de contrôle dynamique et d’assistance visant à prévenir la rechute dans la pauvreté, favoriserons l’emploi stable des populations sorties de la précarité, renforcerons la formation d’aptitudes professionnelles, développerons les industries dans les régions sorties de la pauvreté, continuerons à offrir une assistance aux habitants relogés dans des régions plus prospères et accroîtrons, par catégorie et par niveau, l’aide permanente aux populations rurales à faibles revenus, afin d’éviter une rechute massive dans la pauvreté.
在西部地区脱贫县中集中支持一批乡村振兴重点帮扶县。|||Dans le cadre du redressement du milieu rural, nous soutiendrons en priorité certains districts de l’Ouest qui sont sortis de la pauvreté.
坚持和完善东西部协作和对口支援机制，发挥中央单位和社会力量帮扶作用，继续支持脱贫地区增强内生发展能力。|||De plus, nous maintiendrons, tout en les améliorant, les mécanismes d’aide parallèle et de coordination entre l’Est et l’Ouest, ferons jouer leur rôle d’assistance aux divers départements du pouvoir central et aux acteurs de la société, et continuerons d’aider les régions sorties de la pauvreté à renforcer leur capacité de développement endogène.
提高粮食和重要农产品供给保障能力。|||Élever notre capacité en matière d’approvisionnement en céréales et en produits agricoles essentiels.
保障粮食安全的要害是种子和耕地。|||Les semences et les terres arables sont les bases de la sécurité alimentaire.
