2021年中国外交：|||LA DIPLOMATIE CHINOISE EN 2021 :
加强中欧高层战略沟通，坚持对话合作主导面，把准互利共赢主基调，继续做伙伴而不当对手。|||Nous intensifierons la communication stratégique de haut niveau avec l’UE, continuerons de faire prévaloir le dialogue, la coopération et les bénéfices mutuels dans les relations sino-européennes et resterons partenaires et non rivaux avec l’UE.
加强同周边国家融合发展，全面深化利益交融和民心相通，携手建设和平、安宁、繁荣、美丽、友好的共同家园。|||Nous renforcerons le développement intégré avec les pays voisins et approfondirons sur tous les plans la convergence d’intérêts et le rapprochement des peuples pour bâtir ensemble un foyer commun en paix, sûr, prospère, beau et amical.
坚定做发展中国家真诚可靠的伙伴，支持各国提升自主发展能力，捍卫发展中国家的正当发展权利。|||Nous demeurerons fermement un partenaire sincère et fiable pour les autres pays en développement, les soutiendrons dans le renforcement de leurs capacités de développement autonome et défendrons le droit au développement légitime des pays en développement.
五是致力推动中美关系稳健前行。|||Cinquièmement, nous œuvrerons pour que les relations sino-américaines aillent solidement de l’avant.
2022年是尼克松总统访华50周年，中美双方应当重拾融冰初心，落实两国元首共识，遵循相互尊重、和平共处、合作共赢三原则，恪守中美三个联合公报精神，推动美国对华政策回归理性，推动中美关系重回正轨，共同探寻不同制度、不同文化、不同发展阶段的两个大国在这个星球上和平共处之道，造福两国和世界人民。|||L’année 2022 marquera le 50e anniversaire de la visite en Chine du Président Richard Nixon. La partie chinoise et la partie américaine doivent revitaliser l’engagement initial qui avait permis de dégeler les relations entre les deux pays, mettre en œuvre les consensus réalisés entre les deux Chefs d’État, se guider sur les trois principes que sont le respect mutuel, la coexistence pacifique et la coopération gagnant-gagnant, et observer scrupuleusement l’esprit des trois Communiqués conjoints sino-américains pour favoriser le retour à la raison de la politique chinoise des États-Unis, ramener les relations sino-américaines sur la bonne voie et trouver ensemble une voie permettant aux deux grands pays aux systèmes, cultures et stades de développement différents de coexister en paix, au bénéfice des peuples des deux pays et des autres pays du monde.
六是坚定捍卫国家核心利益。|||Sixièmement, nous défendrons fermement les intérêts vitaux du pays.
对于任何危害中国主权、安全、发展利益的威胁挑战，我们都将坚决斗争；对于任何干涉我国内政、肆意造谣抹黑的恶劣行径，我们都将坚定反击。|||Nous lutterons résolument contre les menaces et défis de nature à porter atteinte à la souveraineté, à la sécurité et aux intérêts de développement du pays, et riposterons fermement à toute ingérence dans nos affaires intérieures ou mensonge sans scrupule pour nous dénigrer.
中国将继续奉行独立自主的和平外交政策，坚持走和平发展道路，与各国平等相待，实现合作共赢。|||La Chine poursuivra la politique étrangère d’indépendance et de paix et la voie du développement pacifique. Elle poursuivra l’égalité et la coopération mutuellement bénéfique avec les autres pays.
我们历来不依附别人、也从不掠夺别人，同时我们也决不会接受对中国进行任何胁迫和讹诈。|||Jamais elle ne s’est subordonnée aux autres ni n’a exploité qui que ce soit. Et nous ne cèderons jamais devant l’intimidation ou le chantage.
各位朋友，|||Chers Amis,
人间正道是沧桑。|||La marche de l’histoire continue et la justice prévaudra toujours.
人类文明进步潮流浩荡向前，中华民族复兴步伐不可阻挡。|||La civilisation humaine progresse sans arrêt et le grand renouveau de la nation chinoise est une tendance irrésistible.
新的历史征程上，中国外交将在习近平外交思想指引下，继续朝着构建人类命运共同体的目标奋力前行，为中国、为世界做出更大贡献，为历史、为未来书写更新篇章。|||Dans la nouvelle marche historique, la diplomatie chinoise continuera d’œuvrer à la lumière de la Pensée Xi Jinping sur la diplomatie, pour la construction d’une communauté d’avenir partagé pour l’humanité, en vue d’apporter une plus grande contribution à la Chine et au monde entier et d’écrire de nouveaux chapitres pour l’histoire et l’avenir.
谢谢大家！|||Je vous remercie.
