政府工作报告|||Rapport d'activité du gouvernement
加强新兴产业统计。|||Il faut renforcer les statistiques relatives aux industries émergentes.
加大网络提速降费力度，实现高速宽带城乡全覆盖，扩大公共场所免费上网范围，明显降低家庭宽带、企业宽带和专线使用费，取消流量“漫游”费，移动网络流量资费年内至少降低30%，让群众和企业切实受益，为数字中国、网络强国建设加油助力。|||Il faut accélérer le débit de l'Internet, tout en diminuant les tarifs d'abonnement, généraliser le haut débit dans les villes comme dans les campagnes, et élargir dans les lieux publics l'accès gratuit à l'Internet. Il faut aussi baisser sensiblement les frais perçus pour l'utilisation des lignes spéciales et de l'Internet à haut débit des ménages comme des entreprises. Les frais d'itinérance seront supprimés à l'intérieur du pays ; les frais de débit sur l'Internet mobile diminueront d'au moins de 30 % dans le courant de l'année. Toutes ces mesures ont pour but d'apporter des avantages tangibles aux masses populaires et aux entreprises, et de contribuer à faire rapidement de la Chine un grand pays du numérique et de la Toile.
加快制造强国建设。|||Faire plus rapidement encore de la Chine une puissance manufacturière.
推动集成电路、第五代移动通信、飞机发动机、新能源汽车、新材料等产业发展，实施重大短板装备专项工程，推进智能制造，发展工业互联网平台，创建“中国制造2025”示范区。|||Il faut poursuivre le développement des circuits intégrés, de la télécommunication mobile 5G, des moteurs d'avion, des véhicules à énergies nouvelles et du secteur des matériaux nouveaux, sans oublier de mettre en place un projet spécial pour combler les failles dans le développement des équipements importants, de promouvoir la fabrication intelligente, de développer les plates-formes de l'Internet industriel et de construire un groupe de zones modèles du "fabriqué en Chine 2025".
大幅压减工业生产许可证，强化产品质量监管。|||Il faut aussi diminuer massivement le nombre de licences requises pour la production industrielle et renforcer le contrôle de la qualité des produits.
全面开展质量提升行动，推进与国际先进水平对标达标，弘扬劳模精神和工匠精神，建设知识型、技能型、创新型劳动者大军，来一场中国制造的品质革命。|||Il faut mener sur toute la ligne l'action visant à améliorer la qualité des produits, effectuer des analyses comparatives avec les normes internationales avancées, et chercher à atteindre les normes les plus élevées. Il faut, par ailleurs, mettre à l'honneur l'esprit du travailleur modèle et de l'artisan, et former un grand nombre de travailleurs dotés de qualités intellectuelles, de compétences professionnelles et d'un esprit novateur, de manière à lancer une révolution de la qualité des produits fabriqués en Chine.
继续破除无效供给。|||Continuer à supprimer l'offre ineffective.
坚持用市场化法治化手段，严格执行环保、质量、安全等法规标准，化解过剩产能、淘汰落后产能。|||Pour résoudre le problème des surcapacités de production et éliminer les capacités obsolètes, nous devons continuer à recourir à des moyens qui correspondent aux exigences de l'État de droit et aux lois du marché, respecter strictement les règlements et les normes concernant la protection de l'environnement, ainsi que la qualité et la sécurité du travail.
今年再压减钢铁产能3000万吨左右，退出煤炭产能1.5亿吨左右，淘汰关停不达标的30万千瓦以下煤电机组。|||Cette année, nous nous sommes fixé pour objectif de retirer respectivement de la sidérurgie et l'industrie houillère 30 millions et 150 millions de tonnes de surcapacités, et de fermer les centrales électriques au charbon d'une capacité de moins de 300 000 kW non conformes aux normes.
加大“僵尸企业”破产清算和重整力度，做好职工安置和债务处置。|||Il faut promouvoir la refonte, la mise en faillite et la mise en liquidation des "entreprises zombies", tout en assurant la réinsertion de leurs travailleurs et le règlement de leurs dettes.
减少无效供给要抓出新成效。|||De nouveaux résultats sont attendus dans la réduction substantielle de l'offre ineffective.
深化“放管服”改革。|||Approfondir la réforme visant à promouvoir la décentralisation et la simplification administratives, tout en conciliant contrôle et laissez-faire et en améliorant les services.
全面实施全国统一的市场准入负面清单制度。|||Il faut appliquer sur toute la ligne le système de la liste négative nationale pour l'accès au marché.
在全国推开“证照分离”改革，重点是照后减证，各类证能减尽减、能合则合，进一步压缩企业开办时间。|||Nous élargirons à l'échelle nationale la réforme visant à séparer la délivrance de la licence commerciale de l'octroi du permis d'exploitation, en accordant la priorité à la réduction du nombre de permis requis une fois la licence délivrée, l'objectif étant de réduire le plus possible le nombre de permis et de les fusionner si possible, de manière à raccourcir le délai de création d'entreprise.
大幅缩短商标注册周期。工程建设项目审批时间再压减一半。|||Il faut raccourcir considérablement les délais de la procédure du dépôt de marque et réduire de moitié le temps d'approbation des projets de construction.
推进企业投资项目承诺制改革试点。|||Nous ferons avancer la réforme expérimentale visant à permettre aux entreprises de prendre des engagements sur des projets d'investissement.
全面实施“双随机、一公开”监管，决不允许假冒伪劣滋生蔓延，决不允许执法者吃拿卡要。|||Nous devons appliquer sur toute la ligne la méthode de contrôle sur échantillon, basé sur le tirage au sort de l'entreprise et du contrôleur, et sur la publication immédiate des résultats de l'examen et du traitement. Nous ne tolérerons pas l'éclosion et la propagation de la fabrication et de l'écoulement de contrefaçons et de produits de mauvaise qualité, ni les tentatives des forces de l'ordre qui abusent de leur pouvoir pour se procurer toutes sortes d'avantages matériels.
深入推进“互联网+政务服务”，使更多事项在网上办理，必须到现场办的也要力争做到“只进一扇门”、“最多跑一次”。|||Nous devons généraliser la formule "Internet + services administratifs", pour que davantage d'affaires soient traitées sur la Toile et que les citoyens, si leur présence sur place est nécessaire, puissent régler leurs affaires en n'ayant qu'à frapper à une seule porte : tout est résolu en une seule course.
加强政务服务标准化建设。|||Il faut renforcer la standardisation des services administratifs.
大力推进综合执法机构机制改革，着力解决多头多层重复执法问题。|||Nous promouvrons énergiquement la réforme du système des forces de l'ordre, de manière à éliminer la pléthore de services, les chevauchements et les subdivisions inutiles.
加快政府信息系统互联互通，打通信息孤岛。|||Il faut accélérer la connexion des systèmes informatiques gouvernementaux, et abattre tous les cloisonnements de l'information.
清理群众和企业办事的各类证明，没有法律法规依据的一律取消。|||Il faut réexaminer les divers certificats que les citoyens et entreprises doivent présenter dans les affaires administratives, et supprimer toutes les catégories qui ne sont pas basées sur la loi ou les réglementations.
优化营商环境就是解放生产力、提高竞争力，要破障碍、去烦苛、筑坦途，为市场主体添活力，为人民群众增便利。|||La création d'un environnement commercial favorable implique en effet la libéralisation des forces de production et l'amélioration de la compétitivité. Il nous faut éliminer les obstacles, supprimer les formalités compliquées, et dégager les voies en vue de renforcer la vitalité des acteurs du marché et de faciliter la vie des gens.
进一步减轻企业税负。|||Alléger les charges fiscales des entreprises.
改革完善增值税制度，按照三档并两档方向调整税率水平，重点降低制造业、交通运输等行业税率，提高小规模纳税人年销售额标准。|||Le régime de la TVA sera réformé et amélioré : les taux passeront de trois à deux, notre préoccupation étant de réduire en priorité la pression sur l'industrie manufacturière et les secteurs du transport et des communications, et le plafond du chiffre d'affaires annuel sera relevé pour la catégorie des petits contribuables.
大幅扩展享受减半征收所得税优惠政策的小微企业范围。|||La politique préférentielle permettant de réduire de moitié l'impôt sur le revenu sera appliquée à un plus grand nombre de PEMIC.
大幅提高企业新购入仪器设备税前扣除上限。|||En ce qui concerne les dépenses des entreprises destinées à de nouvelles commandes d'équipements, le plafond du montant bénéficiant d'une exemption fiscale sera considérablement élevé.
实施企业境外所得综合抵免政策。|||Les profits réalisés par nos entreprises à l'étranger bénéficieront d'une exonération générale de l'impôt sur le revenu.
扩大物流企业仓储用地税收优惠范围。|||Des avantages fiscaux relatifs à la taxe sur l'occupation de terrains urbains seront accordés à davantage d'entreprises de logistique pour leurs installations d'entreposage.
继续实施企业重组土地增值税、契税等到期优惠政策。|||Les politiques fiscales préférentielles, concernant, entre autres, la taxe sur la revalorisation des terres et les droits d'acte lors du regroupement d'entreprises, seront maintenues après leur expiration.
全年再为企业和个人减税8000多亿元，促进实体经济转型升级，着力激发市场活力和社会创造力。|||Pour cette année, on vise une réduction d'impôt de 800 milliards de yuans en faveur des entreprises et des particuliers, afin de promouvoir la transformation et la montée en gamme de l'économie réelle, et de stimuler la vitalité du marché et la créativité de la société.
大幅降低企业非税负担。|||Réduire dans de fortes proportions les charges non fiscales des entreprises.
进一步清理规范行政事业性收费，调低部分政府性基金征收标准。|||Il faut réexaminer les diverses catégories de redevances administratives, et abaisser les seuils de perception de certains fonds gouvernementaux.
继续阶段性降低企业“五险一金”缴费比例。|||La cotisation patronale de l'épargne-logement et des cinq types d'assurances [assurance maladie, assurance vieillesse, assurance chômage, assurance contre les accidents du travail et assurance maternité] sera réduite temporairement.
降低电网环节收费和输配电价格，一般工商业电价平均降低10%。|||Il faut diminuer les frais d'électricité supplémentaires d'utilité publique et les prix de transport et de distribution de l'électricité, en fixant comme objectif une baisse moyenne de 10 % du tarif électrique à l'usage industriel et commercial.
深化收费公路制度改革，降低过路过桥费用。|||On doit également approfondir la réforme sur le régime de péages routiers, afin de réduire les péages de pont et de route.
加大中介服务收费清理整顿力度。|||Les frais des services intermédiaires seront réexaminés et réglementés plus sévèrement.
全年要为市场主体减轻非税负担3000多亿元，不合理的坚决取消，过高的坚决降下来，让企业轻装上阵、聚力发展。|||En supprimant les frais injustifiés et en réduisant ceux qui sont jugés trop élevés, nous allégerons cette année les charges non fiscales des acteurs du marché de 300 milliards de yuans, ce qui devrait faciliter la vie des entreprises et les galvaniser.
（二）加快建设创新型国家。|||Faire plus rapidement de la Chine un pays d'innovation.
把握世界新一轮科技革命和产业变革大势，深入实施创新驱动发展战略，不断增强经济创新力和竞争力。|||Il importe de maîtriser la nouvelle grande vague de la révolution industrielle et technologique mondiale et de poursuivre en profondeur notre stratégie de développement par l'innovation, en sorte que la compétitivité de notre économie et sa capacité d'innovation ne cessent d'augmenter et de se renforcer.
加强国家创新体系建设。|||Renforcer le système national d'innovation.
强化基础研究、应用基础研究和原始创新，启动一批科技创新重大项目，高标准建设国家实验室。|||La recherche fondamentale, la recherche fondamentale appliquée et l'innovation originale seront renforcées, une série de grands projets d'innovation scientifique et technologique seront lancés, et des laboratoires nationaux répondant à des critères rigoureux seront mis en chantier.
鼓励企业牵头实施重大科技项目，支持科研院所、高校与企业融通创新，加快创新成果转化应用。|||On encouragera des entreprises à prendre la tête de nos grands projets scientifiques et technologiques. L'intégration des entreprises, des institutions de recherche et des établissements d'enseignement supérieur dans l'innovation sera soutenue, et la conversion et l'application des innovations, accélérées.
国家科技投入要向民生领域倾斜，加强雾霾治理研究，推进癌症等重大疾病防治攻关，使科技更好造福人民。|||On canalisera davantage d'investissements de recherche vers les projets finalisés par le bien-être social, renforcera la recherche sur les moyens de lutter contre le smog, et redoublera d'efforts pour prévenir et traiter des maladies graves comme le cancer, de sorte que les progrès de la science et de la technique profitent davantage au peuple chinois.
落实和完善创新激励政策。|||Appliquer et perfectionner la politique de stimulation de l'innovation.
改革科技管理制度，科研项目绩效评价要加快从重过程向重结果转变。|||Nous réformerons l'administration de la recherche en réalisant le plus rapidement possible, dans l'évaluation des performances des projets de recherche, le passage d'une culture du déroulement du travail à une culture du résultat.
赋予创新团队和领军人才更大的人财物支配权和技术路线决策权。|||Une plus grande latitude dans l'organisation de leur capital humain, financier et matériel et dans l'adoption de leurs "feuilles de route technologiques" sera accordée aux équipes de chercheurs novatrices et à leurs éléments les plus dynamiques.
对承担重大科技攻关任务的科研人员，采取灵活的薪酬制度和奖励措施。|||On mettra en place, en plus d'un système de rémunération souple, des mesures de récompense en faveur du personnel scientifique chargé des grands projets de recherche.
探索赋予科研人员科技成果所有权或长期使用权。|||On mettra au point les modalités auxquelles le droit de propriété ou d'utilisation à long terme de leurs découvertes sera conféré aux chercheurs.
有悖于激励创新的陈规旧章，要抓紧修改废止；有碍于释放创新活力的繁文缛节，要下决心砍掉。|||Tous les règlements dépassés incompatibles avec l'encouragement à l'innovation seront modifiés ou abrogés au plus vite ; toute la paperasserie administrative qui étouffe l'innovation sera supprimée sans hésitation.
促进大众创业、万众创新上水平。|||Faire passer à un niveau supérieur la démocratisation de la création d'entreprise et de l'innovation.
我国拥有世界上规模最大的人力人才资源，这是创新发展的最大“富矿”。|||Possédant la plus vaste réserve de main-d'œuvre et de talents, la Chine dispose d'une véritable mine d'or pour réaliser son développement innovant.
要提供全方位创新创业服务，推进“双创”示范基地建设，鼓励大企业、高校和科研院所等开放创新资源，发展平台经济、共享经济，形成线上线下结合、产学研用协同、大中小企业融合的创新创业格局，打造“双创”升级版。|||On fournira des services tous azimuts pour favoriser l'innovation et l'entrepreneuriat, fera avancer la construction de centres modèles de démocratisation de la création d'entreprise et de l'innovation, encouragera notamment les grandes entreprises, les écoles supérieures et les institutions de recherche à ouvrir au grand public leurs ressources d'innovation, et développera l'économie des plateformes et l'économie du partage, de sorte que voie le jour un système d'innovation et d'entrepreneuriat marqué par une triple intégration : celle des services en ligne et hors ligne ; celle de l'industrie, de l'enseignement, de la recherche et de la conversion des résultats scientifiques et techniques ; et celle des entreprises de toute taille. Tout cela devrait porter à un niveau supérieur la démocratisation de la création d'entreprise et de l'innovation.
设立国家融资担保基金，支持优质创新型企业上市融资，将创业投资、天使投资税收优惠政策试点范围扩大到全国。|||Le Fonds national de garantie de financement verra le jour, qui permettra aux entreprises innovantes d'élite de réunir plus facilement des fonds grâce à l'émission d'actions, et les essais de politiques fiscales préférentielles pour les investissements de soutien à la création d'entreprise, y compris les investissements providentiels, seront étendus à l'échelle nationale.
深化人才发展体制改革，推动人力资源自由有序流动，支持企业提高技术工人待遇，加大高技能人才激励，鼓励海外留学人员回国创新创业，拓宽外国人才来华绿色通道。|||On approfondira la réforme du système de promotion des talents, et favorisera la mobilité ordonnée des ressources humaines. Les entreprises seront encouragées à mieux rémunérer leurs ouvriers qualifiés et à amplifier les mesures d'incitation en faveur de leurs collaborateurs particulièrement compétents ; les étudiants chinois à l'étranger seront encouragés à revenir au pays pour y créer leur entreprise ou s'engager dans l'innovation. On facilitera l'entrée de compétences venant de l'étranger.
集众智汇众力，一定能跑出中国创新“加速度”。|||En rassemblant les talents et les forces, on réalisera le passage à la vitesse supérieure de l'innovation chinoise.
（三）深化基础性关键领域改革。|||Approfondir la réforme dans les domaines prioritaires de base.
以改革开放40周年为重要契机，推动改革取得新突破，不断解放和发展社会生产力。|||Profitant de l'occasion importante qu'est le 40e anniversaire du lancement de la politique de réforme et d'ouverture, nous travaillerons à réaliser de nouvelles percées dans nos réformes, de manière à libérer et à développer sans cesse les forces productives de notre société.
推进国资国企改革。|||Poursuivre la réforme des actifs de l'État et des entreprises publiques.
制定出资人监管权责清单。|||Une liste définissant les pouvoirs et responsabilités de supervision des bailleurs de fonds sera établie.
深化国有资本投资、运营公司等改革试点，赋予更多自主权。|||Nous approfondirons les expériences de réforme concernant la création de sociétés d'investissement ou d'exploitation des capitaux publics, en leur accordant une plus grande autonomie.
继续推进国有企业优化重组和央企股份制改革，加快形成有效制衡的法人治理结构和灵活高效的市场化经营机制，持续瘦身健体，提升主业核心竞争力，推动国有资本做强做优做大。|||Nous ferons progresser l'optimisation du regroupement des entreprises publiques et la transformation des entreprises publiques centrales en sociétés par actions. Il y sera rapidement mis en place un système d'exploitation souple, efficace et conforme aux règles du marché, ainsi qu'un système de gouvernance d'entreprise doté de contrepoids. Nous continuerons à les dégraisser et à les renforcer, augmenterons la compétitivité de base de leur activité principale, et poursuivrons nos efforts pour que les capitaux publics gagnent en puissance, en ampleur et en performance.
积极稳妥推进混合所有制改革。|||L'introduction de la propriété mixte sera poursuivie activement et méthodiquement.
落实向全国人大常委会报告国有资产管理情况的制度。|||Le système de remise d'un rapport sur la gestion des biens publics au Comité permanent de l'Assemblée populaire nationale sera appliqué.
国有企业要通过改革创新，走在高质量发展前列。|||Il faut que, grâce à la réforme et à l'innovation, les entreprises publiques se maintiennent en tête de peloton dans le développement axé sur la qualité.
支持民营企业发展。|||Soutenir le développement des entreprises privées.
坚持“两个毫不动摇”，坚持权利平等、机会平等、规则平等，全面落实支持非公有制经济发展的政策措施，认真解决民营企业反映的突出问题，坚决破除各种隐性壁垒。|||Tout en restant fidèle au principe dit "consolider et développer sans relâche l'économie publique, encourager, soutenir et orienter avec détermination le développement de l'économie non publique", et en assurant l'égalité de droits, de chances et de règles, nous appliquerons sur toute la ligne les mesures politiques visant à encourager l'essor de l'économie non publique, travaillerons à résoudre activement les problèmes aigus qui mécontentent les entreprises privées, et éliminerons résolument les barrières invisibles de toute sorte.
构建亲清新型政商关系，健全企业家参与涉企政策制定机制。|||Il faut que s'établissent, entre les pouvoirs publics et les acteurs économiques, de nouvelles relations caractérisées par la proximité et l'honnêteté, et les mécanismes permettant aux entrepreneurs de participer à l'élaboration des politiques relatives aux entreprises doivent être améliorés.
激发和保护企业家精神，壮大企业家队伍，增强企业家信心，让民营企业在市场经济浪潮中尽显身手。|||Par la galvanisation et la protection de l'esprit entrepreneurial, nous chercherons à augmenter le nombre des entrepreneurs et à renforcer leur confiance, et nous ferons en sorte que les entreprises privées profitent de la vague de l'économie de marché pour donner toute leur mesure.
完善产权制度和要素市场化配置机制。|||Perfectionner le système de propriété et le mécanisme d'allocation des facteurs de production en vertu des règles du marché.
产权制度是社会主义市场经济的基石。|||Le système de propriété est l'assise de l'économie de marché socialiste.
要以保护产权、维护契约、统一市场、平等交换、公平竞争为基本导向，完善相关法律法规。|||Nous perfectionnerons les lois et les règlements en la matière, en nous attachant à la protection du droit de propriété, à la sauvegarde des contrats, et à la préservation du marché unique, de l'échange sur un pied d'égalité et de la concurrence loyale.
对各种侵权行为要依法严肃处理，对产权纠纷申诉案件要依法甄别纠正。|||Toute violation du droit de propriété sera sévèrement sanctionnée en vertu de la loi ; et toute plainte dans ce domaine, examinée et réglée dans le respect de la loi.
强化知识产权保护，实行侵权惩罚性赔偿制度。|||Nous renforcerons la protection de la propriété intellectuelle et appliquerons un système d'indemnisation pénalisant pour toute atteinte à la propriété intellectuelle.
加快技术、土地等要素价格市场化改革，深化资源类产品和公共服务价格改革，打破行政垄断，防止市场垄断。|||La réforme visant à soumettre aux règles du marché les prix des facteurs de production tels que les techniques et la terre sera accélérée, et la réforme des prix des services publics et des produits à base de ressources naturelles sera approfondie. Il sera mis fin aux monopoles administratifs, et nous préviendrons la formation de monopoles sur le marché.
要用有力的产权保护、顺畅的要素流动，让市场活力和社会创造力竞相迸发。|||Bref, par une protection renforcée du droit de propriété et une grande mobilité des facteurs de production, nous nous efforcerons de libérer pleinement la dynamique du marché et les forces créatrices de la société.
深化财税体制改革。|||Approfondir la réforme des systèmes budgétaire et fiscal.
推进中央与地方财政事权和支出责任划分改革，抓紧制定收入划分改革方案，完善转移支付制度。|||Nous poursuivrons la réforme visant à délimiter les attributions en matière de budget et les responsabilités en matière de dépenses entre les finances centrales et locales, mettrons au point sans tarder le projet de répartition des recettes entre celles-ci, et améliorerons le système des transferts de paiements.
健全地方税体系，稳妥推进房地产税立法。|||Le système fiscal local sera perfectionné et la promulgation des lois sur la taxe foncière, avancée.
改革个人所得税。|||L'impôt sur le revenu des personnes physiques subira une réforme.
全面实施绩效管理，使财政资金花得其所、用得安全。|||Grâce à un contrôle des performances exercé sur toute la ligne, l'utilisation sûre et efficace des ressources budgétaires sera assurée.
加快金融体制改革。|||Accélérer la réforme du système financier.
改革完善金融服务体系，支持金融机构扩展普惠金融业务，规范发展地方性中小金融机构，着力解决小微企业融资难、融资贵问题。|||Nous réformerons et perfectionnerons le système de services financiers, encouragerons les institutions financières à élargir leurs services de finance inclusive, réglementerons le développement des petites et moyennes institutions financières locales, et travaillerons à résoudre les problèmes qui empêchent les PEMIC de trouver facilement des financements à des conditions avantageuses.
深化多层次资本市场改革，推动债券、期货市场发展。|||La réforme du marché des capitaux à multiples niveaux sera approfondie, et le développement du marché des obligations et du marché à terme, promu.
拓展保险市场的风险保障功能。|||Les fonctions de protection contre les risques du marché des assurances seront élargies.
改革金融监管体制。|||Nous réformerons le système de supervision et de contrôle financiers.
深化利率汇率市场化改革，保持人民币汇率在合理均衡水平上的基本稳定。|||Tout en poursuivant en profondeur la réforme visant à soumettre le taux d'intérêt et le taux de change du yuan aux règles du marché, nous maintiendrons le taux de change du yuan à un niveau équilibré et rationnel.
推进社会体制改革。|||Promouvoir la réforme du système social.
深化养老保险制度改革，建立企业职工基本养老保险基金中央调剂制度。|||Nous approfondirons la réforme du système de l'assurance vieillesse et mettrons en place un système de régulation par les autorités centrales du fonds de l'assurance vieillesse de base pour les employés des entreprises.
深化公立医院综合改革，协调推进医疗价格、人事薪酬、药品流通、医保支付改革，提高医疗卫生服务质量，下大力气解决群众看病就医难题。|||Tout en approfondissant la réforme générale des hôpitaux publics, nous poursuivrons de façon coordonnée les réformes concernant les prix de soins médicaux, le personnel et sa rémunération, la distribution des médicaments, ainsi que le mode de remboursement des frais médicaux par la caisse de l'assurance maladie, et améliorerons la qualité des services médicaux et sanitaires. Nous ferons un grand effort pour régler les problèmes que rencontrent les Chinois pour se faire soigner.
深入推进教育、文化、体育等改革，充分释放社会领域巨大发展潜力。|||Par ailleurs, nous poursuivrons en profondeur les réformes concernant notamment l'éducation, la culture et le sport, afin de libérer pleinement l'immense potentiel de développement des divers secteurs sociaux.
健全生态文明体制。|||Perfectionner les dispositifs favorisant une civilisation écologique.
改革完善生态环境管理制度，加强自然生态空间用途管制，推行生态环境损害赔偿制度，完善生态补偿机制，以更加有效的制度保护生态环境。|||Afin de protéger l'environnement plus efficacement, nous réformerons et perfectionnerons le système de gestion de l'environnement, contrôlerons avec plus de sévérité l'utilisation des espaces naturels de grand intérêt écologique, généraliserons le système d'indemnisation des dommages à l'environnement, et perfectionnerons les mécanismes de compensation écologique.
（四）坚决打好三大攻坚战。|||Livrer résolument les trois grandes batailles.
要围绕完成年度攻坚任务，明确各方责任，强化政策保障，把各项工作做实做好。|||Concernant les tâches prévues pour l'année courante, il faudra préciser les responsabilités de toutes les parties intéressées et assurer les garanties politiques afin de mener à bon terme tout notre travail.
推动重大风险防范化解取得明显进展。|||Réaliser des progrès notables dans la prévention et la résorption des risques majeurs.
当前我国经济金融风险总体可控，要标本兼治，有效消除风险隐患。|||Pour l'heure, si les risques économiques et financiers s'avèrent maîtrisables dans l'ensemble, il faut cependant désamorcer les risques latents, en s'attaquant tant aux manifestations qu'aux causes profondes.
严厉打击非法集资、金融诈骗等违法犯罪活动。|||On sévira contre les infractions et les délits de droit commun comme la collecte illicite de fonds et les escroqueries financières.
加快市场化法治化债转股和企业兼并重组。|||Il faudra accélérer la conversion des créances en actions selon les règles du marché et dans le respect de la loi, ainsi que la fusion et la réorganisation des entreprises.
加强金融机构风险内控。|||Les institutions financières devront renforcer le contrôle interne des risques.
强化金融监管统筹协调，健全对影子银行、互联网金融、金融控股公司等监管，进一步完善金融监管、提升监管效能。|||Il faudra intensifier la planification et la coordination globales de la régulation du secteur financier, parfaire la supervision de la finance fantôme, de la cyberfinance et des sociétés de portefeuille en vue d'améliorer la surveillance et le contrôle des activités financières, et d'en augmenter l'efficacité.
防范化解地方政府债务风险。|||On préviendra et résorbera les risques liés à la dette des gouvernements locaux.
严禁各类违法违规举债、担保等行为。|||Il sera strictement interdit de s'endetter en violation de la loi ou d'accorder abusivement des garanties de prêts.
省级政府对本辖区债务负总责，省级以下各级地方政府各负其责，积极稳妥处置存量债务。|||Pour apporter un règlement actif et approprié des dettes existantes, les gouvernements provinciaux devront assumer la responsabilité globale des dettes de leur juridiction, tandis que les instances locales inférieures à l'échelon provincial prendront leurs responsabilités respectives.
健全规范的地方政府举债融资机制。|||Le mécanisme légal de financement par la voie de l'endettement des instances locales sera parachevé.
今年安排地方专项债券1.35万亿元，比去年增加5500亿元，优先支持在建项目平稳建设，合理扩大专项债券使用范围。|||Cette année, la valeur des obligations spéciales nouvellement émises par les autorités locales s'établira à 1 350 milliards de yuans, soit 550 milliards de yuans de plus que l'an dernier, en vue de soutenir en priorité les projets en cours, et le champ d'application de ces emprunts sera élargi de manière rationnelle.
我国经济基本面好，政策工具多，完全能够守住不发生系统性风险的底线。|||Comme les données fondamentales de notre économie restent solides et que les instruments politiques à notre disposition sont nombreux, nous sommes persuadés que nous réussirons à maîtriser les risques systémiques et à ne pas dépasser les seuils critiques.
加大精准脱贫力度。|||Mieux cibler la lutte contre la pauvreté.
今年再减少农村贫困人口1000万以上，完成易地扶贫搬迁280万人。|||En 2018, plus de 10 millions d'habitants supplémentaires des régions rurales devront sortir de la pauvreté, dont plus de 2,8 millions seront relogés dans des régions plus développées.
深入推进产业、教育、健康、生态和文化等扶贫，补齐基础设施和公共服务短板，加强东西部扶贫协作和对口支援，注重扶贫同扶志、扶智相结合，激发脱贫内生动力。|||On poursuivra en profondeur les projets d'assistance industrielle, éducative, sanitaire, écologique et culturelle dans les régions pauvres, comblera les failles des infrastructures et des services publics, et renforcera la coopération entre les régions de l'Est et de l'Ouest de la Chine, ainsi que les aides entre homologues, en mettant l'accent sur la motivation et l'amélioration du niveau de l'éducation, afin d'accroître les forces endogènes capables d'éradiquer la pauvreté.
强化对深度贫困地区支持，中央财政新增扶贫投入及有关转移支付向深度贫困地区倾斜。|||On intensifiera l'aide aux régions de pauvreté profonde, lesquelles recevront en priorité un surcroît de crédits ad hoc des finances centrales et des transferts de paiements concernés.
对老年人、残疾人、重病患者等特定贫困人口，因户因人落实保障措施。|||Des mesures de garantie seront appliquées selon la situation de chaque famille et de chaque personne pour les personnes âgées, les handicapés et les patients souffrant de maladies graves se trouvant dans une situation de pauvreté particulière.
攻坚期内脱贫不脱政策，新产生的贫困人口和返贫人口要及时纳入帮扶。|||Les mesures visant à éradiquer la pauvreté resteront effectives tout au long de la phase décisive même si les bénéficiaires sont déjà sortis de la précarité. Quant à ceux qui tombent nouvellement dans l'indigence ou y retombent, ils feront l'objet d'une aide immédiate.
加强扶贫资金整合和绩效管理。|||En outre, l'utilisation intégrée des fonds consacrés à ce titre et le contrôle de leurs performances seront améliorés.
开展扶贫领域腐败和作风问题专项治理，改进考核监督方式。|||On lancera des campagnes spéciales contre la corruption et les comportements aberrants dans ce domaine et apportera des perfectionnements au mode d'évaluation et de surveillance.
坚持现行脱贫标准，确保进度和质量，让脱贫得到群众认可、经得起历史检验。|||Enfin, il faudra maintenir les normes de lutte contre la pauvreté en vigueur et en assurer à la fois le rythme et la qualité, pour que ses fruits soient reconnus par la population et qu'ils résistent à l'épreuve du temps.
推进污染防治取得更大成效。|||Mieux faire fructifier la lutte contre la pollution.
巩固蓝天保卫战成果，今年二氧化硫、氮氧化物排放量要下降3%，重点地区细颗粒物（PM2.5）浓度继续下降。|||Pour consolider les fruits de la guerre visant à préserver le ciel bleu, en 2018, les émissions de SO2 et d'oxydes d'azote devront diminuer de 3 %, et la densité des particules fines PM2,5, connaître une baisse constante dans les régions les plus touchées.
推动钢铁等行业超低排放改造。|||On procédera à des transformations techniques dans les aciéries selon les normes les plus strictes en matière d'émissions.
提高污染排放标准，实行限期达标。|||On imposera aux entreprises intéressées des normes d'émission plus élevées et un délai de transformation.
大力发展清洁能源。|||On développera vigoureusement les énergies propres.
开展柴油货车、船舶超标排放专项治理，继续淘汰老旧车。|||Une opération spéciale contre les camions et navires au gazole et aux gaz d'échappement hors normes sera lancée. On continuera à éliminer les vieux véhicules.
深入推进水、土壤污染防治，今年化学需氧量、氨氮排放量要下降2%。|||Pour mener à bien la dépollution des eaux et des sols, le degré de pollution exprimé en DCO (demande chimique en oxygène) et les émissions d'azote ammoniacal devront diminuer de 2 % en 2018.
实施重点流域和海域综合治理，全面整治黑臭水体。|||On entreprendra l'aménagement global des bassins et des parages prioritaires et s'attaquera globalement aux eaux polluées et malodorantes.
加大污水处理设施建设力度，完善收费政策。|||De plus, on intensifiera la construction de dispositifs de traitement des eaux usées et améliorera les mesures de tarification.
加强固体废弃物和垃圾分类处置，严禁“洋垃圾”入境。|||Le traitement et le tri des déchets solides et des ordures seront renforcés, et l'entrée de déchets de l'étranger sera absolument prohibée.
