政府工作报告|||RAPPORT D'ACTIVITÉ DU GOUVERNEMENT
打造工业互联网平台，拓展“智能+”，为制造业转型升级赋能。|||Nous allons bâtir des plateformes de la Toile industrielle et étendre l'action « Intelligence + », de manière à augmenter les capacités de l'industrie manufacturière à se reconvertir et à monter en gamme.
支持企业加快技术改造和设备更新，将固定资产加速折旧优惠政策扩大至全部制造业领域。|||Nous inciterons les entreprises à accélérer la refonte technique et le renouvellement des équipements, et étendrons les mesures préférentielles d'amortissement accéléré des immobilisations à toutes les branches du secteur.
强化质量基础支撑，推动标准与国际先进水平对接，提升产品和服务品质，让更多国内外用户选择中国制造、中国服务。|||Nous veillerons à renforcer la base de la qualité, à aligner les normes sur le niveau avancé du monde et à améliorer la qualité des biens et services, en faisant en sorte que davantage de clients chinois et étrangers choisissent des services chinois et des produits « Fabriqués en Chine ».
促进新兴产业加快发展。|||Accélérer le développement des industries émergentes.
深化大数据、人工智能等研发应用，培育新一代信息技术、高端装备、生物医药、新能源汽车、新材料等新兴产业集群，壮大数字经济。|||Nous allons approfondir la R&D et les applications des mégadonnées et de l'intelligence artificielle, mettre en place des conglomérats d'industries émergentes dans l'informatique de nouvelle génération, les équipements haut de gamme, la biomédecine, les véhicules à énergies nouvelles et les matériaux nouveaux, et faire croître l'économie numérique.
坚持包容审慎监管，支持新业态新模式发展，促进平台经济、共享经济健康成长。|||Grâce à un contrôle souple et prudent, nous soutiendrons l'essor des nouvelles formes et nouveaux modèles d'activités et assurerons le sain développement de l'économie des plateformes et du partage.
加快在各行业各领域推进“互联网+”。|||L'action « Internet + » sera introduite plus rapidement dans tous les secteurs et branches d'activités.
持续推动网络提速降费。开展城市千兆宽带入户示范，改造提升远程教育、远程医疗网络，推动移动网络扩容升级，让用户切实感受到网速更快更稳定。|||Nous allons poursuivre l'augmentation de la vitesse de l'Internet et la réduction des tarifs d'abonnement, accélérer l'exécution des projets modèles d'accès au réseau à haut débit de 1 000 Mbp dans les villes, rénover les réseaux de l'enseignement à distance et de soins médicaux à distance, et améliorer la capacité de l'Internet mobile tout en favorisant sa montée en gamme, de manière à assurer une vitesse plus élevée et plus régulière aux abonnés de la Toile mobile.
今年中小企业宽带平均资费再降低15%，移动网络流量平均资费再降低20%以上，在全国实行“携号转网”，规范套餐设置，使降费实实在在、消费者明明白白。|||En 2019, les PME bénéficieront d'une nouvelle baisse des tarifs (- 15 % en moyenne) pour l'accès aux réseaux haut débit et les frais de débit sur la Toile mobile seront abaissés de nouveau de plus de 20 % ; nous réaliserons le changement de l'opérateur de télécommunications sans renouvellement de numéro dans tout le pays et réglementerons les forfaits, afin d'apporter une baisse des charges substantielle et compréhensible pour les consommateurs.
提升科技支撑能力。|||Accroître la force d'appui en matière scientifique et technologique.
加大基础研究和应用基础研究支持力度，强化原始创新，加强关键核心技术攻关。|||Nous apporterons un plus grand soutien à la recherche fondamentale et à la recherche fondamentale appliquée, intensifierons l'innovation primaire, et renforcerons la réalisation de percées dans le domaine des technologies clés et technologies de base.
抓紧布局国家实验室，重组国家重点实验室体系。|||Il nous faut planifier au plus vite la construction de laboratoires nationaux et réorganiser le système des laboratoires clés nationaux.
完善重大科技项目组织管理。|||L'organisation et la gestion des grands projets scientifiques et technologiques seront améliorées.
健全以企业为主体的产学研一体化创新机制，支持企业牵头实施重大科技项目。|||Nous allons parfaire les mécanismes d'innovation intégrée de l'industrie, de l'enseignement et de la recherche permettant aux entreprises de jouer leur rôle d'acteur principal, et encourager les entreprises à prendre l'initiative d'exécuter de grands projets de recherche en matière scientifique et technologique.
加快建设科技创新资源开放共享平台，强化对中小企业的技术创新服务。|||Nous accélérerons la mise en place d'une plateforme ouverte de partage des ressources d'innovation scientifique et technologique, et renforcerons les services en faveur des PME dans leur démarche d'innovation technologique.
扩大国际创新合作。|||La coopération avec les pays étrangers en matière d'innovation sera élargie.
全面加强知识产权保护，健全知识产权侵权惩罚性赔偿制度，促进发明创造和转化运用。|||Il faudra renforcer la protection des droits de propriété, perfectionner le système de dommages-intérêts pour violation du droit de propriété intellectuelle et concourir à l'invention, à la conversion et l'application des fruits de la recherche.
科技创新本质上是人的创造性活动。|||L'innovation scientifique et technologique est par essence une activité créatrice de l'être humain.
要充分尊重和信任科研人员，赋予创新团队和领军人才更大的人财物支配权和技术路线决策权。|||Il faudra tenir en haute estime les scientifiques et les chercheurs, donner aux équipes innovantes et aux chefs de file plus de latitude pour l'utilisation des ressources humaines, financières et matérielles et un plus grand pouvoir de décision concernant leurs « feuilles de route technologiques ».
进一步提高基础研究项目间接经费占比，开展项目经费使用“包干制”改革试点，不设科目比例限制，由科研团队自主决定使用。|||En même temps, nous veillerons à relever la part des dépenses indirectes pour les projets de recherche fondamentale, à mener des expériences pilotes de réforme du système forfaitaire d'utilisation des frais de projet, et à donner aux équipes de recherche toute latitude de décider leurs dépenses sans aucune restriction à aucun poste.
完善科技成果评价机制。|||Le mécanisme d'évaluation des résultats scientifiques et technologiques sera amélioré.
要在推动科技体制改革举措落地见效上下功夫，决不能让改革政策停留在口头上、纸面上。|||De plus, nous devrons multiplier les efforts en vue de faire produire leur effet aux mesures de réforme du système scientifique et technologique, et nous nous garderons résolument de rester les bras croisés.
大力简除烦苛，使科研人员潜心向学、创新突破。|||Il faudra nous efforcer de libérer des lourdeurs administratives les scientifiques et chercheurs pour qu'ils s'absorbent dans les études et deviennent des pionniers dans leur domaine.
加强科研伦理和学风建设，惩戒学术不端，力戒浮躁之风。|||Il sera aussi nécessaire de renforcer leur éthique et leur style de travail, de pénaliser les comportements malhonnêtes et de décourager l'impatience et l'inconstance.
我国有世界上最大规模的科技人才队伍，营造良好的科研生态，就一定能够迎来各类英才竞现、创新成果泉涌的生动局面。|||La Chine possédant le plus grand contingent de chercheurs du monde, un sain écosystème de recherche fera lever une armée d'éléments d'élite dans tous les domaines, et produira une riche moisson de résultats.
进一步把大众创业万众创新引向深入。|||Poursuivre en profondeur l'innovation et l'entrepreneuriat de masse.
鼓励更多社会主体创新创业，拓展经济社会发展空间，加强全方位服务，发挥双创示范基地带动作用。|||Pour encourager plus d'acteurs de la société à s'engager dans l'innovation et dans la création d'entreprises, nous étendrons l'espace du développement socioéconomique, renforcerons les services tous azimuts et mettrons en valeur le rôle d'entraînement des centres de démonstration pour l'innovation et l'entrepreneuriat.
强化普惠性支持，落实好小规模纳税人增值税起征点从月销售额3万元提高到10万元等税收优惠政策。|||Il faudra multiplier les efforts pour aider tous les acteurs du marché en assurant la bonne exécution de la politique préférentielle fiscale visant à faire passer de 30 000 yuans à 100 000 yuans le seuil de perception de la TVA sur le chiffre d'affaires mensuel des petits contribuables économiques.
改革完善金融支持机制，设立科创板并试点注册制，鼓励发行双创金融债券，扩大知识产权质押融资，支持发展创业投资。|||Nous réformerons les mécanismes de soutien financier ; établirons un marché consacré à la science et à l'innovation technologique à la Bourse de Shanghai et lancerons à titre expérimental un nouveau système d'introductions en Bourse ; élargirons le financement gagé sur le droit de propriété intellectuelle ; encouragerons l'émission d'obligations financières destinées à l'innovation et à l'entrepreneuriat ; et soutiendrons le développement du capital-risque.
改革完善人才培养、使用、评价机制，优化归国留学人员和外籍人才服务。|||De plus, nous réformerons et parachèverons les mécanismes de formation, d'emploi et d'appréciation des talents, et optimiserons les services pour les étudiants chinois revenus au pays et les talents étrangers.
把面向市场需求和弘扬人文精神结合起来，善聚善用各类人才，中国创新一定能更好发展，为人类文明进步作出应有贡献。|||Pourvu que l'on tienne compte des besoins du marché, sans oublier de faire rayonner l'esprit humain, et que l'on sache rassembler et utiliser les compétences de toute catégorie, l'« Innovation chinoise » ne manquera pas de se distinguer avec célérité et de mieux contribuer au progrès de la civilisation.
（四）促进形成强大国内市场，持续释放内需潜力。|||Bâtir un solide marché intérieur pour libérer le potentiel de la demande intérieure.
充分发挥消费的基础作用、投资的关键作用，稳定国内有效需求，为经济平稳运行提供有力支撑。|||Il importe de faire pleinement jouer un rôle fondamental à la consommation et un rôle essentiel à l'investissement, et de stabiliser la demande effective, de manière à assurer le fonctionnement régulier de l'économie.
推动消费稳定增长。|||Assurer une croissance régulière de la consommation.
多措并举促进城乡居民增收，增强消费能力。|||Nous allons augmenter par divers moyens le revenu des ménages urbains et ruraux afin d'améliorer leur pouvoir d'achat.
落实好新修订的个人所得税法，使符合减税政策的约8000万纳税人应享尽享。|||Nous veillerons à la bonne application de la Loi révisée de l'impôt sur le revenu des personnes physiques, ce qui profitera à près de 80 millions de contribuables conformes aux conditions requises pour bénéficier de dégrèvements d'impôt.
要顺应消费需求的新变化，多渠道增加优质产品和服务供给，加快破除民间资本进入的堵点。|||Pour répondre aux nouvelles évolutions de la demande, nous devrons accroître par divers canaux l'offre des produits et services de qualité et éliminer au plus vite les goulets d'étranglement à l'entrée des capitaux privés.
我国60岁以上人口已达2.5亿。|||La Chine compte déjà 250 millions de personnes âgées de plus de 60 ans.
要大力发展养老特别是社区养老服务业，对在社区提供日间照料、康复护理、助餐助行等服务的机构给予税费减免、资金支持、水电气热价格优惠等扶持，新建居住区应配套建设社区养老服务设施，加强农村养老服务设施建设，改革完善医养结合政策，扩大长期护理保险制度试点，让老年人拥有幸福的晚年，后来人就有可期的未来。|||C'est pourquoi les services aux personnes âgées, notamment dans les communautés d'habitation, seront développés vigoureusement ; les établissements de quartier qui fournissent des soins de jour, de la rééducation, des repas et des aides à la mobilité bénéficieront de soutien financier, de réductions ou d'exonérations d'impôts et de charges, sans parler de tarifs réduits pour l'eau, l'électricité, le gaz et le chauffage ; tous les nouveaux quartiers d'habitation devront être dotés d'installations destinées aux personnes âgées ; ces installations devront être également renforcées dans les régions rurales ; les mesures associant les soins médicaux et les services seront améliorées ; enfin, les expériences pilotes de l'assurance pour les soins de longue durée seront généralisées. Si les personnes âgées jouissent paisiblement de leur vieillesse, les jeunes auront un avenir prometteur et assuré.
婴幼儿照护事关千家万户。|||Par ailleurs, la garde des enfants en bas âge concerne un grand nombre de familles.
要针对实施全面两孩政策后的新情况，加快发展多种形式的婴幼儿照护服务，支持社会力量兴办托育服务机构，加强儿童安全保障。|||À la suite de l'application sur toute la ligne de la politique de deux enfants, il convient de multiplier les services dans ce domaine, d'encourager les acteurs privés à tenir des établissements de garde de ces enfants, et de renforcer la sécurité des enfants.
促进家政服务业提质扩容。|||Nous favoriserons l'extension des services à domicile et l'amélioration de leur qualité.
发展全域旅游，壮大旅游产业。|||Le tourisme global sera développé, et le secteur touristique connaîtra une pleine expansion.
稳定汽车消费，继续执行新能源汽车购置优惠政策，推动充电、加氢等设施建设。|||Pour assurer la progression continue des ventes d'automobiles, nous allons poursuivre les politiques préférentielles à l'achat de véhicules à énergies nouvelles et encourager la construction de bornes de recharge électrique et de stations de ravitaillement d'hydrogène.
发展消费新业态新模式，促进线上线下消费融合发展，培育消费新增长点。|||Nous lancerons de nouvelles formules et de nouveaux modèles de consommation, stimulerons le développement intégré de la consommation en ligne et hors ligne, et formerons de nouveaux pôles de croissance de la consommation.
健全农村流通网络，支持电商和快递发展。|||Dans les campagnes, le réseau de commercialisation sera perfectionné, et l'essor du cybercommerce et de la livraison à domicile sera soutenu.
加强消费者权益保护，让群众放心消费、便利消费。|||Enfin, nous renforcerons la défense des droits et intérêts des consommateurs, pour que ceux-ci puissent faire leurs achats en toute confiance et avec plus de commodité.
合理扩大有效投资。|||Augmenter de façon appropriée l'investissement effectif.
紧扣国家发展战略，加快实施一批重点项目。|||Il conviendra d'accélérer l'exécution de grands projets prévus dans la stratégie de développement au niveau national.
完成铁路投资8000亿元、公路水运投资1.8万亿元，再开工一批重大水利工程，加快川藏铁路规划建设，加大城际交通、物流、市政、灾害防治、民用和通用航空等基础设施投资力度，加强新一代信息基础设施建设。|||Nous comptons investir 800 milliards de yuans dans la construction de voies ferrées et 1 800 milliards de yuans dans la construction de routes et de voies navigables, et mettre en chantier de gros ouvrages hydrauliques. Nous accélérerons la planification et la construction de la ligne ferroviaire Sichuan-Tibet, augmenterons l'investissement dans les communications interurbaines, les réseaux logistiques, les travaux publics, les infrastructures destinées à la prévention et au traitement des sinistres et celles de l'aviation civile et générale, et construirons des infrastructures informatiques de nouvelle génération.
今年中央预算内投资安排5776亿元，比去年增加400亿元。|||En 2019, nous porterons à 577,6 milliards de yuans les dépenses d'investissement dans le budget central, soit 40 milliards de yuans supplémentaires par rapport à l'année dernière.
创新项目融资方式，适当降低基础设施等项目资本金比例，用好开发性金融工具，吸引更多民间资本参与重点领域项目建设。|||Nous veillerons à renouveler le mode de financement des projets, à abaisser de façon appropriée le ratio des capitaux propres consacrés aux projets d'infrastructures, à bien utiliser les instruments financiers de développement et à inciter plus d'investisseurs privés à prendre part aux chantiers des secteurs prioritaires.
落实民间投资支持政策，有序推进政府和社会资本合作。|||Les mesures de soutien aux investissements privés seront mises en application et nous promouvrons le partenariat public-privé (PPP) de façon ordonnée.
改革完善招投标制度。|||Nous réformerons le système des appels d'offres.
政府要带头讲诚信守契约，决不能“新官不理旧账”，对拖欠企业的款项年底前要清偿一半以上，决不允许增加新的拖欠。|||Les pouvoirs publics donneront l'exemple en honorant leurs engagements, en remplissant les contrats et en se gardant de « renier les comptes de leurs prédécesseurs ». Ils devront s'acquitter de plus de la moitié des dettes arriérées des entreprises avant la fin de l'année sans aucun arriéré supplémentaire.
（五）对标全面建成小康社会任务，扎实推进脱贫攻坚和乡村振兴。|||Pour mener à bon terme la tâche de l'édification intégrale de la société de moyenne aisance, poursuivre résolument la lutte contre la pauvreté et le redressement des régions rurales.
坚持农业农村优先发展，加强脱贫攻坚与乡村振兴统筹衔接，确保如期实现脱贫攻坚目标、农民生活达到全面小康水平。|||Il faudra toujours accorder la priorité à l'agriculture et aux régions rurales, et assurer une meilleure prise en compt globale du redressement du monde rural et de la lutte contre la pauvreté, de manière à garantir la réalisation des objectifs de lutte contre la pauvreté dans les délais prévus et à élever le niveau de vie des paysans jusqu'à l'aisance moyenne.
打好精准脱贫攻坚战。|||Mener à bien la lutte ciblée contre la pauvreté.
重点解决实现“两不愁三保障”面临的突出问题，加大“三区三州”等深度贫困地区脱贫攻坚力度，加强基础设施建设，落实对特殊贫困人口的保障措施。|||Il s'agit fondamentalement de venir à bout des graves problèmes qui se posent pour assurer aux populations pauvres vivant en milieu rural la satisfaction des « deux besoins élémentaires » et l'accès aux « trois garanties »[ Les « deux besoins élémentaires » sont la nourriture et de l'habillement ; et les « trois garanties » sont l'enseignement obligatoire, les soins médicaux et le logement. — N.D.T.]. Nous allons aider davantage les régions de grande pauvreté, dont les « trois régions et trois départements »[ Les « trois régions » sont le Tibet, la région peuplée de Tibétains dans les quatre provinces du Qinghai, du Gansu, du Sichuan et du Yunnan, la région du sud du Xinjiang comprenant les préfectures de Kachgar, de Hotan et d'Aksu ainsi que la préfecture autonome kirghiz de Kizilsu ; les « trois départements » sont le département autonome d'ethnie minoritaire de Liangshan au Sichuan, le département de Nujiang au Yunnan et le département de Linxia au Gansu. — N.D.T.], renforcer la construction d'infrastructures et appliquer les mesures de garantie destinées aux populations paupérisées spéciales.
脱贫致富离不开产业支撑，要大力扶持贫困地区发展特色优势产业。|||La lutte contre la pauvreté ne peut se passer des industries. C'est pourquoi l'on doit aider énergiquement les régions pauvres à développer des industries locales.
开展贫困地区控辍保学专项行动、明显降低辍学率，继续增加重点高校专项招收农村和贫困地区学生人数，用好教育这个阻断贫困代际传递的治本之策。|||Nous lancerons une action spéciale visant à abaisser nettement le taux de déscolarisation dans les régions rurales défavorisées, et continuerons à augmenter le nombre d'étudiants des régions rurales et des régions démunies admis par les écoles supérieures de premier rang. Nous nous efforcerons ainsi de tirer le meilleur parti de la mesure fondamentale qu'est l'éducation pour arrêter la transmission de génération en génération de la pauvreté.
基本完成“十三五”易地扶贫搬迁规划建设任务，加强后续扶持。|||La tâche consistant à reloger les populations déplacées comme prévu par le XIIIe Plan quinquennal sera quasiment réalisée, et nous intensifierons le soutien de suivi.
对摘帽县和脱贫人口的扶持政策要保持一段时间，巩固脱贫成果。|||Les mesures d'assistance resteront inchangées pendant un certain temps après que les districts ou personnes cibles seront sortis de la précarité, afin de consolider les résultats déjà obtenus.
完善考核监督，用好中央脱贫攻坚专项巡视成果。|||En outre, les modalités d'évaluation et de surveillance seront améliorées et nous tirerons parti des résultats de l'inspection spéciale de l'autorité centrale contre la paupérisation.
越是到脱贫攻坚的关键阶段，越要抓实抓细各项工作，确保脱贫有实效、可持续、经得起历史检验。|||Ce travail doit être pris au sérieux d'autant que l'on est entré dans la phase cruciale de la bataille contre la pauvreté. Cette lutte devra être vraiment efficace, durable et résister à l'épreuve du temps.
抓好农业特别是粮食生产。|||Développer la production agricole, notamment la production céréalière.
近14亿中国人的饭碗，必须牢牢端在自己手上。|||Nous devons compter absolument sur nos propres forces pour garantir la sécurité alimentaire de près de 1,4 milliard de Chinois.
要稳定粮食产量，优化品种结构。|||Il faut stabiliser la production céréalière et optimiser l'assortiment des variétés céréalières.
加强农田水利建设，新增高标准农田8000万亩以上。|||Nous allons intensifier la construction d'ouvrages hydrauliques agricoles et augmenter de plus de 80 millions de mu [quelque 5,33 millions d'hectares] les champs à haut rendement.
稳定生猪等畜禽生产，做好非洲猪瘟等疫病防控。|||Nous stabiliserons le secteur de l'élevage de la volaille et du bétail comme le porc, et mènerons à bien la prévention et le contrôle des épizooties comme la peste porcine africaine.
加快农业科技改革创新，大力发展现代种业，加强先进实用技术推广，实施地理标志农产品保护工程，推进农业全程机械化。|||Nous accélérerons la réforme et l'innovation scientifique et technique de l'agriculture, développerons énergiquement la culture moderne des semences, renforcerons la vulgarisation des techniques d'application avancées, mettrons à exécution des projets de protection des produits agricoles du terroir, et promouvrons la mécanisation intégrale de l'agriculture.
培育家庭农场、农民合作社等新型经营主体，加强面向小农户的社会化服务，发展多种形式规模经营。|||Nous formerons des exploitants agricoles de type nouveau comme les fermes familiales et coopératives paysannes, multiplierons les services socialisés à l'égard des petits foyers paysans et développerons diverses formes d'exploitation à grande échelle.
扶持主产区发展农产品精深加工。|||Nous soutiendrons la transformation à forte valeur ajoutée des produits agricoles récoltés dans les principales régions productrices.
支持返乡入乡创业创新，推动一二三产业融合发展，壮大县域经济。|||En outre, nous aiderons les travailleurs migrants à retourner dans leur région d'origine et encouragerons les citadins à se rendre dans les régions rurales pour y réaliser l'innovation ou monter une entreprise, impulserons l'intégration des secteurs primaire, secondaire et tertiaire, et développerons l'économie au niveau des districts.
务工收入是农民增收的大头。|||Le travail en ville est la principale source de revenus pour bien des ruraux.
要根治拖欠农民工工资问题，抓紧制定专门行政法规，确保付出辛劳和汗水的农民工按时拿到应有的报酬。|||Pour mettre fin aux arriérés de salaire, nous élaborerons au plus vite des règlements administratifs sur ce sujet, afin de garantir que les travailleurs migrants qui peinent sur les chantiers pour gagner leur vie soient payés sans retard.
扎实推进乡村建设。|||Faire solidement progresser le développement du milieu rural.
科学编制和实施建设规划，大力改善生产生活条件。|||Il conviendra d'élaborer des plans d'urbanisme des villages, de les appliquer, et d'améliorer les conditions de travail et de vie.
加快实施农村饮水安全巩固提升工程，今明两年要解决好饮水困难人口的饮水安全问题，提高6000万农村人口供水保障水平。|||Il faudra accélérer la mise à exécution des projets destinés à consolider et augmenter la sécurité en matière d'eau potable ; en 2019 et 2020, nous nous efforcerons de résoudre les difficultés des populations rurales qui ont difficilement accès à l'eau potable en assurant un meilleur approvisionnement pour 60 millions de ruraux.
完成新一轮农村电网升级改造。|||La nouvelle série de projets de transformation du réseau électrique rural s'achèvera.
新建改建农村公路20万公里。|||200 000 km de routes rurales seront construites ou refaites.
继续推进农村危房改造。|||La rénovation des maisons délabrées sera poursuivie dans les campagnes.
因地制宜开展农村人居环境整治，推进“厕所革命”、垃圾污水治理，建设美丽乡村。|||Nous engagerons, en partant des réalités locales, une campagne d'amélioration de l'habitat rural, et poursuivrons la « révolution sanitaire des toilettes », le traitement des ordures et des eaux usées, afin de rendre toute sa beauté champêtre au monde rural.
全面深化农村改革。|||Approfondir la réforme dans le milieu rural.
推广农村土地征收、集体经营性建设用地入市、宅基地制度改革试点成果。|||Nous allons universaliser les fruits des expériences de la réforme concernant la réquisition de terres dans les campagnes, la mise sur le marché de terrains collectifs à bâtir à but lucratif et la gestion de terrains réservés au logement individuel.
深化集体产权、集体林权、国有林区林场、农垦、供销社等改革。|||Nous mènerons en profondeur la réforme concernant, entre autres, la propriété collective, la propriété forestière collective, les zones et plantations forestières d'État, les zones de défrichement et les coopératives d'approvisionnement et de vente.
改革完善农业支持保护体系，健全粮食价格市场化形成机制，扩大政策性农业保险改革试点，创新和加强农村金融服务。|||Nous réformerons et parachèverons le système de soutien et de protection de l'agriculture. Les mécanismes de formation des prix des céréales selon les règles du marché seront perfectionnés. Nous allons étendre l'expérience pilote de réforme de l'assurance agricole à caractère politique, renouveler et renforcer les services financiers au bénéfice des régions rurales.
持续深化农村改革，广袤乡村必将焕发新的生机活力。|||En un mot, grâce à l'approfondissement constant des réformes, il ne fait aucun doute que l'on fera renaître les vastes régions rurales de la Chine.
（六）促进区域协调发展，提高新型城镇化质量。|||Encourager le développement interrégional coordonné et améliorer la qualité de la nouvelle urbanisation.
围绕解决发展不平衡不充分问题，改革完善相关机制和政策，促进基本公共服务均等化，推动区域优势互补、城乡融合发展。|||Il faut, en concentrant nos efforts sur la résolution du problème du développement déséquilibré et insuffisant, réformer et perfectionner les mécanismes et politiques concernés, et favoriser l'uniformisation des services publics de base, de manière à favoriser la complémentarité réciproque entre régions et le développement intégré des villes et des campagnes.
优化区域发展格局。|||Optimiser la configuration du développement interrégional.
制定西部开发开放新的政策措施，西部地区企业所得税优惠等政策到期后继续执行。|||Nous élaborerons de nouvelles politiques et mesures pour soutenir le développement et l'ouverture de l'Ouest, et la politique préférentielle de l'impôt sur le revenu des entreprises y sera renouvelée.
落实和完善促进东北全面振兴、中部地区崛起、东部率先发展的改革创新举措。|||Nous appliquerons et perfectionnerons les mesures de réforme et d'innovation favorisant le redressement intégral du Nord-Est, l'émergence du Centre et le développement pionnier de l'Est.
京津冀协同发展重在疏解北京非首都功能，高标准建设雄安新区。|||Nous ferons progresser le développement coordonné de la zone Beijing-Tianjin-Hebei en mettant l'accent sur le délestage de Beijing de ses fonctions sans rapport avec son statut de capitale et sur l'aménagement de la zone nouvelle de Xiongan selon des normes plus élevées.
落实粤港澳大湾区发展规划纲要，促进规则衔接，推动生产要素流动和人员往来便利化。|||Nous exécuterons le plan de développement de la région de la Grande Baie Guangdong-Hong Kong-Macao, promouvrons l'accord des normes, la libre circulation des facteurs de production et la mobilité humaine.
将长三角区域一体化发展上升为国家战略，编制实施发展规划纲要。|||Nous prendrons pour stratégie nationale le développement intégré du delta du Changjiang, établirons et appliquerons pour ce faire un programme de développement.
长江经济带发展要坚持上中下游协同，加强生态保护修复和综合交通运输体系建设，打造高质量发展经济带。|||Concernant la ceinture économique du Changjiang, nous poursuivrons le développement coordonné des régions situées en amont, sur le cours moyen et en aval du fleuve, renforcerons la protection et la régénération des écosystèmes, ainsi que la construction de systèmes de transport intermodal, pour assurer le développement de qualité de cette initiative.
支持资源型地区经济转型。|||Nous soutiendrons la reconversion économique des régions qui souffrent de l'épuisement de leurs ressources naturelles.
加快补齐革命老区、民族地区、边疆地区、贫困地区发展短板。|||Nous comblerons plus rapidement les faiblesses du développement des anciennes bases révolutionnaires, des régions peuplées d'ethnies minoritaires, des régions frontalières et des régions démunies.
大力发展蓝色经济，保护海洋环境，建设海洋强国。|||Nous stimulerons l'essor de l'« économie bleue » et protégerons le milieu marin, afin d'accélérer notre marche vers la puissance maritime.
深入推进新型城镇化。|||Approfondir la nouvelle urbanisation.
坚持以中心城市引领城市群发展。|||Il faut insister sur l'entraînement du développement des conurbations par la construction de grands centres urbains.
抓好农业转移人口落户，推动城镇基本公共服务覆盖常住人口。|||Nous mettrons l'accent sur la domiciliation en ville de migrants d'origine rurale, et ferons avancer la couverture des résidents permanents urbains par les services publics de base.
更好解决群众住房问题，落实城市主体责任，改革完善住房市场体系和保障体系，促进房地产市场平稳健康发展。|||Pour mieux résoudre le problème du logement des masses populaires, nous mettrons l'accent sur la responsabilité des autorités municipales, et perfectionnerons par la réforme le système de marché immobilier et le système de garantie d'accès au logement, de manière à favoriser un développement sain et régulier du marché immobilier.
继续推进保障性住房建设和城镇棚户区改造，保障困难群体基本居住需求。|||La construction de logements sociaux et la rénovation des quartiers vétustes urbains seront poursuivies, pour que les besoins fondamentaux en logement des groupes démunis soient satisfaits.
继续推进地下综合管廊建设。|||La construction de galeries techniques sera poursuivie.
城镇老旧小区量大面广，要大力进行改造提升，更新水电路气等配套设施，支持加装电梯和无障碍环境建设，健全便民市场、便利店、步行街、停车场等生活服务设施。|||Comme les quartiers anciens en ville sont nombreux et occupent une large surface, il faut intensifier nos efforts pour les rénover et les moderniser. Nous renouvellerons leurs installations connexes telles que les routes et les réseaux d'approvisionnement en eau, en électricité et en méthane, et les encouragerons à installer des ascenseurs et à aménager un environnement sans obstacle. Nous optimiserons la construction des marchés et commerces de proximité, des rues piétonnes, des stationnements et d'autres installations de services aux particuliers.
新型城镇化要处处体现以人为核心，提高柔性化治理、精细化服务水平，让城市更加宜居，更具包容和人文关怀。|||Comme la nouvelle urbanisation est centrée sur l'être humain, il faut améliorer la gestion des villes en offrant des services plus personnalisés et plus proches des besoins réels pour qu'elles soient plus agréables à vivre, plus accueillantes et plus humaines.
（七）加强污染防治和生态建设，大力推动绿色发展。|||Renforcer la lutte contre la pollution et l'aménagement écologique, et stimuler l'essor du développement vert.
绿色发展是构建现代化经济体系的必然要求，是解决污染问题的根本之策。|||Le développement vert constitue une exigence impérieuse pour établir un système économique moderne, et aussi la solution essentielle pour lutter contre la pollution.
要改革完善相关制度，协同推动高质量发展与生态环境保护。|||Il faut réformer et perfectionner les systèmes concernés, de manière à concilier le développement de qualité et la protection environnementale.
持续推进污染防治。|||Poursuivre la lutte contre la pollution.
巩固扩大蓝天保卫战成果，今年二氧化硫、氮氧化物排放量要下降3%，重点地区细颗粒物（PM2.5）浓度继续下降。|||Nous consoliderons les acquis et réaliserons de nouvelles avancées dans la campagne pour le ciel bleu. En 2019, les émissions de SO2 et d'oxydes d'azote devront diminuer de 3 %, et la densité des particules fines PM2,5, connaître une baisse constante dans les régions particulièrement touchées.
持续开展京津冀及周边、长三角、汾渭平原大气污染治理攻坚，加强工业、燃煤、机动车三大污染源治理。|||Nous poursuivrons la lutte contre la pollution de l'air dans la zone Beijing-Tianjin-Hebei et ses environs, le delta du Changjiang et la plaine Fenhe-Weihe, en veillant à renforcer le traitement des trois sources principales de pollution que sont l'industrie, le charbon et la circulation motorisée.
做好北方地区清洁取暖工作，确保群众温暖过冬。|||Nous développerons le chauffage propre dans le Nord pour que les habitants puissent passer l'hiver au chaud.
强化水、土壤污染防治，今年化学需氧量、氨氮排放量要下降2%。|||Nous renforcerons la prévention et le traitement des pollutions de l'eau et du sol, le degré de pollution exprimé en DCO (demande chimique en oxygène) et les émissions d'azote ammoniacal devront diminuer de 2 % en 2019.
加快治理黑臭水体，防治农业面源污染，推进重点流域和近岸海域综合整治。|||Le traitement des eaux très polluées sera accéléré ; des efforts seront consentis pour prévenir et traiter la pollution dite « diffuse » dans les régions rurales ; et l'aménagement global de la pollution des bassins prioritaires et des eaux littorales sera poussé de l'avant.
加强固体废弃物和城市垃圾分类处置，促进减量化、资源化、无害化。|||Nous renforcerons le traitement de la pollution par les déchets solides, ferons progresser le tri des déchets urbains, et favoriserons la diminution de consommation d'énergie ainsi que le recyclage et la dépollution des déchets.
加强污染防治重大科技攻关。|||Nous intensifierons la recherche sur les problèmes clés dans le domaine scientifique et technologique en vue de lutter contre la pollution.
