政府工作报告|||RAPPORT D’ACTIVITÉ DU GOUVERNEMENT
坚决打赢脱贫攻坚战。|||Remporter la victoire finale dans la lutte contre la pauvreté.
加大剩余贫困县和贫困村攻坚力度，对外出务工劳动力，要在就业地稳岗就业。|||Il faut accorder une aide accrue au restant des districts et villages pauvres, et préserver les emplois des travailleurs migrants dans les villes.
开展消费扶贫行动，支持扶贫产业恢复发展。|||Des actions d’aide au développement des régions pauvres par la relance de la consommation seront menées pour soutenir la remise en marche des industries locales.
加强易地扶贫搬迁后续扶持。|||Nous renforcerons les mesures d’assistance aux habitants relogés dans des régions où les conditions de vie sont meilleures.
深化东西部扶贫协作和中央单位定点扶贫。|||Nous poursuivrons en profondeur la coopération entre l’Est et l’Ouest et les aides ciblées accordées aux régions pauvres par les divers départements du pouvoir central.
强化对特殊贫困人口兜底保障。|||Un plus grand effort sera consenti pour garantir les moyens d’existence des catégories particulières de populations démunies.
搞好脱贫攻坚普查。|||Le recensement des habitants pauvres sera réalisé.
继续执行对摘帽县的主要扶持政策。|||Nous continuerons à faire bénéficier les districts sortis de la précarité des principales politiques d’assistance.
接续推进脱贫与乡村振兴有效衔接，全力让脱贫群众迈向富裕。|||Nous continuerons à promouvoir une coordination efficace entre la lutte contre la pauvreté et le redressement des régions rurales, et mettrons tout en œuvre pour aider les habitants sortis de la pauvreté à s’enrichir.
着力抓好农业生产。|||Veiller à garantir la bonne marche de la production agricole.
稳定粮食播种面积和产量，提高复种指数，提高稻谷最低收购价，增加产粮大县奖励，大力防治重大病虫害。|||Il faut maintenir les superficies cultivées en grain, stabiliser la production céréalière, élever l’indice de multiplication des récoltes, majorer le prix d’achat plancher du riz, augmenter les primes accordées aux principaux districts producteurs de céréales, et renforcer la prévention et le traitement des épiphyties graves ainsi que l’élimination des insectes extrêmement nuisibles.
支持大豆等油料生产。|||Nous soutiendrons la production du soja et d’autres oléagineux.
惩处违法违规侵占耕地行为，新建高标准农田8000万亩。|||Nous sanctionnerons toute tentative d’occupation illégale de terres cultivées et aménagerons 80 millions de mu [environ 5,33 millions d’hectares] de nouvelles surfaces cultivables répondant à des critères élevés.
培育推广优良品种。完善农机补贴政策。|||Nous encouragerons la culture et la généralisation des bonnes variétés agricoles et améliorerons la politique de subventions à l’achat de matériel agricole.
深化农村改革。|||Nous approfondirons la réforme des régions rurales.
加强非洲猪瘟等疫病防控，恢复生猪生产，发展畜禽水产养殖。|||La prévention et le contrôle des épizooties comme la peste porcine africaine seront renforcés ; la reprise de l’élevage porcin sera stimulée ; l’élevage et l’aquaculture seront développés.
健全农产品流通体系。|||Le système de commercialisation des produits agricoles sera perfectionné.
压实“米袋子”省长负责制和“菜篮子”市长负责制。|||Nous veillerons à l’application du système rendant le gouverneur de province responsable du « sac de riz » et le maire d’une ville, responsable du « panier de la ménagère ».
14亿中国人的饭碗，我们有能力也务必牢牢端在自己手中。|||Nous devons et pouvons compter sur nos propres forces pour assurer la sécurité alimentaire des 1,4 milliard de Chinois.
拓展农民就业增收渠道。|||Accroître le nombre d’emplois pour les paysans et leurs revenus par divers moyens.
支持农民就近就业创业，促进一二三产业融合发展，扩大以工代赈规模，让返乡农民工能打工、有收入。|||Nous aiderons les paysans à trouver un emploi ou à créer leur propre entreprise dans leur région d’origine, favoriserons le développement intégré des secteurs primaire, secondaire et tertiaire, organiserons davantage de travaux rémunérés pour assister les ruraux en difficulté, et veillerons à ce que les migrants qui retournent dans leur région natale puissent y trouver du travail et donc percevoir un revenu.
加强农民职业技能培训。依法根治拖欠农民工工资问题。|||Nous renforcerons la formation professionnelle des paysans et veillerons au versement des arriérés de salaire des travailleurs migrants conformément à la loi.
扶持适度规模经营主体，加强农户社会化服务。|||Nous apporterons notre soutien aux propriétaires des exploitations de taille adéquate et améliorerons les services socialisés en faveur des foyers paysans.
支持农产品深加工。完善乡村产业发展用地保障政策。增强集体经济实力。|||Nous soutiendrons la transformation poussée des produits agricoles, perfectionnerons les politiques de garantie en matière d’utilisation de terrains pour le développement industriel dans les régions rurales, et accroîtrons la puissance de l’économie collective.
增加专项债券投入，支持现代农业设施、饮水安全工程和人居环境整治，持续改善农民生产生活条件。|||En accroissant les investissements par des obligations spéciales, nous soutiendrons la construction d’installations agricoles modernes et de réseaux d’alimentation en eau potable, ainsi que l’aménagement de l’habitat rural, de manière à améliorer continuellement les conditions de vie et de production des agriculteurs.
七、推进更高水平对外开放，稳住外贸外资基本盘|||VII. AMÉLIORER LE NIVEAU DE NOTRE OUVERTURE SUR L’EXTÉRIEUR, STABILISER LES BASES DU COMMERCE EXTÉRIEUR ET DES INVESTISSEMENTS ÉTRANGER
面对外部环境变化，要坚定不移扩大对外开放，稳定产业链供应链，以开放促改革促发展。|||Face aux changements de l’environnement international, nous devons élargir résolument notre ouverture sur l’extérieur, stabiliser les chaînes industrielles et d’approvisionnement, et stimuler la réforme et le développement grâce à l’ouverture.
促进外贸基本稳定。|||Promouvoir la stabilité globale du commerce extérieur.
围绕支持企业增订单稳岗位保就业，加大信贷投放，扩大出口信用保险覆盖面，降低进出口合规成本，支持出口产品转内销。|||En aidant les entreprises à augmenter leurs commandes, à sauvegarder leurs emplois et même à embaucher du personnel, nous accroîtrons les octrois de crédit, étendrons la couverture de l’assurance-crédit à l’exportation, réduirons le coût de la mise en conformité de l’import-export et encouragerons la vente sur le marché intérieur de produits initialement destinés à l’exportation.
加快跨境电商等新业态发展，提升国际货运能力。|||Nous accélérerons le développement de nouvelles formes d’activités telles que le cybercommerce transfrontalier et élèverons nos capacités de fret international.
推进新一轮服务贸易创新发展试点。|||La nouvelle phase d’expériences pilotes favorisant le développement innovant du commerce des services sera poursuivie.
筹办好第三届进博会，积极扩大进口，发展更高水平面向世界的大市场。|||Nous ferons avancer les préparatifs de la troisième édition de l’Exposition internationale d’importation de Chine, accroîtrons activement nos importations et développerons un grand marché de plus haut niveau qui soit tourné vers le monde extérieur.
积极利用外资。|||Utiliser de manière active les capitaux étrangers.
大幅缩减外资准入负面清单，出台跨境服务贸易负面清单。|||La liste négative d’accès au marché pour les investisseurs étrangers sera largement réduite, et une liste négative du commerce transfrontalier des services sera publiée.
深化经济特区改革开放。|||Nous approfondirons la réforme et l’ouverture sur l’extérieur des zones économiques spéciales.
赋予自贸试验区更大改革开放自主权，在中西部地区增设自贸试验区、综合保税区，增加服务业扩大开放综合试点。|||Nous accorderons aux zones pilotes de libre-échange une plus grande autonomie en matière de réforme et d’ouverture, mettrons en place de nouvelles zones pilotes de libre-échange ainsi que des zones franches intégrées dans les régions du Centre et de l’Ouest, et multiplierons les expériences pilotes visant à élargir l’ouverture du secteur des services.
加快海南自由贸易港建设。|||Le développement du port de libre-échange de Hainan sera accéléré.
营造内外资企业一视同仁、公平竞争的市场环境。|||Nous chercherons à créer un environnement des affaires basé sur l’égalité de traitement et la concurrence loyale pour toutes les entreprises, qu’elles soient chinoises ou étrangères.
高质量共建“一带一路”。|||Réaliser une coopération de haute qualité dans le cadre de l’initiative « Ceinture et Route ».
坚持共商共建共享，遵循市场原则和国际通行规则，发挥企业主体作用，开展互惠互利合作。|||En restant fidèles au principe de « concertation, synergie et partage », en nous conformant aux lois du marché et aux normes internationales, et en mettant en valeur le rôle primordial de nos entreprises, nous mènerons une coopération mutuellement avantageuse.
引导对外投资健康发展。|||Nous veillerons à assurer un développement plus sain des investissements chinois à l’étranger.
推动贸易和投资自由化便利化。|||Promouvoir la libéralisation et la facilitation du commerce et de l’investissement.
坚定维护多边贸易体制，积极参与世贸组织改革。|||Nous préserverons fermement le système de commerce multilatéral et prendrons une part active à la réforme de l’OMC.
推动签署区域全面经济伙伴关系协定，推进中日韩等自贸谈判。|||Nous contribuerons à la conclusion de l’accord du Partenariat économique régional global (RCEP), et ferons avancer les négociations sur la création de zones de libre-échange, dont celle qui regroupe la Chine, le Japon et la République de Corée.
共同落实中美第一阶段经贸协议。|||Nous travaillerons avec les États-Unis à mettre en œuvre la première phase de l’accord économique et commercial sino-américain.
中国致力于加强与各国经贸合作，实现互利共赢。|||La Chine renforcera sa coopération économique et commerciale avec le reste du monde au bénéfice de tous les pays.
八、围绕保障和改善民生，推动社会事业改革发展|||VIII. FAIRE PROGRESSER LA RÉFORME ET LE DÉVELOPPEMENT DES ŒUVRES SOCIALES EN CONCENTRANT NOS EFFORTS POUR GARANTIR ET AMÉLIORER LE BIEN-ÊTRE DE LA POPULATION
面对困难，基本民生的底线要坚决兜牢，群众关切的事情要努力办好。|||Face à la situation difficile que nous connaissons, nous devons garantir coûte que coûte les moyens d’existence de la population et nous efforcer de répondre à leurs préoccupations.
加强公共卫生体系建设。|||Renforcer le système de santé publique.
坚持生命至上，改革疾病预防控制体制，加强传染病防治能力建设，完善传染病直报和预警系统，坚持及时公开透明发布疫情信息。|||En donnant la priorité à la vie humaine, nous réformerons le mécanisme de prévention et de contrôle des maladies, renforcerons nos capacités à prévenir et traiter les maladies infectieuses, perfectionnerons le système de signalement direct et d’alerte des maladies infectieuses, et veillerons à une publication rapide, ouverte et transparente des informations épidémiologiques.
用好抗疫特别国债，加大疫苗、药物和快速检测技术研发投入，增加防疫救治医疗设施，增加移动实验室，强化应急物资保障，强化基层卫生防疫。|||Nous ferons un bon usage des emprunts d’État spéciaux pour lutter contre le COVID-19, accroîtrons les investissements dans la R-D sur les vaccins, les médicaments et les techniques de tests de dépistage rapide, augmenterons le nombre d’équipements médicaux contre l’épidémie, construirons de nouveaux laboratoires mobiles, assurerons l’approvisionnement en matériel pour les situations d’urgence et renforcerons les services sanitaires et la prévention des épidémies à la base.
加快公共卫生人才队伍建设。|||Nous accélérerons la formation du personnel de la santé publique.
深入开展爱国卫生运动。|||Nous approfondirons le mouvement patriotique en faveur de l’hygiène.
普及卫生健康知识，倡导健康文明生活方式。|||Nous généraliserons les connaissances sanitaires et préconiserons un mode de vie à la fois sain et civilisé.
要大幅提升防控能力，坚决防止疫情反弹，坚决守护人民健康。|||Il nous faut élever considérablement nos capacités de prévention et de contrôle, tout faire pour prévenir un éventuel rebond de l’épidémie et préserver la santé du peuple chinois.
提高基本医疗服务水平。|||Améliorer les services médicaux de base.
居民医保人均财政补助标准增加30元，开展门诊费用跨省直接结算试点。对受疫情影响的医疗机构给予扶持。|||Nous augmenterons de 30 yuans par tête l’allocation accordée aux personnes inscrites à l’assurance maladie, et mènerons des expériences concernant le règlement interprovincial des frais de consultation.
深化公立医院综合改革。|||Nous soutiendrons les établissements médicaux touchés par l’épidémie.
发展“互联网+医疗健康”。建设区域医疗中心。提高城乡社区医疗服务能力。推进分级诊疗。|||Nous approfondirons la réforme générale des hôpitaux publics, développerons le modèle « Internet + soins médicaux et santé », promouvrons la construction de centres de soins médicaux régionaux, améliorerons la capacité des services médicaux dans les communautés urbaines et rurales, et ferons avancer la mise en place du système de traitement échelonné selon la gravité des maladies.
促进中医药振兴发展，加强中西医结合。|||Nous favoriserons le renouveau et le développement de la médecine et de la pharmacopée traditionnelles chinoises, et renforcerons la combinaison de la médecine chinoise et occidentale.
构建和谐医患关系。|||Nous favoriserons des relations harmonieuses entre le personnel médical et les patients.
严格食品药品监管，确保安全。|||Nous exercerons un contrôle plus rigoureux sur les produits alimentaires et pharmaceutiques, afin d’assurer leur sécurité.
推动教育公平发展和质量提升。|||Promouvoir l’égalité des chances dans l’éducation et améliorer sa qualité.
坚持立德树人。|||Nous veillerons à cultiver le sens moral au cours de la formation des élèves.
有序组织中小学教育教学和中高考工作。|||Nous organiserons de manière coordonnée l’enseignement et la pédagogie dans le primaire et le secondaire, ainsi que les concours d’admission aux écoles secondaires du second cycle et à l’enseignement supérieur.
加强乡镇寄宿制学校、乡村小规模学校和县城学校建设。|||Nous renforcerons la construction de pensionnats dans les cantons, d’écoles de petite taille dans les villages et d’écoles dans les chefs-lieux de district.
完善随迁子女义务教育入学政策。|||Nous perfectionnerons la politique permettant aux enfants qui s’installent avec leurs parents migrants en ville d’avoir l’accès à l’enseignement obligatoire.
办好特殊教育、继续教育，支持和规范民办教育。发展普惠性学前教育，帮助民办幼儿园纾困。|||Nous mènerons à bien l’éducation spécialisée et la formation continue, soutiendrons et réglementerons l’enseignement privé, développerons l’enseignement préscolaire pour tous, et aiderons les écoles maternelles privées à surmonter les difficultés qu’elles rencontrent.
推动高等教育内涵式发展，推进一流大学和一流学科建设，支持中西部高校发展。|||Nous favoriserons le développement qualitatif de l’enseignement supérieur, poursuivrons le développement d’universités et de disciplines de rang mondial, et soutiendrons le développement des écoles supérieures dans le Centre et l’Ouest.
扩大高校面向农村和贫困地区招生规模。|||Nous augmenterons le nombre d’étudiants provenant des régions rurales et des régions pauvres admis dans l’enseignement supérieur.
发展职业教育。加强教师队伍建设。推进教育信息化。|||Nous développerons l’éducation professionnelle, renforcerons la formation du corps enseignant et favoriserons l’informatisation de l’enseignement.
要稳定教育投入，优化投入结构，缩小城乡、区域、校际差距，让教育资源惠及所有家庭和孩子，让他们有更光明未来。|||Nous travaillerons à stabiliser les investissements dans l’enseignement, à optimiser leur structure, et à réduire l’écart éducatif entre les villes et les campagnes, entre les différentes régions et entre les différentes écoles. Nous ferons en sorte que les ressources éducatives bénéficient à toutes les familles et à tous les enfants, afin que tous puissent avoir un meilleur avenir.
加大基本民生保障力度。|||Renforcer les mesures de garantie des moyens d’existence de la population.
上调退休人员基本养老金，提高城乡居民基础养老金最低标准。|||Nous augmenterons la pension de vieillesse de base des retraités et le minimum de la pension sociale de vieillesse.
实现企业职工基本养老保险基金省级统收统支，提高中央调剂比例。|||Nous ferons en sorte que les encaissements et les décaissements centralisés au niveau provincial du fonds de l’assurance vieillesse de base pour les ouvriers et employés des entreprises soient réalisés, et relèverons la contribution des caisses provinciales au fonds central de péréquation des pensions de base des employés des entreprises.
全国近3亿人领取养老金，必须确保按时足额发放。|||Il nous faut absolument assurer le versement ponctuel et intégral des pensions de retraite aux quelque 300 millions de personnes qui y ont droit.
落实退役军人优抚政策。|||La politique d’allocations visant les militaires démobilisés sera appliquée.
做好因公殉职人员抚恤。|||Le versement des indemnités aux familles des personnes mortes dans l’exercice de leur fonction sera assuré.
扩大失业保险保障范围，将参保不足1年的农民工等失业人员都纳入常住地保障。|||La couverture de l’assurance chômage sera étendue, de sorte que les chômeurs ayant souscrit à l’assurance chômage depuis moins d’un an, y compris les paysans migrants, seront tous couverts dans leur lieu de résidence permanente.
完善社会救助制度。|||Le système d’assistance sociale sera parachevé.
扩大低保保障范围，对城乡困难家庭应保尽保，将符合条件的城镇失业和返乡人员及时纳入低保。|||La couverture du minimum vital sera également élargie : toutes les familles pauvres des villes et des campagnes le toucheront, de même que les chômeurs en ville et les travailleurs migrants retournés à la campagne qui remplissent les conditions requises.
对因灾因病因残遭遇暂时困难的人员，都要实施救助。|||Les personnes qui se trouvent temporairement en difficulté à cause d’une calamité naturelle, d’une maladie ou d’un handicap bénéficieront elles aussi d’une assistance.
要切实保障所有困难群众基本生活，保民生也必将助力更多失业人员再就业敢创业。|||Nous veillerons à assurer les moyens d’existence de toutes les personnes en difficulté, et, tout en assurant leur bien-être, nous aiderons les chômeurs à retrouver un emploi ou à créer leur propre entreprise.
丰富群众精神文化生活。|||Enrichir la vie culturelle des masses.
培育和践行社会主义核心价值观，发展哲学社会科学、新闻出版、广播影视等事业。|||Nous devons cultiver et mettre en pratique les valeurs essentielles socialistes, développer la philosophie, les sciences sociales, la presse, l’édition, la radiodiffusion, le cinéma et la télévision.
加强文物保护利用和非物质文化遗产传承。|||Nous renforcerons la sauvegarde et l’exploitation du patrimoine matériel, ainsi que la perpétuation du patrimoine culturel immatériel.
加强公共文化服务，筹办北京冬奥会、冬残奥会，倡导全民健身和全民阅读，使全社会充满活力、向上向善。|||Nous renforcerons les services culturels publics, ferons avancer les préparatifs des jeux Olympiques et Paralympiques d’hiver de Beijing, encouragerons tout le monde à pratiquer des activités sportives et sensibiliserons toute la population à la lecture, afin de créer une société placée sous le signe du dynamisme, du progrès et de la bonté.
加强和创新社会治理。|||Renforcer et rénover la gestion sociale.
健全社区管理和服务机制。|||Nous perfectionnerons les mécanismes de gestion et de services dans les quartiers d’habitation.
加强乡村治理。支持社会组织、人道救助、志愿服务、慈善事业等健康发展。|||Nous renforcerons la gouvernance rurale et soutiendrons le développement sain des organisations sociales, de l’aide humanitaire, du bénévolat et des œuvres de bienfaisance.
保障妇女、儿童、老人、残疾人合法权益。|||Les droits et intérêts légitimes des femmes, des enfants, des personnes âgées et des handicapés seront mieux protégés.
完善信访制度，加强法律援助，及时解决群众合理诉求，妥善化解矛盾纠纷。|||Nous devons améliorer notre système de doléances populaires orales et écrites, renforcer l’assistance judiciaire, satisfaire les revendications populaires légitimes dans les plus brefs délais, et régler de façon adéquate les litiges et contradictions.
开展第七次全国人口普查。|||Nous allons mener le 7e recensement démographique national.
加强国家安全能力建设。|||Notre capacité en matière de défense de la sécurité nationale sera renforcée.
完善社会治安防控体系，依法打击各类犯罪，建设更高水平的平安中国。|||Nous devons améliorer le système de prévention et de contrôle en matière d’ordre public, réprimer toutes les activités criminelles conformément à la loi et faire de la Chine un pays sûr d’un niveau plus élevé.
强化安全生产责任。|||Attacher une plus grande importance à la responsabilité dans le domaine de la sécurité du travail.
加强洪涝、火灾、地震等灾害防御，做好气象服务，提高应急管理、抢险救援和防灾减灾能力。|||Nous renforcerons la prévention des catastrophes naturelles telles que les inondations, les incendies et les séismes, assurerons la qualité des services météorologiques, et améliorerons nos capacités à maîtriser les situations d’urgence, à porter secours aux sinistrés ainsi qu’à prévenir et réduire les calamités naturelles.
实施安全生产专项整治。|||Nous lancerons aussi une action spéciale pour assurer la sécurité de la production.
坚决遏制重特大事故发生。|||Nous ferons tout notre possible pour freiner la survenue des accidents graves ou extrêmement graves.
各位代表：|||Mesdames et Messieurs les députés,
面对艰巨繁重任务，各级政府要自觉在思想上政治上行动上同以习近平同志为核心的党中央保持高度一致，践行以人民为中心的发展思想，落实全面从严治党要求，坚持依法行政，建设法治政府，坚持政务公开，提高治理能力。|||Face aux lourdes tâches qui nous incombent, les gouvernements à tous les échelons doivent, en agissant en parfait accord avec le Comité central du Parti rassemblé autour du camarade Xi Jinping tant dans l’action que sur les plans idéologique et politique, appliquer le concept de développement centré sur le peuple, remplir les exigences de l’application intégrale d’une discipline rigoureuse au sein du Parti, exercer leurs pouvoirs en vertu de la loi, édifier un gouvernement respectueux de la loi, assurer la transparence des affaires administratives et élever leur capacité à gouverner.
要依法接受同级人大及其常委会的监督，自觉接受人民政协的民主监督，主动接受社会和舆论监督。|||Ils doivent se soumettre, conformément à la loi, à la surveillance de l’assemblée populaire du même niveau et de son comité permanent, se placer sous la supervision démocratique de la CCPPC, et accepter la surveillance par l’opinion publique et les différents milieux de la société.
强化审计监督。发挥好工会、共青团、妇联等群团组织作用。|||Il faut renforcer le contrôle de l’audit et faire jouer pleinement le rôle des organisations et groupements de masse tels que la Fédération nationale des syndicats, la Ligue de la jeunesse communiste et la Fédération des femmes.
政府工作人员要自觉接受法律、监察和人民监督。|||Les fonctionnaires sont tenus de se soumettre volontairement au contrôle des lois, à l’inspection et à la surveillance du peuple.
加强廉洁政府建设，坚决惩治腐败。|||Nous devons aussi renforcer l’édification d’un gouvernement intègre et sévir fermement contre la corruption.
各级政府要始终坚持实事求是，牢牢把握社会主义初级阶段这个基本国情，遵循客观规律，一切从实际出发，立足办好自己的事。|||Les gouvernements à tous les échelons doivent continuer à appliquer le principe dit « rechercher la vérité dans les faits », ne pas perdre de vue la réalité fondamentale du pays, à savoir qu’il se trouve toujours au stade primaire du socialisme, agir dans le respect des lois objectives, partir en toute chose des faits et s’acquitter au mieux des missions qui sont les leurs.
要大力纠治“四风”，力戒形式主义、官僚主义，把广大基层干部干事创业的手脚从形式主义的束缚中解脱出来，为担当者担当，让履职者尽责。|||Nous réprimerons sans relâche les « quatre vices », en particulier le formalisme et la bureaucratie, et libérerons les cadres de base du joug du formalisme pour qu’ils puissent agir efficacement. Nous accorderons notre soutien à tous les cadres qui osent assumer leurs responsabilités et ferons en sorte qu’ils puissent exercer pleinement leurs fonctions.
要紧紧依靠人民群众，尊重基层首创精神，以更大力度推进改革开放，激发社会活力，凝聚亿万群众的智慧和力量，这是我们战胜一切困难挑战的底气。|||En nous appuyant étroitement sur le peuple et en respectant l’initiative des échelons de base, nous promouvrons plus énergiquement la réforme et l’ouverture, stimulerons la vitalité de la société et mobiliserons l’intelligence et la force des masses populaires. Voilà ce qui soutient notre conviction que nous pourrons surmonter toutes les difficultés et relever tous les défis.
广大干部应临难不避、实干为要，凝心聚力抓发展、保民生。|||Devant les obstacles, les cadres doivent, au lieu de se dérober, se montrer courageux et diligents, et se concentrer sur le développement et l’amélioration du bien-être de la population.
只要我们始终与人民群众同甘共苦、奋力前行，中国人民追求美好生活的愿望一定能实现。|||Pourvu que nous restions unis au peuple pour le meilleur et pour le pire, et que nous allions de l’avant résolument, l’aspiration des Chinois à une vie meilleure se réalisera sans aucun doute.
今年要编制好“十四五”规划，为开启第二个百年奋斗目标新征程擘画蓝图。|||Cette année, nous devons élaborer le XIVe Plan quinquennal, dressant un grand plan pour entamer la nouvelle marche qui doit nous conduire à la réalisation de l’objectif du deuxième centenaire [Il s’agit d’achever pour le centenaire de la République populaire de Chine, l’édification d’un grand pays socialiste moderne qui soit beau, prospère, puissant, démocratique, harmonieux et hautement civilisé. — N.D.T.].
各位代表：|||Mesdames et Messieurs les députés,
我们要坚持和完善民族区域自治制度，支持少数民族和民族地区加快发展，铸牢中华民族共同体意识。|||Nous devons maintenir et parfaire le système d’autonomie régionale ethnique, soutenir le développement accéléré des ethnies minoritaires et des régions où elles sont installées, en renforçant le sentiment d’appartenance à la nation chinoise.
全面贯彻党的宗教工作基本方针，发挥宗教界人士和信教群众在促进经济社会发展中的积极作用。|||Nous appliquerons intégralement les principes fondamentaux du Parti en matière d’affaires religieuses, ferons jouer aux personnalités religieuses et aux croyants un rôle positif dans la promotion du développement économique et du progrès social.
海外侨胞是祖国的牵挂，是联通世界的重要桥梁，要发挥好侨胞侨眷的独特优势，不断增强中华儿女凝聚力，同心共创辉煌。|||Objets de la sollicitude de la patrie, les Chinois d’outre-mer sont aussi un pont qui relie la Chine au reste du monde. Il faut donc faire valoir les avantages spécifiques des ressortissants chinois et de leurs familles et renforcer la cohésion de tous les Chinois pour réaliser ensemble et d’un seul cœur de brillants exploits.
去年以来，国防和军队建设取得重要进展，人民军队在疫情防控中展示了听党指挥、闻令而动、勇挑重担的优良作风。|||Depuis 2019, l’édification de la défense nationale et de l’armée a enregistré des progrès notables. Dans la lutte contre le COVID-19, l’armée populaire a fait valoir pleinement ses qualités exemplaires, à savoir obéir au commandement du Parti, exécuter promptement les ordres reçus et s’atteler aux tâches les plus lourdes.
要深入贯彻习近平强军思想，深入贯彻新时代军事战略方针，坚持政治建军、改革强军、科技强军、人才强军、依法治军。|||En appliquant consciencieusement la pensée de Xi Jinping sur le renforcement de l’armée et en suivant la stratégie militaire de la nouvelle ère, l’armée devra s’édifier sur le plan politique ; renforcer sa puissance grâce à la réforme, à l’appui des sciences et techniques et à l’amélioration de la qualité de ses effectifs ; et assurer son administration en vertu de la loi.
坚持党对人民军队的绝对领导，严格落实军委主席负责制。|||L’armée doit toujours se soumettre à la direction absolue du Parti, appliquer rigoureusement le système de la pleine responsabilité du président de la Commission militaire centrale, et renforcer ses entraînements militaires et ses préparatifs de combat.
全力加强练兵备战，坚定维护国家主权、安全、发展利益。|||Elle est tenue de remplir ses missions consistant à sauvegarder résolument la souveraineté et la sécurité de l’État et à défendre les intérêts nationaux en matière de développement.
打好军队建设发展“十三五”规划落实攻坚战，编制军队建设“十四五”规划。|||Nous devrons mener à bonne fin le Programme d’édification et de développement de l’armée mis en place durant la période du XIIIe Plan quinquennal et préparer le Programme d’édification de l’armée au cours du XIVe Plan quinquennal.
深化国防和军队改革，提高后勤和装备保障能力，推动国防科技创新发展。|||La réforme de la défense et de l’armée sera conduite en profondeur, de manière à améliorer les capacités de l’armée sur le plan de la logistique et de l’équipement, et à promouvoir un développement innovant des sciences et technologies de défense nationale.
完善国防动员体系，始终让军政军民团结坚如磐石。|||Le système de mobilisation pour la défense nationale sera parachevé. Il faudra faire en sorte que l’unité entre l’armée et le gouvernement, ainsi que la solidarité entre l’armée et le peuple, demeurent inébranlables.
我们要全面准确贯彻“一国两制”、“港人治港”、“澳人治澳”、高度自治的方针，建立健全特别行政区维护国家安全的法律制度和执行机制，落实特区政府的宪制责任。|||Nous continuerons à appliquer intégralement et avec précision les principes dits « un pays, deux systèmes », « administration de Hong Kong par les Hongkongais », « administration de Macao par les Macanais », ainsi que le principe consistant à leur accorder un haut degré d’autonomie. Nous établirons et perfectionnerons le système juridique et les mécanismes d’application des lois en matière de protection de la sécurité de l’État dans les régions administratives spéciales, et ferons endosser à leurs gouvernements leur responsabilité constitutionnelle.
支持港澳发展经济、改善民生，更好融入国家发展大局，保持香港、澳门长期繁荣稳定。|||Nous continuerons à soutenir le développement économique de Hong Kong et de Macao, l’amélioration des conditions de vie de leur population et une meilleure intégration de leur développement au développement général du pays, afin d’y maintenir la prospérité et la stabilité à long terme.
我们要坚持对台工作大政方针，坚持一个中国原则，在“九二共识”基础上推动两岸关系和平发展。|||Nous poursuivrons notre ligne politique générale à l’égard de Taiwan, resterons attachés au principe d’une seule Chine et ferons progresser le développement pacifique des relations entre les deux rives du détroit de Taiwan sur la base du « Consensus de 1992 ».
坚决反对和遏制“台独”分裂行径。|||Nous sommes résolus à dénoncer et combattre toute tentative sécessionniste prônant l’« indépendance de Taiwan ».
完善促进两岸交流合作、深化两岸融合发展、保障台湾同胞福祉的制度安排和政策措施，团结广大台湾同胞共同反对“台独”、促进统一，我们一定能开创民族复兴的美好未来。|||Nous veillerons à l’amélioration de toutes les dispositions institutionnelles et mesures politiques visant à promouvoir les échanges et la coopération entre les deux rives du détroit, à mener en profondeur le développement intégré des deux rives et à favoriser le bien-être de nos compatriotes de Taiwan. Nous lutterons avec eux contre les indépendantistes et pour la réunification du pays. Il ne fait aucun doute qu’en agissant de la sorte nous ouvrirons de belles perspectives au grand renouveau de la nation.
应对公共卫生危机、经济严重衰退等全球性挑战，各国应携手共进。|||Il appartient à tous les pays du monde de travailler main dans la main pour faire face à la crise sanitaire, à la grave récession économique et aux autres défis planétaires.
中国将同各国加强防疫合作，促进世界经济稳定，推进全球治理，维护以联合国为核心的国际体系和以国际法为基础的国际秩序，推动构建人类命运共同体。|||La Chine souhaite renforcer la coopération avec le reste du monde pour contrer le COVID-19, assurer la stabilité de l’économie mondiale, promouvoir la gouvernance mondiale, défendre le système international centré sur les Nations Unies ainsi que l’ordre international fondé sur le droit international, et faire avancer la construction d’une communauté de destin pour l’humanité.
中国坚定不移走和平发展道路，在扩大开放中深化与各国友好合作，中国始终是促进世界和平稳定与发展繁荣的重要力量。|||La Chine poursuivra inébranlablement une voie de développement pacifique et approfondira, en élargissant son ouverture, ses liens d’amitié et de coopération avec les autres pays du monde. La Chine est et restera une force importante pour la promotion de la paix, de la stabilité, du développement et de la prospérité dans le monde.
各位代表！|||Mesdames et Messieurs les députés,
中华民族向来不畏艰难险阻，当代中国人民有战胜任何挑战的坚定意志和能力。|||Jamais la nation chinoise ne s’est inclinée devant un danger ou un obstacle. Aujourd’hui, le peuple chinois est animé d’une volonté et d’une capacité à toute épreuve qui lui permettront de surmonter n’importe quel défi.
