政府工作报告|||﻿RAPPORT D'ACTIVITÉ DU GOUVERNEMENT
我们要更加紧密地团结在以习近平同志为核心的党中央周围，高举中国特色社会主义伟大旗帜，以习近平新时代中国特色社会主义思想为指导，锐意进取，扎实工作，促进经济社会持续健康发展，为决胜全面建成小康社会、夺取新时代中国特色社会主义伟大胜利，为把我国建设成为富强民主文明和谐美丽的社会主义现代化强国、实现中华民族伟大复兴的中国梦作出新的贡献！|||Unissons-nous plus étroitement autour du Comité central du Parti ayant comme noyau le camarade Xi Jinping, portons haut levée le drapeau du socialisme à la chinoise, suivons la pensée de Xi Jinping sur le socialisme à la chinoise de la nouvelle ère, faisons preuve d'esprit d'entreprise et d'assiduité au travail, pour faire progresser le développement socioéconomique sain et durable, et apporter de nouvelles contributions à la victoire décisive de l'édification intégrale de la société de moyenne aisance, au triomphe du socialisme à la chinoise de la nouvelle ère, à l'avènement d'un grand pays socialiste qui soit beau, moderne, prospère, puissant, démocratique, harmonieux et hautement civilisé, ainsi qu'à la réalisation du rêve chinois du grand renouveau national !
为建设更加美好的地球家园贡献智慧和力量|||AVEC NOTRE SAGESSE ET NOTRE FORCE, ŒUVRONS À LA CONSTRUCTION D'UN MONDE MEILLEUR
——在中法全球治理论坛闭幕式上的讲话|||Discours à la clôture du Séminaire sino-français sur la gouvernance mondiale
（2019年3月26日，巴黎）|||Paris, le 26 mars 2019
中华人民共和国主席　习近平|||M. Xi Jinping, Président de la République populaire de Chine
"尊敬的马克龙总统，|||Monsieur le Président Emmanuel Macron,
尊敬的默克尔总理，|||Madame la Chancelière Angela Merkel,
尊敬的容克主席，|||Monsieur le Président Jean-Claude Junker,
女士们，先生们，朋友们："|||Mesdames et Messieurs, Chers Amis,
3月的巴黎，春和景明，生机盎然。|||En ce mois printanier de mars, Paris est plein de dynamisme.
很高兴在我访问法国之际受邀出席中法全球治理论坛闭幕式。|||Pendant ma visite en France, j'ai le grand plaisir d'assister à la cérémonie de clôture du Séminaire sino-français sur la gouvernance mondiale.
昨天，与会代表围绕论坛议题，开展了富有建设性的对话研讨，取得了多方面积极成果。|||Hier, les participants ont eu, sur les sujets de ce séminaire, des discussions constructives qui ont donné des résultats positifs à bien des égards.
首先，我谨向各位参会代表表示诚挚的问候！对论坛取得成功表示衷心的祝贺！|||Je tiens tout d'abord à leur adresser mes salutations cordiales et à exprimer toutes mes félicitations pour le succès des travaux.
昨天，我同马克龙总统会晤时也围绕全球治理深入交换了意见，达成重要共识。|||Pendant nos entretiens d'hier, j'ai eu avec le Président Emmanuel Macron des échanges de vues approfondis sur la gouvernance mondiale et nous sommes parvenus à d'importants consensus.
中法同为全球治理的重要参与者，在维护世界和平安全稳定、维护多边主义和自由贸易、支持联合国发挥积极作用等重大问题上有着广泛政治共识和坚实合作基础。|||La Chine et la France sont toutes les deux acteurs importants dans la gouvernance mondiale. Elles ont une large convergence de vue sur le plan politique et une base de coopération solide en ce qui concerne la préservation de la paix, de la sécurité et de la stabilité internationales, la sauvegarde du multilatéralisme et du libre-échange, le soutien au rôle actif des Nations Unies et d'autres questions majeures.
中法两国坚持互尊互信、平等相待、开放包容、互利共赢，共同维护国际关系基本准则，共同推进全球治理完善，成为维护世界和平稳定、促进人类文明进步的重要力量。|||Les deux pays, fidèles aux principes de respect mutuel, de confiance réciproque, d'égalité, d'ouverture, de tolérance et de bénéfice pour tous, défendent ensemble les normes fondamentales régissant les relations internationales, travaillent ensemble à l'amélioration de la gouvernance mondiale et constituent des forces importantes pour la préservation de la paix et de la stabilité mondiales et la promotion du progrès de l'humanité.
刚刚我同马克龙总统、默克尔总理、容克主席举行了四方会晤，围绕多边主义、中欧战略伙伴关系发展深入探讨，达成了进一步共识。|||Je viens d'avoir une rencontre à quatre parties avec le Président Emmanuel Macron, la Chancelière Angela Merkel et le Président Jean-Claude Junker, et nous avons eu des discussions approfondies sur le multilatéralisme et le développement du partenariat global stratégique sino-européen et dégagé une plus grande convergence de vue.
女士们、先生们、朋友们！|||Mesdames et Messieurs, Chers Amis,
两年前，我在联合国日内瓦总部演讲时，发出“世界怎么了、我们怎么办”之问。|||Il y a deux ans, dans mon discours à l'Office des Nations Unies à Genève, j'ai posé les questions suivantes : Où en est le monde ? Que devons-nous faire ?
当今世界正面临百年未有之大变局，和平与发展仍然是时代主题，同时不稳定性不确定性更加突出，人类面临许多共同挑战。|||Le monde d'aujourd'hui connaît des changements jamais vus depuis un siècle. La paix et le développement restent toujours le thème de notre époque. Et en même temps, le monde est confronté à des instabilités et des incertitudes accrues et l'humanité fait face à de multiples défis communs.
法国有句谚语说：“人的命运掌握在自己的手里。”|||Chacun est l'artisan de son sort, dit un proverbe français.
面对严峻的全球性挑战，面对人类发展在十字路口何去何从的抉择，各国应该有以天下为己任的担当精神，积极做行动派、不做观望者，共同努力把人类前途命运掌握在自己手中。|||Face aux graves défis planétaires, et face au choix que l'humanité doit faire à cette croisée des chemins, les différents pays doivent faire preuve de sens d'engagement, passer à l'action au lieu de rester dans l'observation et maîtriser l'avenir et le destin de l'humanité.
第一，坚持公正合理，破解治理赤字。|||Premièrement, adopter une approche juste et raisonnable pour remédier au déficit de gouvernance.
全球热点问题此起彼伏、持续不断，气候变化、网络安全、难民危机等非传统安全威胁持续蔓延，保护主义、单边主义抬头，全球治理体系和多边机制受到冲击。|||Les dossiers brûlants internationaux surgissent l'un après l'autre. Les défis sécuritaires non-conventionnels tels que le changement climatique, la cybersécurité et la crise des réfugiés continuent à se propager. Les tentations du protectionnisme et de l'unilatéralisme se multiplient. Et la gouvernance mondiale et le système multilatéral sont mis à mal.
我们要坚持共商共建共享的全球治理观，坚持全球事务由各国人民商量着办，积极推进全球治理规则民主化。|||Nous devons rester fidèles au concept dit d'« amples consultations, contribution conjointe et bénéfices partagés » en matière de gouvernance mondiale, préconiser les consultations entre les peuples du monde lorsqu'il s'agit des affaires mondiales et promouvoir activement la démocratisation des règles de la gouvernance mondiale.
我们要继续高举联合国这面多边主义旗帜，充分发挥世界贸易组织、国际货币基金组织、世界银行、二十国集团、欧盟等全球和区域多边机制的建设性作用，共同推动构建人类命运共同体。|||Nous devons continuer à porter haut levé l'étendard du multilatéralisme que représentent les Nations Unies, faire jouer pleinement le rôle constructif des mécanismes multilatéraux internationaux et régionaux tels que l'OMC, le FMI, la Banque mondiale, le G20 et l'Union européenne et construire ensemble la communauté de destin pour l'humanité.
第二，坚持互商互谅，破解信任赤字。|||Deuxièmement, préconiser les consultations et la compréhension mutuelle pour remédier au déficit de confiance.
信任是国际关系中最好的黏合剂。|||La confiance est le meilleur adhésif dans les relations internationales.
当前，国际竞争摩擦呈上升之势，地缘博弈色彩明显加重，国际社会信任和合作受到侵蚀。|||Actuellement, la compétition et les frictions sur le plan international s'accentuent et sont de plus en plus marquées par les bras de fer géopolitiques, affaiblissant la confiance et la coopération entre les membres de la communauté internationale.
我们要把互尊互信挺在前头，把对话协商利用起来，坚持求同存异、聚同化异，通过坦诚深入的对话沟通，增进战略互信，减少相互猜疑。|||Nous devons préconiser le respect mutuel et la confiance réciproque et mettre en valeur le dialogue et la consultation. Il convient de chercher les terrains d'entente par-delà les divergences, de renforcer la confiance stratégique mutuelle et de diminuer la méfiance par des dialogues francs et approfondis.
要坚持正确义利观，以义为先、义利兼顾，构建命运与共的全球伙伴关系。要加强不同文明交流对话，加深相互理解和彼此认同，让各国人民相知相亲、互信互敬。|||Il convient de poursuivre le concept de la recherche du plus grand bien et des intérêts partagés pour construire un partenariat mondial où l'on partage heur et malheur. Il convient de renforcer les échanges et le dialogue entre les différentes civilisations afin d'approfondir la compréhension et l'acceptation réciproques, et de promouvoir la connaissance, le rapprochement, la confiance et le respect entre tous les peuples du monde.
当前中欧关系中合作是主流，即使有竞争，也应是良性竞争。|||La coopération représente l'aspect principal des relations Chine-Europe d'aujourd'hui. La compétition, s'il en existe, doit être une compétition positive.
我们要相互信任，并肩前行。|||Nous devons nous témoigner mutuellement de confiance et aller ensemble de l'avant.
第三，坚持同舟共济，破解和平赤字。|||Troisièmement, poursuivre la coopération pour remédier au déficit de paix.
人类今天所处的安全环境仍然堪忧，地区冲突和局部战争持续不断，恐怖主义仍然猖獗，不少国家民众特别是儿童饱受战火摧残。|||L'environnement sécuritaire dans lequel l'humanité se trouve aujourd'hui reste inquiétant. Les conflits régionaux et guerres locales perdurent. Le terrorisme continue à sévir et des populations civiles, des enfants en particulier, souffrent de la guerre. Nous devons adopter le nouveau concept de sécurité commune, globale, coopérative et durable, rejeter les vieilles mentalités de la guerre froide et du jeu à somme nulle et la loi de la jungle.
我们要秉持共同、综合、合作、可持续的新安全观，摒弃冷战思维、零和博弈的旧思维，摒弃弱肉强食的丛林法则，以合作谋和平、以合作促安全，坚持以和平方式解决争端，反对动辄使用武力或以武力相威胁，反对为一己之私挑起事端、激化矛盾，反对以邻为壑、损人利己，各国一起走和平发展道路，实现世界长久和平。|||Et nous devons valoriser la coopération en vue de la réalisation de la paix et de la sécurité. Il convient de régler les différends par des moyens pacifiques et de s'opposer au recours pour un rien à la force et à la menace par la force. Nous devons nous opposer à la tentative de provoquer des conflits ou d'attiser des tensions pour ses intérêts égoïstes et de rechercher son propre profit, quitte à nuire aux autres. Les pays du monde doivent s'engager ensemble sur la voie du développement pacifique pour réaliser la paix durable dans le monde.
第四，坚持互利共赢，破解发展赤字。|||Quatrièmement, chercher toujours les bénéfices partagés pour remédier au déficit de développement.
经济全球化是推动世界经济增长的引擎。|||La mondialisation économique est un moteur de la croissance mondiale.
当前，逆全球化思潮正在发酵，保护主义的负面效应日益显现，收入分配不平等、发展空间不平衡已成为全球经济治理面临的最突出问题。|||Aujourd'hui, les reflux anti-mondialisation montent et les effets négatifs du protectionnisme commercial ne cessent de se faire sentir. Les disparités de revenus et le déséquilibre en matière d'espace de développement sont déjà devenus les problèmes les plus aigus qui se posent à la gouvernance économique mondiale.
我们要坚持创新驱动，打造富有活力的增长模式；坚持协同联动，打造开放共赢的合作模式；坚持公平包容，打造平衡普惠的发展模式，让世界各国人民共享经济全球化发展成果。|||Nous devons faire de l'innovation le moteur du développement pour trouver un mode de croissance dynamique, renforcer la coordination pour créer un mode de coopération ouverte et gagnant-gagnant et faire valoir l'équité et l'inclusion pour bâtir un mode de développement équilibré et bénéfique à tous, de sorte que la mondialisation économique bénéficie à tous les peuples du monde.
中国支持对世界贸易组织进行必要的改革，更好建设开放型世界经济，维护多边贸易体制，引导经济全球化更加健康发展。|||La Chine soutient une réforme nécessaire de l'OMC pour mieux bâtir une économie mondiale ouverte, préserver le système commercial multilatéral et promouvoir un développement plus sain de la mondialisation économique.
“一带一路”倡议丰富了国际经济合作理念和多边主义内涵，为促进世界经济增长、实现共同发展提供了重要途径。|||L'Initiative « la Ceinture et la Route » a enrichi les concepts de la coopération économique mondiale et le multilatéralisme, et offre une voie importante permettant de promouvoir la croissance de l'économie mondiale et de réaliser le développement commun.
我们欢迎包括法国在内的世界各国积极参与到共建“一带一路”中来。|||La France et les autres pays du monde sont les bienvenus dans la réalisation de cette initiative.
女士们、先生们、朋友们！|||Mesdames et Messieurs, Chers Amis,
中法友谊源远流长。|||La Chine et la France sont liées par une amitié qui remonte loin dans le temps.
今年是中法建交55周年。|||Cette année marque le 55e anniversaire des relations diplomatiques sino-françaises.
两国已经开展了许多战略性合作，还有很大合作空间。|||Notre coopération stratégique, qui s'est déjà déployée dans de nombreux domaines, recèle de grandes potentialités.
正如法国朋友所说，不登上埃菲尔铁塔，就看不到巴黎最美的风景。新形势下，我们应登高望远，面向未来，加强合作。|||Tout comme c'est sur la Tour Eiffel qu'on a la meilleure vue sur Paris, nous devons, dans ce nouveau contexte, prendre de la hauteur pour nous tourner vers l'avenir et travailler à renforcer notre coopération.
我们要深化核能、航空航天、农业食品、医疗卫生、汽车制造等传统领域合作，加快推动绿色制造、数字经济、人工智能、金融服务、城市可持续发展等新兴领域合作，加强气候变化合作，全面落实《巴黎协定》，推动今年联合国气候峰会取得积极成果，为两国人民和各国人民谋福祉。|||Nous devons approfondir notre coopération dans les domaines traditionnels comme le nucléaire civil, l'aérospatiale, l'agroalimentaire, la santé et la construction automobile, accélérer celle dans les secteurs d'avenir tels que la fabrication verte, l'économie numérique, l'intelligence artificielle, les services financiers et le développement durable en milieu urbain, et renforcer notre coopération sur le changement climatique en mettant en œuvre sur tous les plans l'Accord de Paris et faire aboutir le Sommet des Nations Unies sur le Climat à des résultats positifs, et ce pour le bien-être de nos deux peuples et de celui de tous les peuples du monde.
女士们，先生们，朋友们："|||Mesdames et Messieurs, Chers Amis,
历史发展、文明繁盛、人类进步，从来离不开思想引领。|||Le développement de l'Histoire, la prospérité des civilisations et le progrès de l'humanité ne sont jamais possibles sans l'orientation et l'impulsion des pensées avancées.
中法全球治理论坛将为两国共同参与和推进全球治理提供有力智力支撑。|||Le séminaire offrira à la Chine et à la France un fort appui intellectuel à leur participation et à l'impulsion qu'elles donneront ensemble à la gouvernance mondiale.
我希望，中法双方及相关各方保持对话渠道畅通，以交流促合作，以合作促共赢，携手为建设更加美好的地球家园贡献智慧和力量！|||J'espère que nos deux pays, de même que toutes les parties concernées, maintiendront la fluidité des canaux de dialogue et poursuivront leurs échanges pour réaliser la coopération gagnant-gagnant et apporter leur sagesse et leur force à l'avènement d'un monde meilleur.
谢谢大家。|||Je vous remercie.
坚决打赢抗击疫情阻击战 推动构建人类命运共同体|||LUTTER AVEC DÉTERMINATION CONTRE L'ÉPIDÉMIE DE COVID-19 ET PROMOUVOIR LA CONSTRUCTION D'UNE COMMUNAUTÉ D'AVENIR PARTAGÉ POUR L'HUMANITÉ
国务委员兼外交部长 王毅|||Wang Yi, Conseiller d'État et Ministre des Affaires étrangères de la République populaire de Chine
新冠肺炎疫情是对中国人民生命安全和身体健康的一个重大威胁，也是对全球公共卫生安全的一次重大挑战。|||L'épidémie de COVID-19 constitue non seulement une grave menace pour la vie et la santé du peuple chinois, mais aussi un défi majeur pour la sécurité sanitaire internationale.
面对严峻考验，在以习近平同志为核心的党中央坚强领导下，全国各族人民万众一心、众志成城，形成了抗击疫病的强大合力，书写了可歌可泣的英雄篇章，赢得了国际社会的钦佩与支持。|||Face à cette rude épreuve, le peuple chinois multiethnique, sous la ferme direction du Comité central du PCC rassemblé autour du camarade Xi Jinping, a fait preuve de solidarité et travaillé en forte synergie dans la lutte contre l'épidémie, inscrivant des chapitres héroïques dans l'histoire humaine et gagnant l'admiration et le soutien de la communauté internationale.
在这场仍在进行的重大斗争中，外交战线坚决贯彻习近平总书记重要指示精神和党中央决策部署，增强“四个意识”、坚定“四个自信”、做到“两个维护”，积极投身疫情防控的人民战争、总体战、阻击战，全力为国内疫情防控和经济社会发展营造良好外部环境，为全球携手抗击疫情构筑坚实有力防线。|||Dans ce combat majeur qui est toujours en cours, l'équipe diplomatique chinoise, en mettant résolument en œuvre les instructions importantes du Secrétaire général Xi Jinping et les décisions et dispositions prises par le Comité central du PCC, en renforçant les « quatre consciences » et la « quadruple confiance en soi », et en concrétisant les « deux préservations », s'est engagée activement dans cette guerre populaire et générale contre l'épidémie, et n'a ménagé aucun effort pour créer un environnement extérieur favorable à la lutte contre l'épidémie et au développement socio-économique de la Chine, et construire une ligne de défense solide dans la lutte internationale contre l'épidémie.
新冠肺炎疫情发生以来，外交战线紧紧围绕坚决遏制疫情蔓延势头、坚决打赢疫情防控阻击战总目标，把疫情防控工作作为最重要的政治任务，以高度责任感和使命感扎实推进疫情防控涉外工作，为党中央分忧，为国家尽责，为人民担当，为国内抗疫斗争贡献力量。|||Depuis le début de l'épidémie, l'équipe diplomatique chinoise, conformément à l'objectif global d'empêcher fermement la propagation de l'épidémie et de remporter la bataille de prévention et de contrôle, a fait de la lutte contre l'épidémie la mission politique la plus importante et géré les affaires extérieures liées à cette lutte avec un sens aigu des responsabilités et de dévouement pour remplir les missions confiées par le Comité central du PCC, accomplir son devoir à l'égard du pays et du peuple et contribuer à la lutte contre l'épidémie en Chine.
积极开展抗疫外交，全力争取国际支持。|||Nous avons mené activement des actions diplomatiques autour de la lutte contre l'épidémie pour gagner le soutien de la communauté internationale.
习近平总书记指挥若定，亲力亲为，同法国、德国、沙特阿拉伯、美国、印度尼西亚、卡塔尔、马来西亚、英国、韩国、巴基斯坦、阿联酋、埃塞俄比亚、智利、古巴等十余个国家领导人通话，强调中国全国动员、全面部署、快速反应，采取最全面、最严格、最彻底的防控举措，完全有信心、有能力、有把握战胜疫情，并把疫情影响降到最低，努力实现今年经济社会发展目标任务。|||Le Secrétaire général Xi Jinping s'est personnellement engagé dans cette lutte et la dirige avec sang-froid. Lors de ses entretiens téléphoniques avec les dirigeants d'une dizaine de pays dont la France, l'Allemagne, l'Arabie saoudite, les États-Unis, l'Indonésie, le Qatar, la Malaisie, le Royaume-Uni, la République de Corée, le Pakistan, les Émirats arabes unis, l'Éthiopie, le Chili et Cuba, le Secrétaire général Xi Jinping a souligné que la Chine a réagi rapidement en lançant une mobilisation générale et en mettant en place un ensemble de dispositions, qu'elle a pris les mesures de prévention et de contrôle les plus complètes, les plus strictes et les plus rigoureuses et qu'elle est tout à fait capable, confiante et sûre de gagner cette bataille contre l'épidémie et de minimiser son impact en vue d'atteindre les objectifs de développement économique et social de cette année.
习近平总书记的铿锵话语发出了中国“战疫必胜”的时代最强音。|||Ces paroles retentissantes du Secrétaire général Xi Jinping font passer un message fort au monde, celui de la détermination de la Chine à vaincre l'épidémie.
全球170多个国家领导人和40多个国际和地区组织负责人向中国领导人来函致电、发表声明表示慰问支持，对我国抗疫举措及其积极成效予以高度肯定。|||Les dirigeants de plus de 170 pays et les responsables de plus de 40 organisations internationales et régionales ont fait des déclarations ou adressé des messages aux dirigeants chinois pour exprimer leur solidarité et leur soutien ainsi que leur haute appréciation à l'égard des mesures prises par la Chine et des résultats encourageants déjà obtenus dans cette lutte.
联合国、上海合作组织、金砖国家、东盟、非盟、阿盟、拉共体、七十七国集团等重要组织专门发表声明，表达对中国抗疫行动的信心与支持。|||Les Nations Unies, l'Organisation de Coopération de Shanghai, les BRICS, l'ASEAN, l'Union Africaine, la Ligue arabe, la CELAC, le Groupe des 77 et d'autres organisations importantes ont publié spécialement des déclarations pour exprimer leur confiance et leur soutien à la lutte chinoise contre cette épidémie.
我们还接待柬埔寨首相洪森、蒙古国总统巴特图勒嘎专程访华，在老挝举行中国—东盟关于新冠肺炎问题特别外长会，与世界卫生组织密切合作，同日本、韩国、俄罗斯、法国、英国、德国、伊朗、马来西亚等20多国外长通话，汇聚起国际社会患难与共、携手抗疫的广泛共识。|||Nous avons aussi eu le plaisir d'accueillir la visite du Premier Ministre cambodgien Hun Sen et celle du Président de la Mongolie Khaltmaagiin Battulga, organisé, au Laos, une réunion extraordinaire des ministres des Affaires étrangères Chine-ASEAN sur la COVID-19, et mené une coopération étroite avec l'Organisation mondiale de la Santé (OMS). J'ai tenu des entretiens téléphoniques avec les ministres des Affaires étrangères de plus de vingt pays dont le Japon, la République de Corée, la Russie, la France, le Royaume-Uni, l'Allemagne, l'Iran et la Malaisie. Tout cela a contribué à dégager un large consensus international pour une lutte solidaire et commune contre cette épidémie.
全面推进国际合作，服务国内抗疫需要。|||Nous avons renforcé la coopération internationale sur tous les plans afin de répondre aux besoins de la lutte contre l'épidémie dans le pays.
我们通过各驻外机构，为争取国内抗疫急需的医疗物资多方奔走，为开展国际采购牵线搭桥，为接收外国政府、华侨华人及国际友人的自发捐赠建立绿色通道。|||Nous avons mobilisé pleinement notre réseau diplomatique et consulaire à travers le monde pour rechercher du matériel médical dont notre pays a un besoin urgent, faciliter les achats à l'international et assurer, par la mise en place d'un « canal vert », l'acheminement des dons en provenance des gouvernements étrangers, des Chinois d'outre-mer et de nos amis d'autres pays.
目前，来自50个国家和国际组织的援助物资已经交付，大批紧缺医疗物资相继运抵武汉，送达国内最需要的地方。|||Nous avons reçu jusqu'ici des aides matérielles venant de 50 pays et organisations internationales, et une grande quantité de fournitures médicales très demandées sont arrivées à Wuhan et ont été affectées là où les besoins sont les plus pressants.
我们协同主管部门，同各国积极开展信息交流和科研合作，为疫情诊治和疫苗研发提供国际智力支撑。|||En coordination avec les départements compétents, nous avons mené activement des échanges d'informations et coopérations en recherche scientifique avec différents pays afin de fournir un appui intellectuel international au diagnostic, au traitement et au développement de vaccins.
努力践行外交为民，维护同胞正当权益。|||Fidèles à notre vision de la diplomatie pour le peuple, nous avons travaillé à préserver les droits et intérêts légitimes de nos compatriotes.
面对突如其来的疫情，我们坚决维护海外公民安全与正当权益。|||Face à une épidémie d'une telle soudaineté, nous avons agi avec résolution pour préserver la sécurité et les droits et intérêts légitimes des ressortissants chinois à l'étranger.
针对少数国家采取的过度反应举措，我们依据世界卫生组织提出的政策建议及时表明立场，并与各国协商沟通，努力避免对中外正常的人员和经贸往来带来不必要冲击。|||En réponse aux mesures excessives prises par quelques pays, nous avons rapidement déclaré notre position conformément aux recommandations de l'OMS, et nous avons mené des coordinations avec les pays concernés afin d'éviter tout impact injustifié sur les échanges humains, économiques et commerciaux normaux.
我们践行外交为民宗旨，设立专项领保机制，通过所有驻外使领馆找寻和联系回国无门的湖北同胞，派出十余架次包机，从泰国、马来西亚、日本、越南、新加坡、印度尼西亚等地将1300余名滞留海外的湖北兄弟姐妹接回家。|||Gardant à l'esprit notre vocation de servir le peuple, nous avons mis en place un mécanisme spécial de protection consulaire permettant de rechercher et de contacter, via nos missions diplomatiques et consulaires, les voyageurs venant du Hubei bloqués à l'étranger et organisé une dizaine de vols affrétés pour rapatrier plus de 1 300 compatriotes d'origine du Hubei depuis la Thaïlande, la Malaisie, le Japon, le Viet Nam, Singapour et l'Indonésie.
在中央统筹下，我们协助香港特区政府从日本接回“钻石公主”号游轮上的港澳同胞。|||Sous la coordination du gouvernement central, nous avons assisté le gouvernement de la Région administrative spéciale de Hong Kong dans l'organisation du retour des Hongkongais et des Macanais à bord du Diamond Princess au Japon.
各驻外机构夜以继日开展领事保护工作，为18100余名因航班中断无法回国的中国公民提供帮助，接打1万余通领保电话，协助解决近2700个领保案件。|||Assurant jour et nuit des services de protection consulaire, nos missions diplomatiques et consulaires à travers le monde ont aidé plus de 18 100 ressortissants chinois bloqués à l'étranger en raison des suspensions de vols, reçu et fait plus de 10 000 appels et traité près de 2 700 cas de protection consulaire.
外交部还派出工作组驰援武汉，全力做好各项涉外协调服务工作，成为外交战线最美“逆行者”。|||Un groupe de travail du Ministère des Affaires étrangères (MAE) a été d'ailleurs dépêché à Wuhan pour faciliter la coordination des affaires extérieures liées à l'épidémie. Ces diplomates qui travaillent en première ligne sont de véritables héros.
主动开展对外宣介，讲好中国抗疫故事。|||Nous avons présenté activement à l'extérieur l'action menée par la Chine pour contrer l'épidémie.
我们通过出席慕尼黑安全会议等多边平台，充分运用外交部例行记者会、新媒体等多种形式在国际舆论场及时发声，全面宣介我国抗击疫情所作的巨大努力，展现中国未来发展的光明前景，用事实坚定信心，用沟通赢得信任，同时坚决回击歧视中国公民、制造恐慌情绪的错误行径和不实言论，努力为疫情防控营造良好国际环境。|||En profitant des plateformes multilatérales comme la Conférence sur la sécurité de Munich et en mettant pleinement en valeur les conférences de presse régulières du MAE et les nouveaux multimédias, nous avons présenté à l'opinion publique internationale les efforts considérables déployés par la Chine dans la lutte contre l'épidémie, et démontré les perspectives radieuses du développement de la Chine, pour renforcer la confiance par des faits et gagner la confiance par la communication. Dans le même temps, nous avons fermement riposté aux pratiques erronées et paroles infondées qui stigmatisent les Chinois et sèment la panique, pour ainsi créer un bon environnement international à la prévention et au contrôle de l'épidémie.
多次召开外国驻华使馆（团）疫情防控通报会，展现中国政府重视外国在华公民生命安全和身体健康的负责任态度。|||Nous avons organisé plusieurs séances d'information sur la prévention et le contrôle de l'épidémie à l'intention des missions diplomatiques et des représentations d'organisations internationales en Chine, montrant l'attitude responsable du gouvernement chinois et son attachement à la sécurité et à la santé des ressortissants étrangers en Chine.
我国各驻外使节和机构密集展开公共外交行动，接受主流电视及电台采访400余次，发表署名文章300余篇，举办吹风会、演讲500余次，在境内外重要社交媒体发文2万余条，帮助国际社会更好了解中国人民抗疫斗争，坚定对中国经济继续向好发展的信心。|||Les chefs de missions diplomatiques de la Chine et les différentes institutions chinoises à l'étranger ont multiplié les actions de diplomatie publique avec plus de 400 interviews accordées aux principales radios et télévisions étrangères, plus de 300 tribunes publiées dans la presse, plus de 500 points de presse et discours donnés et plus de 20 000 messages postés sur les principaux réseaux sociaux chinois et étrangers, pour mieux faire connaître à la communauté internationale la lutte du peuple chinois contre l'épidémie et renforcer la confiance dans la poursuite de l'élan positif de l'économie chinoise.
中国人民为抗击疫情作出了艰苦卓绝努力，当前全国疫情防控形势积极向好的态势正在拓展。|||Grâce aux efforts inouïs déployés par le peuple chinois, la situation de l'épidémie en Chine ne cesse de s'améliorer.
在抗击疫情过程中，中国始终秉持人类命运共同体理念，彰显负责任大国形象，为全球公共卫生事业作出了重要贡献。|||Dans ce combat, toujours fidèle à la vision de la communauté d'avenir partagé pour l'humanité, la Chine a montré l'image d'un grand pays responsable et apporté une contribution importante à la santé publique internationale.
中国为阻止疫情全球扩散展现了担当。|||La Chine a pris ses responsabilités pour enrayer la propagation de l'épidémie dans le monde.
中国站在抗击新冠肺炎疫情的第一线，我们不仅对中国人民负责，也为全球公共卫生事业尽责，通过采取最坚决、最彻底的措施，全力阻止新冠肺炎疫情在全球范围的蔓延。|||En première ligne contre la COVID-19, nous assumons nos responsabilités non seulement envers le peuple chinois, mais aussi à l'égard de la santé publique mondiale, en prenant les mesures les plus résolues et les plus rigoureuses pour endiguer la propagation de l'épidémie dans le monde.
中国的医护和科研人员争分夺秒完善诊疗措施，不断提升治愈率、降低病亡率，用中国速度为全球作出防疫准备争取了宝贵时间，用中国力量撑起了控制疫情蔓延的坚固防线。|||Les personnels de santé et les chercheurs chinois se sont lancés dans une course contre la montre pour améliorer les solutions diagnostiques et thérapeutiques, augmenter le taux de guérison et faire baisser la mortalité. C'est cette « vitesse chinoise » qui a fait gagner un temps précieux aux autres pays dans la préparation contre l'épidémie.
联合国秘书长古特雷斯表示，中国为抗击新冠肺炎疫情并避免其蔓延付出了巨大牺牲，为全人类作出了贡献。|||Et c'est cette « force chinoise » qui a permis d'ériger un rempart solide contre la propagation de l'épidémie. Selon le Secrétaire général de l'ONU António Guterres, la Chine a fait des sacrifices immenses pour lutter contre la COVID-19 et éviter sa propagation, et apporté sa part de contribution à l'humanité.
世界卫生组织总干事谭德塞指出，中国强有力的举措既控制了疫情在中国境内扩散，也阻止了疫情向其他国家蔓延，不仅是在保护中国人民，也是在保护世界人民。|||Le Directeur général de l'OMS Dr Tedros Adhanom Ghebreyesus a, quant à lui, salué les mesures fortes prises par la Chine qui ont permis de maîtriser la propagation de l'épidémie en Chine et au-delà, et de protéger non seulement le peuple chinois mais aussi les peuples du monde.
中国为携手应对全球挑战赢得了信任。|||La Chine a gagné la confiance en promouvant une réponse collective à ce défi mondial.
中方从一开始就高度重视国际卫生合作，本着公开透明原则，及时向各方通报疫情信息，分享病毒基因序列，与世界卫生组织、周边和有关国家密切合作，邀请国际专家并肩工作。|||Accordant dès le début une grande importance à la coopération internationale en matière de santé et dans un esprit d'ouverture et de transparence, elle a communiqué sans tarder les informations relatives à l'épidémie aux différentes parties et partagé avec elles la séquence du génome du virus. Elle a coopéré étroitement avec l'OMS, les pays voisins et d'autres pays concernés, et les experts internationaux ont été invités à travailler aux côtés de leurs confrères chinois.
